"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@close_stream,0,0,0,0,0,4,0,0,0,0,3.61765
function@compressStream,1,0,0,1,0,58,15.8039,0,1,0,20606.5
function@compressStream.omp_outlined,11,3,0,7,1,18,453.236,219.993,24.6244,9.99971,13822.6
function@pxz_error,0,0,0,0,0,8,0,0,0,0,4.17647
function@message_init,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_set_files,0,0,0,0,0,0,0,0,0,0,0
function@message_filename,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_start,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_update,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_end,0,0,0,0,0,0,0,0,0,0,0
function@message,0,0,0,0,0,0,0,0,0,0,0
function@message_warning,0,0,0,0,0,0,0,0,0,0,0
function@message_error,0,0,0,0,0,0,0,0,0,0,0
function@message_fatal,0,0,0,0,0,0,0,0,0,0,0
function@message_bug,0,0,0,0,0,0,0,0,0,0,0
function@message_signal_handler,0,0,0,0,0,0,0,0,0,0,0
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,8,0,0,0,0,2.59375
function@message_filters_to_str,0,3,0,8,0,4,0,10,5,0,29
function@message_filters_show,0,0,0,0,0,2,0,0,0,0,0.117645
function@message_try_help,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,2,0,0,0,0,1
function@message_help,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,1,0,0,0,0,21.25
function@coder_set_extreme,0,0,0,0,0,1,0,0,0,0,21.25
function@coder_add_filter,0,0,0,0,0,2,0,0,0,0,2
function@coder_set_compression_settings,0,0,0,0,0,21,0,0,0,0,41.1667
function@coder_run,0,0,0,0,0,37,0,0,0,0,8.06716
function@is_format_lzma,0,0,0,0,0,7,0,0,0,0,1.55664
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,3,0,0,0,0,2
function@hardware_memlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_show,0,0,0,0,0,0,0,0,0,0,0
function@hardware_init,0,0,0,0,0,0,0,0,0,0,0
function@io_init,0,0,0,0,0,0,0,0,0,0,0
function@io_no_sparse,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,6,0,0,0,0,11.3412
function@io_open_dest,0,0,0,0,0,5,0,0,0,0,3.7619
function@io_close,0,0,0,0,0,10,0,0,0,0,5.75866
function@io_read,0,0,0,0,0,9,0,0,0,0,21.3846
function@io_pread,0,0,0,0,0,13,0,0,0,0,15.6923
function@io_write,0,0,0,0,0,14,0,0,0,0,17.7148
function@list_totals,0,0,0,0,0,21,0,0,0,0,5.0625
function@get_check_names,0,0,0,0,0,2,0,0,0,0,1.5
function@print_adv_helper,0,0,0,0,0,17,0,0,0,0,17
function@list_file,64,18,0,35,6,163,0.523808,0.25905,0.954409,0.0544627,29.6177
function@parse_details,0,0,0,0,0,16,0,0,0,0,8.86706
function@xrealloc,0,0,0,0,0,7,0,0,0,0,5.14286
function@xstrdup,0,0,0,0,0,9,0,0,0,0,8.38095
function@str_to_uint64,1,1,0,5,0,15,0.173502,0.0851735,0.255521,0,8.6877
function@round_up_to_mib,0,0,0,0,0,1,0,0,0,0,1
function@uint64_to_str,0,0,0,0,0,3,0,0,0,0,3
function@uint64_to_nicestr,0,0,0,0,0,5,0,0,0,0,4
function@my_snprintf,0,0,0,0,0,2,0,0,0,0,2
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdin,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdout,0,0,0,0,0,0,0,0,0,0,0
function@signals_init,0,0,0,0,0,0,0,0,0,0,0
function@signals_block,0,0,0,0,0,0,0,0,0,0,0
function@signals_unblock,0,0,0,0,0,0,0,0,0,0,0
function@signals_exit,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,9,1,0,3,0,11,10.95,1,2.4,0,527.65
function@options_bcj,8,1,0,3,0,11,9.95,1,2.4,0,532.35
function@options_lzma,17,2,0,4,0,20,28.05,7.25,8.65,0,579.2
function@set_lzma,0,0,0,0,0,8,0,0,0,0,2.38558
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@set_exit_no_warn,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,0,0,0,0,0,18,0,0,0,0,69.6249
function@sha_compress,38,6,0,3,7,73,720,192,65,193,2336
function@sha_done,0,0,0,0,0,7,0,0,0,0,5.22581
function@spec_mem_init,0,0,0,0,0,19,0,0,0,0,54.2314
function@spec_mem_sum,0,0,0,0,0,6,0,0,0,0,28.625
function@spec_mem_load,30,9,0,7,0,32,29.1365,12.1494,6.99999,0,103.957
function@fd_grow,0,0,0,0,0,10,0,0,0,0,4
function@spec_uncompress,0,0,0,0,0,0,0,0,0,0,0
function@compare_sum,0,0,0,0,0,4,0,0,0,0,3.01515
