"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_re_compile,0,0,0,0,0,2,0,0,0,0,2
function@Perl_re_intuit_string,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regfree_internal,15,2,0,3,0,3,35.6667,13.1,14.1,0,37.5
function@Perl_reg_numbered_buff_fetch,1,5,0,3,3,6,0.0124031,1.06512,0.855814,0.313178,1.03721
function@Perl_reg_numbered_buff_store,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_numbered_buff_length,0,0,0,0,0,9,0,0,0,0,2.62893
function@Perl_reg_named_buff,0,0,0,0,0,2,0,0,0,0,0.441345
function@Perl_reg_named_buff_iter,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_qr_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_op_compile,338,131,0,122,72,109,10275,8767.2,1679.52,2195.91,4546.64
function@Perl_reginitcolors,0,0,0,0,0,0,0,0,0,0,0
function@Perl_current_re_engine,0,0,0,0,0,7,0,0,0,0,1.71245
function@Perl_pregcomp,0,0,0,0,0,0,0,0,0,0,0
function@Perl__new_invlist_C_array,9,0,0,6,3,1,9,0,6,3,1
function@Perl__new_invlist,0,0,0,0,0,2,0,0,0,0,2
function@Perl__add_range_to_invlist,6,3,0,1,0,8,0.695801,0.32959,0.146484,0,4.43945
function@S_concat_pat,88,45,0,38,28,16,666.997,618.412,247.034,187.527,580.243
function@S_reg,813,188,0,177,109,71,197.002,64.7051,47.3226,13.3243,15.2129
function@Perl_regnext,0,0,0,0,0,1,0,0,0,0,1
function@S_ssc_init,0,0,0,0,0,4,0,0,0,0,4
function@S_study_chunk,895,429,0,236,243,183,18872.2,8817.36,7089,5278.75,7428.09
function@S_scan_commit,1,5,0,3,0,8,1,1.34524,1.08333,0,4.04762
function@S_is_ssc_worth_it,29,20,0,18,19,13,63.4183,66.0131,26.3464,22.719,32.1438
function@S_add_data,0,1,0,1,0,5,0,1,1,0,4
function@S_ssc_finalize,8,4,0,5,3,7,7.375,2.75,4.625,1.625,6.25
function@Perl_reg_named_buff_fetch,12,4,0,6,2,4,12.8299,3.18213,1.2079,2,7.50344
function@Perl_reg_named_buff_exists,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_named_buff_all,15,10,0,9,0,2,89.5385,194.538,79.1539,0,119.723
function@Perl_reg_named_buff_scalar,0,0,0,0,0,3,0,0,0,0,0.142202
function@Perl_reg_named_buff_firstkey,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_named_buff_nextkey,10,8,0,7,3,2,61.225,152.275,59.65,5.775,95.75
function@Perl__invlist_search,23,5,0,14,10,8,10.2843,3.89706,6.54412,3.30882,6.2598
function@Perl__invlist_populate_swatch,66,21,0,31,22,22,42.5279,47.2688,18.977,10.9639,106.325
function@Perl__invlist_union_maybe_complement_2nd,104,46,0,36,79,23,24.7176,9.02111,6.93269,8.96806,5.9401
function@S_invlist_clone,5,4,0,3,3,5,4.64,3.24,3,1.64,4.28
function@Perl__invlist_invert,0,0,0,0,0,1,0,0,0,0,1
function@S__append_range_to_invlist,65,18,0,20,18,4,30.1927,7.88991,12.3761,7.33027,1.45872
function@Perl__invlist_intersection_maybe_complement_2nd,86,36,0,27,52,19,22.8592,9.47646,6.34961,8.77114,6.93418
function@Perl__setup_canned_invlist,0,0,0,0,0,4,0,0,0,0,4
function@Perl__invlist_contents,7,4,0,4,1,7,32.76,12.4,14.4,2.48,48.44
function@S_invlist_iternext,7,4,0,4,4,5,2.72549,2.2549,2.47059,1.72549,3.2549
function@Perl__invlist_dump,9,10,0,4,5,7,20.4179,12.0299,8.70149,8.77612,18.0746
function@Perl__load_PL_utf8_foldclosures,0,0,0,0,0,0,0,0,0,0,0
function@Perl__get_regclass_nonbitmap_data,10,11,0,8,9,9,3.39502,3.255,1.95801,1.30518,1.12915
function@Perl_regdump,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regprop,0,0,0,0,0,0,0,0,0,0,0
function@Perl_pregfree,0,0,0,0,0,0,0,0,0,0,0
function@Perl_pregfree2,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_temp_copy,2,1,0,2,0,5,1.21569,0.607843,1.21569,0,2.88235
function@Perl_save_re_context,0,0,0,0,0,2,0,0,0,0,29.3145
function@S_ssc_anything,0,0,0,0,0,3,0,0,0,0,3
function@S_ssc_or,0,1,0,2,0,7,0,1,1,0,18.0476
function@S_ssc_and,22,14,0,10,6,34,5.26867,3.34506,4.83691,0.833476,4.65579
function@S_make_trie,412,111,0,103,132,54,4976.68,1779.95,798.393,1661.58,900.874
function@S_unwind_scan_frames,0,0,0,0,0,1,0,0,0,0,31.875
function@S_get_ANYOF_cp_list_for_ssc,23,19,0,17,15,15,5.9209,3.34766,21.8887,2.35742,102.488
function@S_add_above_Latin1_folds,4,1,0,3,1,0,0.25,0.0625,0.1875,0.0625,0
function@S_populate_ANYOF_from_invlist,55,16,0,15,8,17,181.81,24.6508,32.4762,75.2222,191.317
function@S_set_ANYOF_arg,1,0,0,1,0,7,1,0,1,0,3.48529
function@S_re_croak2,0,0,0,0,0,6,0,0,0,0,5.5
function@S_reganode,0,0,0,0,0,5,0,0,0,0,4
function@S_reg_node,0,0,0,0,0,5,0,0,0,0,4
function@S_nextchar,19,0,0,3,0,7,289.075,0,3,0,744.975
function@S_reg_scan_name,13,11,0,7,4,6,4.31443,4.46392,3.62887,1.25601,4.51546
function@S_reg2Lanode,0,0,0,0,0,5,0,0,0,0,4
function@S_regtail,0,0,0,0,0,1,0,0,0,0,1
function@S_regbranch,337,101,0,44,33,38,309.382,202.143,62.2682,33.7948,173.747
function@S_handle_regex_sets,276,103,0,73,29,58,244.742,97.1851,41.0813,10.8056,321.355
function@S_parse_lparen_question_flags,122,41,0,39,29,9,166.406,38.8787,29.029,18.8221,7.25732
function@S_regatom,667,139,0,152,137,112,59.2261,20.8275,20.8984,11.7315,72.7197
function@S_regclass,893,277,0,265,376,138,836.108,278.934,285.98,262.168,471.67
function@S_grok_bslash_N,115,35,0,29,17,18,21.534,7.09363,5.61719,1.45942,14.1854
function@S_grok_bslash_x,1,1,0,1,3,7,0.195312,0.125,0.0624999,1.5,4.28516
function@S_grok_bslash_c,1,5,0,2,0,3,1,3.75,2,0,2.25
function@S_form_short_octal_warning,0,0,0,0,0,4,0,0,0,0,4
function@S__invlist_contains_cp,41,7,0,17,9,8,15.6667,4.82843,10.1275,3.52451,6.0098
function@S_alloc_maybe_populate_EXACT,10,2,0,4,4,8,5.13708,1.25,4,2.125,5.11719
function@S_add_multi_match,0,1,0,1,0,4,0,1,1,0,2.85714
function@Perl_taint_proper,0,0,0,0,0,2,0,0,0,0,0.901961
function@Perl_taint_env,0,0,0,0,0,3,0,0,0,0,1.28815
function@Perl_set_caret_X,0,0,0,0,0,0,0,0,0,0,0
function@Perl_Slab_Alloc,26,4,0,7,6,7,1.91129,0.44086,1.61022,0.615591,2.63979
function@Perl_Slab_Free,0,0,0,0,0,2,0,0,0,0,8.46875
function@Perl_opslab_free,0,0,0,0,0,1,0,0,0,0,31.875
function@Perl_opslab_free_nopad,0,0,0,0,0,2,0,0,0,0,32.4286
function@Perl_opslab_force_free,0,0,0,0,0,4,0,0,0,0,145.5
function@Perl_op_free,13,6,0,4,9,4,107.647,28.9412,32.2353,36.8235,71
function@Perl_allocmy,3,1,0,3,0,7,0.241758,0.0725275,0.241758,0,3.45165
function@S_find_and_forget_pmops,0,0,0,0,0,4,0,0,0,0,13.0909
function@Perl_op_clear,13,2,0,11,8,16,0.550523,0.219948,0.966246,0.292465,1.97038
function@S_op_clear_gv,0,0,0,0,0,0,0,0,0,0,0
function@Perl_ck_ftst,0,0,0,0,0,6,0,0,0,0,1.04985
function@Perl_op_null,0,0,0,0,0,1,0,0,0,0,0.666667
function@Perl_op_refcnt_lock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_refcnt_unlock,0,0,0,0,0,0,0,0,0,0,0
function@Perl_op_sibling_splice,8,1,0,4,4,7,2.66667,0.170732,2.2439,2.14634,28
function@Perl_custom_op_get_field,0,0,0,0,0,7,0,0,0,0,3.39844
function@S_op_sibling_newUNOP,0,0,0,0,0,2,0,0,0,0,2
