@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,14, 1, 0, 2, 0, 4, 35.3, 12.5, 13.5, 0, 37.8667
~&SPILL_STATS,5, 0, 0, 2, 0, 6, 0.28062, 0, 0.212403, 0, 1.03721
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2.62893
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.423462
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,362, 119, 0, 127, 70, 97, 13205.7, 8643.21, 2729.96, 2208.59, 4681.86
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1.71245
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 1, 0, 5, 1, 1, 9, 1, 5, 1, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2.83008
~&SPILL_STATS,88, 44, 0, 40, 29, 15, 699.822, 588.518, 252.629, 210.006, 558.064
~&SPILL_STATS,830, 196, 0, 168, 96, 71, 189.299, 63.3436, 43.9431, 9.92146, 14.8895
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,670, 363, 0, 186, 231, 129, 14440.6, 7170.84, 5442.8, 4499.4, 5117.31
~&SPILL_STATS,1, 3, 0, 1, 3, 10, 0.0952381, 0.440476, 0.0952381, 0.440476, 5.66667
~&SPILL_STATS,31, 17, 0, 17, 24, 13, 67.9608, 64.1438, 31.0131, 34.1895, 35.9935
~&SPILL_STATS,2, 1, 0, 1, 0, 5, 2, 0.619048, 1, 0, 4
~&SPILL_STATS,12, 2, 0, 4, 0, 8, 10.625, 1.25, 3.625, 0, 7.25
~&SPILL_STATS,17, 6, 0, 7, 2, 4, 16.012, 4.41237, 2.94674, 2, 7.50344
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,18, 6, 0, 8, 5, 4, 564.446, 185.692, 192.077, 184.477, 9.23077
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0.825688
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,13, 5, 0, 6, 2, 4, 256.325, 100.5, 33.975, 49.825, 51.775
~&SPILL_STATS,34, 7, 0, 13, 7, 13, 12.2843, 4.82843, 8.07843, 3.57353, 8.76961
~&SPILL_STATS,77, 15, 0, 34, 28, 17, 127.905, 30.0262, 43.7541, 56.6623, 101.859
~&SPILL_STATS,103, 44, 0, 38, 65, 22, 22.1512, 10.5197, 8.63719, 6.07131, 7.53223
~&SPILL_STATS,2, 3, 0, 2, 0, 6, 1.64, 2.28, 1.64, 0, 5.28
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,64, 17, 0, 22, 17, 5, 29.8073, 7.91743, 12.9541, 7.25688, 1.74312
~&SPILL_STATS,85, 31, 0, 24, 47, 18, 25.1399, 11.3282, 8.99608, 7.14124, 9.93853
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,6, 5, 0, 4, 1, 8, 40.68, 30.08, 31.08, 9.92, 50.92
~&SPILL_STATS,2, 3, 0, 2, 0, 6, 0.627451, 1.56863, 1.2549, 0, 4.09804
~&SPILL_STATS,21, 6, 0, 8, 5, 2, 57.1194, 12.1493, 23.194, 16.8955, 1.85075
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,16, 14, 0, 6, 3, 11, 3.03223, 1.81732, 1.41846, 1.41504, 2.24512
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 0, 0, 1, 0, 3, 1.21569, 0, 0.607843, 0, 1.98039
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 29.3145
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,60, 18, 0, 26, 99, 34, 35.6675, 27.7663, 10.0554, 8.47426, 24.9057
~&SPILL_STATS,2, 1, 0, 0, 2, 8, 12.3333, 7.59524, 0, 7.80952, 18.8095
~&SPILL_STATS,67, 10, 0, 13, 3, 43, 12.697, 1.26438, 4.63605, 0.424893, 7.51588
~&SPILL_STATS,399, 109, 0, 103, 119, 56, 5086.7, 1857.95, 864.195, 1419.18, 717.678
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 31.875
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,245, 50, 0, 23, 7, 18, 47.6472, 68.3227, 6.37249, 23.2978, 23.2564
~&SPILL_STATS,16, 11, 0, 10, 4, 19, 3.60352, 2.94531, 19.0723, 1.92188, 103.957
~&SPILL_STATS,5, 1, 0, 3, 1, 0, 0.3125, 0.0625, 0.1875, 0.0625, 0
