@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,12, 0, 0, 3, 0, 5, 16.4667, 0, 1.16667, 0, 50.3667
~&SPILL_STATS,1, 0, 0, 1, 0, 7, 0.181395, 0, 0.181395, 0, 1.06512
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2.62893
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.423462
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,209, 59, 0, 105, 32, 150, 6882.93, 7287.79, 1356, 667.711, 6674.23
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1.71245
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 1, 0, 4, 0, 3, 3, 1, 4, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3.83008
~&SPILL_STATS,72, 10, 0, 34, 10, 50, 566.748, 235.038, 252.606, 26.168, 822.34
~&SPILL_STATS,312, 41, 0, 153, 39, 248, 58.0553, 20.1722, 25.247, 4.09359, 62.1854
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,487, 150, 0, 195, 123, 305, 8459.59, 3121.16, 6357.8, 1861.84, 7184.44
~&SPILL_STATS,0, 2, 0, 1, 0, 9, 0, 0.190476, 0.0952381, 0, 5.28571
~&SPILL_STATS,18, 8, 0, 20, 5, 18, 52.634, 30.8431, 40.451, 5.47712, 43.6993
~&SPILL_STATS,0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2
~&SPILL_STATS,8, 0, 0, 5, 0, 9, 7, 0, 4.625, 0, 7.875
~&SPILL_STATS,8, 3, 0, 5, 0, 10, 11.5619, 2.95189, 0.939863, 0, 9.72337
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 2, 0, 7, 0, 2, 103.308, 119.723, 16.3385, 0, 119.723
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0.142202
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,8, 2, 0, 6, 0, 3, 78.9, 95.75, 11.35, 0, 96.2
~&SPILL_STATS,11, 0, 0, 9, 1, 30, 5.71078, 0, 6.93627, 0.0735294, 19.1275
~&SPILL_STATS,27, 4, 0, 23, 3, 53, 35.2328, 17.659, 15.3049, 0.511475, 122.344
~&SPILL_STATS,70, 13, 0, 40, 30, 58, 14.8083, 3.40559, 7.57787, 3.19509, 17.6252
~&SPILL_STATS,3, 1, 0, 3, 0, 7, 2.64, 0.64, 2.28, 0, 5.92
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,19, 6, 0, 15, 0, 20, 6.55046, 2.12844, 8.91743, 0, 8.16514
~&SPILL_STATS,66, 13, 0, 34, 18, 42, 17.1922, 5.14908, 8.80689, 2.59634, 14.7515
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
~&SPILL_STATS,3, 3, 0, 3, 0, 10, 11.92, 9.92, 11.92, 0, 65.8
~&SPILL_STATS,1, 1, 0, 2, 0, 5, 0.313726, 0.313726, 1.62745, 0, 2.41176
~&SPILL_STATS,10, 0, 0, 4, 0, 9, 13.3134, 0, 11.8358, 0, 17.2537
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 5, 0, 6, 0, 13, 2.16553, 0.802612, 2.01294, 0, 2.73584
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.78431
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 29.3145
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,39, 4, 0, 15, 5, 46, 20.3887, 6.53312, 9.79241, 0.765625, 34.5346
~&SPILL_STATS,0, 1, 0, 2, 0, 7, 0, 1, 1, 0, 18.0476
~&SPILL_STATS,24, 5, 0, 15, 1, 52, 1.54678, 0.672103, 3.16481, 0.249785, 11.2343
~&SPILL_STATS,248, 51, 0, 114, 70, 120, 2979.81, 1381.07, 1236.91, 1272.45, 1372.04
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 31.875
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,21, 6, 0, 11, 0, 73, 15.3608, 13.2479, 10.2669, 0, 10.757
~&SPILL_STATS,12, 3, 0, 11, 1, 16, 1.91406, 0.666016, 18.6133, 0.84375, 86.0986
~&SPILL_STATS,2, 1, 0, 3, 0, 2, 0.125, 0.0625, 0.1875, 0, 0.125
~&SPILL_STATS,16, 3, 0, 9, 0, 23, 20.8413, 0.507937, 21.6508, 0, 200.556
~&SPILL_STATS,2, 0, 0, 1, 0, 8, 0.485294, 0, 0.5, 0, 3.47059
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4
