"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,27,8,0,17,11,9,586.238,759.191,339.571,53.1905,986.857
function@refreshArcPointers,2,0,0,2,0,5,16.5,0,16.5,0,106.25
function@refreshPositions,6,4,0,3,0,7,57.25,25.75,17.5,0,148.75
function@marc_arcs,13,21,0,11,9,13,8.28571,63.0714,7.52381,5.71429,64.5238
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,5,0,3.96,0.64,0,4.64
function@insert_new_arc,28,0,0,8,7,2,293.75,0,65.3333,64.8333,21.6667
function@replace_weaker_arc,5,2,0,1,2,2,39.375,15.625,8.125,8.3125,5.8125
function@calculate_max_redcost,0,1,0,1,1,8,0,10.0196,0.313726,0.313726,60.0784
function@switch_arcs,37,12,0,18,19,4,11858.6,3472,2422.19,1910.76,2086.1
function@price_out_impl,381,106,0,118,110,35,723.662,198.603,163.55,206.377,214.662
function@suspend_impl,72,58,0,41,30,28,75.9494,102.987,49.1013,39.6203,107.519
function@global_opt,0,0,0,0,0,5,0,0,0,0,131.744
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,106,49,0,35,42,24,62.9613,26.6076,17.1636,10.6892,13.4637
function@primal_start_artificial,55,8,0,13,10,13,491.76,84.36,77.76,97.92,178.68
function@update_tree,33,6,0,26,7,14,483.064,72.3548,258.419,4.58065,90.7419
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,43,14,0,8,8,9,350.64,90.8,26.72,46.44,107.16
function@start,0,0,0,0,0,0,0,0,0,0,0
function@getArcPosition,10,7,0,13,7,7,6.5,4.5,8.5,3.5,5
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,7,17,0,7,9,18,5.6,93.8,5.96,9.2,190.44
function@primal_feasible,7,9,0,5,2,1,33.617,41.9787,23.766,1.17021,5.44681
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,1086,385,0,360,242,133,13075,4935.8,2152.81,1905.95,4274.56
function@markBaskets,5,1,0,3,6,7,36.911,7.87302,112.34,22.411,635.669
function@worker,12,17,0,11,8,8,4.5,118,7,15.5,44.75
function@master,21,27,0,20,7,10,44.3002,88.1231,37.2385,10.7789,298.688
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,7,0,0,0,0,19.0952
