"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,7,3,0,8,3,30,59.6667,297.143,25.7619,5.80952,1298.57
function@refreshArcPointers,2,0,0,2,0,8,16.5,0,16.5,0,131
function@refreshPositions,4,3,0,3,0,11,30.75,24.75,17.5,0,186.75
function@marc_arcs,11,8,0,12,0,16,35.7619,23.9762,23.6429,0,52.0476
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,3,0,3.96,0.64,0,2.64
function@insert_new_arc,6,0,0,7,0,4,62.5,0,63.9167,0,33.5
function@replace_weaker_arc,3,1,0,3,1,4,23.4375,7.8125,23.4375,0.5,21.75
function@calculate_max_redcost,2,2,0,4,2,14,20.0392,10.3333,25.3529,0.941177,97.098
function@switch_arcs,42,2,0,19,8,13,9578.38,1523.76,3535.81,252.619,2767.1
function@price_out_impl,215,50,0,103,43,84,332.583,189.603,177.371,26.5166,283.516
function@suspend_impl,49,27,0,40,5,53,108.557,36.2025,76.7089,8.6962,127.278
function@global_opt,0,0,0,0,0,4,0,0,0,0,112.37
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,50,16,0,33,8,50,25.2218,7.24683,16.0458,0.653162,27.4207
function@primal_start_artificial,32,3,0,20,0,21,260.32,45.96,129.72,0,218.04
function@update_tree,21,2,0,21,1,22,281.903,20.5806,193.323,1,165.032
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,9,8,0,7,8,13,43.6,64.92,15.16,8.56,120.68
function@getArcPosition,5,9,0,9,0,15,2.5,5.5,7,0,11
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,4,10,0,6,6,22,2.96,69.12,4.96,7.92,202.6
function@primal_feasible,2,6,0,6,0,6,10.8936,40.8511,18.3191,0,32.617
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,651,208,0,333,20,401,5076.84,4346.72,3731.77,208.82,10147.3
function@markBaskets,3,0,0,4,2,12,23.873,0,122.921,1,672.834
function@worker,9,14,0,14,0,12,10,104.25,14.75,0,30.5
function@master,12,14,0,20,0,17,20.2843,44.0777,36.4455,0,312.198
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,6,0,0,0,0,18.0952
