@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,27, 7, 0, 16, 11, 9, 586.238, 495, 338.571, 53.1905, 986.857
~&SPILL_STATS,2, 0, 0, 2, 0, 5, 16.5, 0, 16.5, 0, 106.25
~&SPILL_STATS,6, 4, 0, 3, 0, 7, 57.25, 25.75, 17.5, 0, 148.75
~&SPILL_STATS,13, 23, 0, 11, 9, 13, 8.28571, 63.8333, 7.52381, 5.71429, 64.5238
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 1, 0, 1, 0, 5, 0, 3.96, 0.64, 0, 4.64
~&SPILL_STATS,27, 0, 0, 8, 4, 2, 282.5, 0, 75.1667, 42.5, 21.6667
~&SPILL_STATS,5, 2, 0, 1, 2, 2, 39.375, 15.625, 8.125, 8.3125, 5.8125
~&SPILL_STATS,0, 1, 0, 1, 1, 8, 0, 10.0196, 0.313726, 0.313726, 60.0784
~&SPILL_STATS,37, 14, 0, 19, 19, 4, 11858.6, 3512.57, 2442.48, 1910.76, 2086.1
~&SPILL_STATS,330, 100, 0, 95, 104, 35, 666.305, 278.669, 143.603, 270.563, 217.709
~&SPILL_STATS,73, 47, 0, 38, 36, 30, 91.962, 77.2658, 49.2405, 56.1139, 107.506
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 131.744
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.375
~&SPILL_STATS,108, 46, 0, 33, 47, 25, 66.4604, 21.7573, 16.4443, 14.5009, 13.6591
~&SPILL_STATS,55, 10, 0, 13, 12, 12, 507.12, 94.88, 67.88, 104, 163.36
~&SPILL_STATS,33, 6, 0, 26, 7, 11, 483.064, 72.3548, 258.419, 4.58065, 89.2581
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 19.9375
~&SPILL_STATS,43, 14, 0, 8, 8, 9, 350.64, 90.8, 26.72, 46.44, 107.16
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 10, 0, 11, 4, 7, 4.5, 6.5, 7.5, 2, 5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 17, 0, 7, 9, 18, 5.6, 93.8, 5.96, 9.2, 190.44
~&SPILL_STATS,7, 9, 0, 5, 2, 1, 33.617, 41.9787, 23.766, 1.17021, 5.44681
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1024, 356, 0, 354, 220, 135, 12739.4, 4757.52, 2083.32, 1909.73, 4227.96
~&SPILL_STATS,4, 1, 0, 1, 5, 7, 28.784, 7.87302, 5.16493, 21.911, 733.717
~&SPILL_STATS,12, 17, 0, 11, 8, 8, 4.5, 118, 7, 15.5, 44.75
~&SPILL_STATS,29, 33, 0, 25, 10, 10, 55.0792, 107.975, 48.4467, 14.1612, 302.63
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4.77207
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 19.0952
