"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,12,3,0,10,3,27,76.0952,297.143,43.2381,5.80952,1566.71
function@refreshArcPointers,2,0,0,2,0,5,16.5,0,16.5,0,106.25
function@refreshPositions,4,3,0,3,0,7,30.75,24.75,17.5,0,148.75
function@marc_arcs,9,8,0,12,0,22,3.71429,39.5952,7.85714,0,86.2857
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,2,0,3.96,0.64,0,2
function@insert_new_arc,6,0,0,8,0,7,62.9167,0,65.4167,0,55.75
function@replace_weaker_arc,3,0,0,3,1,6,23.4375,0,23.4375,0.5,30.5625
function@calculate_max_redcost,0,1,0,1,0,9,0,10.0196,0.313726,0,61.0784
function@switch_arcs,39,1,0,22,8,14,10995.4,406.333,4367.81,111.095,3957.57
function@price_out_impl,199,42,0,101,38,110,312.026,173.278,158.808,167.669,308.298
function@suspend_impl,42,25,0,36,6,53,44.2152,38.1013,38.6203,23.2532,130.114
function@global_opt,0,0,0,0,0,4,0,0,0,0,112.37
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,53,16,0,35,6,57,27.0615,6.34792,17.3701,0.438318,33.5679
function@primal_start_artificial,46,5,0,24,1,18,530.44,61.92,186.24,0.64,192.88
function@update_tree,19,2,0,20,1,25,255.903,20.5806,174.032,1,184.645
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,11,8,0,7,7,16,54.44,64.92,15.16,8.24,151.28
function@getArcPosition,5,6,0,6,0,15,2.5,4,5.5,0,10
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,4,10,0,6,6,23,2.96,69.12,4.96,7.92,222.68
function@primal_feasible,0,7,0,7,0,9,0,41.0213,23.766,0,48.9362
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,648,177,0,314,32,465,4388.36,4383.32,4199.54,261.843,15873.5
function@markBaskets,2,0,0,2,2,10,15.746,0,15.746,1,747.755
function@worker,8,14,0,14,0,15,9.75,104.25,14.75,0,31.25
function@master,19,14,0,20,0,18,29.7333,44.3277,40.05,0,318.015
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,6,0,0,0,0,18.0952
