"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@re_set_syntax,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_fastmap,24,5,0,10,3,103,33.9434,30.1383,4.27575,0.747095,456.911
function@re_set_registers,0,0,0,0,0,0,0,0,0,0,0
function@re_search,0,0,0,0,0,0,0,0,0,0,0
function@re_search_2,10,1,0,5,0,14,3.23844,0.413625,1.42579,0,4.21411
function@re_match_2_internal,570,191,0,207,48,269,258.801,70.2931,34.1994,6.75493,90.1978
function@re_match,0,0,0,0,0,0,0,0,0,0,0
function@re_match_2,0,0,0,0,0,0,0,0,0,0,0
function@re_compile_pattern,0,0,0,0,0,1,0,0,0,0,1
function@regex_compile,453,89,0,313,41,429,25.1424,2.71231,29.0818,3.3435,43.2665
function@regcomp,2,1,0,2,1,7,0.809524,0.809524,0.809524,0.809524,23.7381
function@regexec,8,2,0,4,1,20,1.24023,0.146484,0.532226,0.0488281,17.5942
function@regerror,0,0,0,0,0,8,0,0,0,0,6.62499
function@regfree,0,0,0,0,0,0,0,0,0,0,0
function@group_match_null_string_p,3,2,0,4,0,11,0.813586,3.16154,5.21539,0,72.3223
function@common_op_match_null_string_p,0,0,0,0,0,4,0,0,0,0,1.17857
function@compile_range,0,1,0,1,0,15,0,0.191176,0.191176,0,12.9044
function@CCTKi_BindingsThorn_PUGHReduce,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionAvgArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionAvg,384,212,0,253,36,546,14555.1,30918.8,8556.49,316.891,61267.3
function@PUGH_ReductionAvgGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm3Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm3,421,184,0,275,28,621,26648.3,21010.4,12896,672.779,77343.5
function@PUGH_ReductionNorm3GVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNorm2Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm2,397,191,0,255,25,550,17856.9,26479.4,9234.63,191.368,64166.8
function@PUGH_ReductionNorm2GVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReductionNormInfArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNormInf,341,171,0,242,25,560,19253.9,21944.5,10194.1,184.434,65462.6
function@PUGH_ReductionNormInfGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceGridArrays,67,11,0,37,11,57,116.449,17.1392,20.1406,3.35945,167.913
function@PUGH_ReductionCountArrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionCount,0,0,0,0,0,4,0,0,0,0,22.5517
function@PUGH_ReductionCountGVs,0,0,0,0,0,0,0,0,0,0,0
function@PUGH_ReduceArraysGlobally,9,1,0,5,0,14,5.48047,0.90625,5,0,50.351
function@PUGH_ReductionNorm1Arrays,0,0,0,0,0,0,0,0,0,0,0
function@ReductionNorm1,399,193,0,259,25,552,14878.2,25721.5,8338.01,122.346,64847.7
function@PUGH_ReductionNorm1GVs,0,0,0,0,0,0,0,0,0,0,0
