@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,28, 5, 0, 10, 16, 98, 60.3584, 30.1383, 23.3949, 9.93072, 483.966
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 2, 0, 3, 0, 13, 4.56691, 0.710462, 1.10706, 0, 5.16302
~&SPILL_STATS,561, 176, 0, 186, 37, 295, 274.334, 68.2001, 33.9692, 5.24537, 97.9751
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,508, 86, 0, 328, 56, 370, 34.162, 1.95106, 29.7266, 3.29453, 43.6741
~&SPILL_STATS,2, 1, 0, 2, 1, 10, 0.809524, 0.809524, 0.809524, 0.809524, 25.7381
~&SPILL_STATS,1, 0, 0, 1, 0, 4, 0.3125, 0, 0.3125, 0, 2.8125
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.62499
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 2, 0, 4, 0, 13, 2.84511, 3.16154, 5.71539, 0, 70.4283
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1.21429
~&SPILL_STATS,0, 1, 0, 1, 0, 17, 0, 0.191176, 0.191176, 0, 13.0956
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,413, 180, 0, 223, 32, 580, 19236, 25619.7, 6897.44, 307.998, 74530.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,359, 180, 0, 238, 23, 575, 22996.8, 24018.5, 11171.1, 147.838, 69231.3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,371, 173, 0, 240, 28, 564, 23841, 21254.3, 8257.97, 206.324, 64724.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,347, 162, 0, 224, 28, 574, 20283.7, 21041.8, 8507.45, 1403.65, 70702.6
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,59, 15, 0, 38, 11, 48, 111.035, 13.5626, 28.7344, 3.35945, 152.315
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 22.5517
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,11, 1, 0, 6, 0, 12, 5.34165, 0.90625, 4.46424, 0, 49.351
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,385, 177, 0, 219, 30, 552, 16245.9, 22040, 6932.25, 1415.29, 65471.8
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 4, 0, 4, 0, 17, 0.37085, 9.1875, 1.4375, 0, 44.2319
~&SPILL_STATS,13, 8, 0, 21, 4, 51, 0.348337, 4.27397, 0.958904, 0.203523, 24.863
~&SPILL_STATS,25, 4, 0, 16, 0, 16, 194.733, 8.30078, 29.3652, 0, 103.539
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,387, 187, 0, 224, 38, 531, 22234.7, 27485.4, 5914.96, 361.479, 72088.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,488, 188, 0, 245, 23, 646, 17104.4, 13290.5, 4604.52, 122.808, 48951.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,526, 188, 0, 252, 28, 658, 19071.8, 12845.9, 5105.26, 175.055, 48785.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,436, 169, 0, 272, 28, 547, 28392.1, 24420.9, 17478.7, 142.037, 67385.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 9, 0, 9, 0, 0, 0, 3.42857, 9, 0, 0
~&SPILL_STATS,14, 14, 0, 10, 1, 15, 0.476672, 0.128463, 0.0989437, 0.00186265, 2.69112
