@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,168, 134, 0, 98, 100, 181, 471.841, 633.749, 115.118, 292.46, 554.945
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1197, 342, 0, 418, 173, 189, 20158.2, 7172.32, 6609.22, 588.711, 1472.91
~&SPILL_STATS,37, 12, 0, 34, 12, 8, 328, 112.84, 208.8, 83.2, 71.72
~&SPILL_STATS,25, 34, 0, 24, 0, 0, 11.3382, 11.2794, 11.7647, 0, 0
~&SPILL_STATS,1486, 418, 0, 504, 168, 204, 34088.2, 12300.2, 10995.5, 625.22, 2148.77
~&SPILL_STATS,1375, 347, 0, 433, 170, 200, 27912, 8341.34, 7697.14, 824.494, 1881.72
~&SPILL_STATS,1232, 218, 0, 370, 167, 209, 19117.2, 2961.24, 4246.04, 691.843, 2095.55
~&SPILL_STATS,1229, 339, 0, 395, 186, 201, 21276.7, 6981.04, 5385.63, 712.929, 1776.3
~&SPILL_STATS,1481, 391, 0, 444, 174, 220, 33130, 11299.4, 7330.75, 546.428, 2673.54
~&SPILL_STATS,1388, 341, 0, 405, 177, 212, 28308.5, 8148.27, 5995.83, 765.804, 2225.42
~&SPILL_STATS,1262, 224, 0, 348, 177, 223, 19992.4, 3133.59, 2727.68, 839.925, 2605.86
~&SPILL_STATS,16, 9, 0, 11, 8, 7, 12.5765, 16.2588, 2.8, 7.22353, 15.0235
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 5, 0, 6, 3, 2, 128.5, 106.25, 107.25, 22.9167, 42.5
~&SPILL_STATS,0, 2, 0, 1, 1, 4, 0, 13.4, 0.64, 0.64, 43.36
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,32, 37, 0, 29, 22, 46, 5.64744, 7.73246, 6.00935, 5.43073, 16.4229
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 3, 0, 4, 1, 0, 1.99999, 1.5, 3, 0.499998, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.15481e-05
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 40.875, 59.8125, 81.375, 0, 59.8125
~&SPILL_STATS,7, 2, 0, 2, 1, 10, 0.541991, 0.117189, 0.234375, 0.117188, 3.14467
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 7, 2.07961, 0.234375, 0.234375, 0, 3.68043
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,617, 126, 0, 221, 100, 100, 7421.01, 1180.11, 1711.28, 717.916, 609.424
~&SPILL_STATS,37, 12, 0, 34, 12, 8, 328, 112.84, 208.8, 83.2, 71.72
~&SPILL_STATS,637, 139, 0, 230, 100, 100, 8462.78, 2068.65, 2159.44, 717.916, 609.424
~&SPILL_STATS,694, 146, 0, 258, 89, 104, 9903.62, 2669.91, 3290.07, 131.402, 902.168
~&SPILL_STATS,717, 179, 0, 280, 98, 106, 11805.2, 4095.7, 4183.71, 135.599, 927.323
~&SPILL_STATS,649, 135, 0, 230, 100, 100, 8828.94, 1333.59, 1941.24, 428.187, 757.01
~&SPILL_STATS,680, 146, 0, 246, 100, 100, 10610.8, 1859.28, 2763.17, 428.187, 757.01
~&SPILL_STATS,629, 119, 0, 225, 100, 101, 7883.08, 651.353, 1785.02, 705.097, 760.71
~&SPILL_STATS,643, 137, 0, 242, 99, 100, 8438.35, 1629.27, 2821.64, 494.799, 686.696
~&SPILL_STATS,668, 129, 0, 211, 112, 111, 7350.17, 777.947, 830.168, 749.047, 702.179
~&SPILL_STATS,686, 152, 0, 232, 112, 111, 8382.79, 2241.93, 2009.12, 749.047, 702.179
~&SPILL_STATS,749, 147, 0, 245, 101, 122, 9608.42, 1778.41, 1743.94, 182.907, 1027.43
~&SPILL_STATS,793, 170, 0, 267, 102, 120, 12971.8, 3176.04, 3207.54, 325.536, 950.63
~&SPILL_STATS,703, 128, 0, 211, 104, 114, 8594.53, 872.922, 836.133, 471.821, 849.482
~&SPILL_STATS,723, 158, 0, 237, 104, 118, 9831.98, 2724.15, 2311.32, 471.821, 871.768
~&SPILL_STATS,675, 125, 0, 209, 99, 117, 6744.57, 799.406, 828.092, 245.08, 926.424
