"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_bugPKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_diePKc,0,0,0,0,0,0,0,0,0,0,0
function@main,196,82,0,98,130,155,484.341,614.687,115.118,303.21,538.695
function@_ZN9ResultSetD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,1193,342,0,418,170,188,19891.4,7170.83,6540.5,388.278,1471.53
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,25,34,0,24,0,0,11.3382,11.2794,11.7647,0,0
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1493,419,0,506,169,201,34426.5,12237.4,10932.2,690.59,2013.86
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,1357,340,0,426,165,196,26581.2,7744.42,6968.29,553.959,1680.04
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,1259,224,0,382,171,199,20601.3,2978.52,4534.09,1019.68,1620.14
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,1218,339,0,395,182,200,20406.5,6909.74,5240.52,489.669,1775.14
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,1480,392,0,441,176,216,33409,11378.3,7401.98,620.239,2453.01
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,1378,346,0,412,175,208,27577,8442.6,6362.6,617.954,2004.89
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,1274,233,0,357,182,212,20589.1,3442.54,2891.98,1130.37,2012.39
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,16,9,0,11,8,7,12.5765,16.2588,2.8,7.22353,15.0235
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9moveatomsEv,7,5,0,6,3,2,128.5,106.25,107.25,22.9167,42.5
function@_ZN5Patch10zeroforcesEv,0,2,0,1,1,4,0,13.4,0.64,0.64,43.36
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,38,31,0,29,30,44,5.83054,8.46488,6.00935,5.79694,16.2764
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,6,3,0,4,1,0,1.99999,1.5,3,0.499998,0
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchListD2Ev,0,0,0,0,0,1,0,0,0,0,1.15481e-05
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList10setresultsEP9ResultSet,3,3,0,6,0,3,40.875,59.8125,81.375,0,59.8125
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,7,2,0,2,1,10,0.541991,0.117189,0.234375,0.117188,3.14467
function@_ZN7LJTableC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable8readfileEP8_IO_FILE,1,1,0,1,0,7,2.07961,0.234375,0.234375,0,3.68043
function@_ZN7LJTableD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable18compute_vdw_paramsEiiPNS_10TableEntryES1_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil9calc_pairEP9nonbonded,619,125,0,222,101,99,7424.38,1033.48,1565.88,718.441,608.378
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil16calc_pair_energyEP9nonbonded,639,140,0,231,101,99,8466.15,2070.05,2014.04,718.441,608.378
function@_ZN20ComputeNonbondedUtil19calc_pair_fullelectEP9nonbonded,695,146,0,257,89,102,9977.3,2526.98,3070.65,128.227,827.107
function@_ZN20ComputeNonbondedUtil26calc_pair_energy_fullelectEP9nonbonded,714,179,0,280,97,104,11582.9,3952.77,4038.31,130.111,852.263
function@_ZN20ComputeNonbondedUtil25calc_pair_merge_fullelectEP9nonbonded,670,133,0,231,111,99,10453.2,1183.26,2010.48,1025.44,685.65
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_merge_fullelectEP9nonbonded,706,146,0,245,111,99,12605.2,1856.97,2684.38,1025.44,685.65
function@_ZN20ComputeNonbondedUtil24calc_pair_slow_fullelectEP9nonbonded,638,124,0,227,105,98,8144.54,664.794,1784,724.766,611.636
function@_ZN20ComputeNonbondedUtil31calc_pair_energy_slow_fullelectEP9nonbonded,651,130,0,237,103,98,8885.8,1108.88,2376.48,576.739,611.636
function@_ZN20ComputeNonbondedUtil9calc_selfEP9nonbonded,670,130,0,214,113,110,7354.57,779.775,833.596,749.732,701.025
function@_ZN20ComputeNonbondedUtil16calc_self_energyEP9nonbonded,689,153,0,235,113,110,8394.7,2243.76,2012.55,749.732,701.025
function@_ZN20ComputeNonbondedUtil19calc_self_fullelectEP9nonbonded,744,146,0,240,101,120,9594.44,1779.48,1737.24,181.306,953.133
function@_ZN20ComputeNonbondedUtil26calc_self_energy_fullelectEP9nonbonded,794,169,0,266,103,118,12968.7,3031.58,3064.31,326.221,876.334
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,705,129,0,214,105,112,8598.93,874.75,839.562,472.507,775.186
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,725,158,0,239,105,116,9836.38,2652.84,2241.6,472.507,797.471
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,680,127,0,213,104,114,6968.4,874.377,904.664,467.479,778.985
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,693,131,0,219,106,117,7971.24,896.662,1197.61,613.389,728.128
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,714,171,0,251,102,108,10245.8,3165.26,2570.44,661.327,406.507
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,793,229,0,296,100,115,13446,6259,4196.56,109.922,776.681
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,779,190,0,271,108,108,13991,3867.87,3618.86,736.904,479.321
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,772,193,0,261,121,122,8279.13,3138.1,2148.82,632.471,607.289
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,877,237,0,304,109,132,11947.1,5531.8,3543.63,150.108,824.793
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,819,198,0,268,112,127,10093.8,3424.71,2410.18,393.88,630.274
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,16,9,0,11,8,7,12.5765,16.2588,2.8,7.22353,15.0235
function@_ZN8MoleculeC2Ev,0,0,0,0,0,2,0,0,0,0,1
function@_ZN8MoleculeD2Ev,0,0,0,0,0,2,0,0,0,0,25.2593
function@_ZN8Molecule8readfileEP8_IO_FILE,4,2,0,1,4,8,1.09524,0.480274,0.234375,0.638282,3.35018
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,5,0,0,0,0,3.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,17,9,0,8,2,3,4.69412,2.71765,2.72941,0.494118,0.741176
function@_Z9dummy_erfi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,18,0,0,0,0,1.90732e-05
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,1,8,0,5,0,12,1,8,5,0,12
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,16,9,0,11,8,7,12.5765,16.2588,2.8,7.22353,15.0235
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_GLOBAL__sub_I_Compute.C,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,1,0,0,0,0,0.999999
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,1,0,0,0,0,1
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,1,0,0,0,0,1
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,3,0,0,0,0,3.36245
function@_ZN7Lattice3setE6VectorS0_S0_S0_,47,56,0,23,0,0,26.4118,31.7059,11.902,0,0
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,14,10,0,7,6,18,0.541791,3.38092,0.374009,0.28305,3.81591
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,85
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,627,125,0,225,102,99,7735.24,1033.48,1576.98,722.141,608.378
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,640,150,0,245,102,99,8623.78,2810.18,3057.26,722.141,608.378
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,702,156,0,266,98,100,10728.8,2597.86,3086.48,133.812,829.977
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,745,185,0,294,101,101,13748.6,4184.53,4798.89,426.166,700.534
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,659,136,0,234,101,98,9287.49,1264.68,1880.95,428.711,681.949
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,690,151,0,251,103,98,11069.4,2086.42,2776.89,505.037,681.949
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,650,125,0,232,105,98,8751.45,738.808,1943.13,654.453,611.636
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,642,132,0,236,97,97,7797.8,975.651,1738.58,202.97,678.249
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,678,128,0,215,114,110,7661.76,633.49,698.28,753.389,701.025
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,697,157,0,238,114,110,8701.9,2536.33,2023.52,753.389,701.025
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,756,146,0,242,104,119,10124.7,1640.51,1536.1,329.878,949.477
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,793,189,0,288,107,119,12409.1,4424.96,4187.05,478.449,949.477
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,720,131,0,223,108,112,9418.12,1021.04,1289.39,551.592,775.186
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,736,163,0,246,108,116,10363,3018.55,2545.15,551.592,797.471
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,685,130,0,217,102,112,6847.71,954.833,780.317,253.078,771.672
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,694,134,0,223,102,116,7557.98,977.119,1002.41,252.702,793.958
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,16,9,0,11,8,7,12.5765,16.2588,2.8,7.22353,15.0235
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,702,184,0,270,95,109,8066.98,3112.65,2191.64,128.927,704.981
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,723,210,0,281,95,109,8986.95,4638.1,2683.08,128.927,704.981
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,870,248,0,317,104,116,15706.9,6751.92,3749.54,569.464,856.768
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,904,282,0,341,104,116,17296,8765.38,4970.34,569.464,856.768
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,774,199,0,293,92,112,10954.4,4098.43,3069.6,135.058,827.339
