"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_bugPKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_diePKc,0,0,0,0,0,0,0,0,0,0,0
function@main,122,76,0,92,17,253,515.075,540.039,299.657,109.203,738.927
function@_ZN9ResultSetD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,813,124,0,421,27,364,13289,2831.92,6040.9,18.2479,1703.94
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,21,9,0,36,2,24,170.2,91.8,244.16,0.96,136.12
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,22,13,0,20,0,2,10.0735,4.29412,9.75,0,0.441176
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1056,181,0,559,35,396,20312.3,6115.75,11379.8,19.2643,2861.04
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,915,133,0,460,29,376,15724.9,3317.22,6845.49,16.1605,1926.71
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,791,118,0,411,25,403,10766.7,2396.89,4119.05,15.6463,1912.11
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,765,138,0,402,37,386,12289.9,3534.8,4719.42,27.1983,2157.34
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,890,165,0,470,38,419,18207,5671.51,7337.45,30.5968,2930.11
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,875,148,0,446,43,406,15465.1,4416.45,6027,30.9352,2408.74
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,758,119,0,367,47,418,9773.48,2743.87,2337.98,31.1813,2708.61
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,6,4,0,8,0,20,8.62353,8.25882,5.07059,0,23.7412
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9moveatomsEv,7,4,0,8,0,5,148.75,85,149.417,0,106.25
function@_ZN5Patch10zeroforcesEv,0,2,0,1,0,5,0,13.4,0.64,0,44
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,12,17,0,20,0,59,2.04218,4.37622,2.47431,0,17.1691
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,4,2,0,4,0,0,0.999996,0.499999,2,0,0
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchListD2Ev,2,0,0,1,0,1,0.624997,0,0.625,0,1.15481e-05
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList10setresultsEP9ResultSet,4,1,0,5,0,3,60.4375,19.9375,80.375,0,59.8125
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,3,1,0,3,0,9,0.794015,1.60648e-06,0.263672,0,3.02748
function@_ZN7LJTableC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable8readfileEP8_IO_FILE,1,0,0,1,0,7,2.07961,0,0.234375,0,6.78954
function@_ZN7LJTableD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil9calc_pairEP9nonbonded,402,66,0,214,16,200,3214.19,662.037,1313.08,3.95742,600.64
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,21,9,0,36,2,24,170.2,91.8,244.16,0.96,136.12
function@_ZN20ComputeNonbondedUtil16calc_pair_energyEP9nonbonded,414,70,0,231,16,207,3884.7,958.092,2356.66,3.95742,758.411
function@_ZN20ComputeNonbondedUtil19calc_pair_fullelectEP9nonbonded,477,75,0,265,16,206,5595.52,1536.55,3222.71,4.35302,971.815
function@_ZN20ComputeNonbondedUtil26calc_pair_energy_fullelectEP9nonbonded,507,86,0,281,16,199,6626.2,2064.68,4491.91,3.84066,1161.06
function@_ZN20ComputeNonbondedUtil25calc_pair_merge_fullelectEP9nonbonded,447,71,0,234,20,200,4078.78,881.023,1795.93,7.0261,818.059
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_merge_fullelectEP9nonbonded,461,79,0,254,18,192,4823.57,1472.94,3060.8,6.65247,1078.51
function@_ZN20ComputeNonbondedUtil24calc_pair_slow_fullelectEP9nonbonded,426,66,0,228,24,203,3401.73,743.438,1129.4,5.15385,817.343
function@_ZN20ComputeNonbondedUtil31calc_pair_energy_slow_fullelectEP9nonbonded,454,71,0,242,24,200,4439.33,1113.51,2022.39,5.15385,816.106
function@_ZN20ComputeNonbondedUtil9calc_selfEP9nonbonded,429,67,0,204,34,219,2815.83,581.783,755.721,17.956,874.367
function@_ZN20ComputeNonbondedUtil16calc_self_energyEP9nonbonded,423,75,0,217,33,218,3484.34,1099,1717.53,14.0288,1025.98
function@_ZN20ComputeNonbondedUtil19calc_self_fullelectEP9nonbonded,466,68,0,229,32,215,4514.09,876.106,1382.84,15.4835,1168.5
function@_ZN20ComputeNonbondedUtil26calc_self_energy_fullelectEP9nonbonded,482,82,0,258,33,221,5545.12,1758.27,3287.44,14.0288,1111.55
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,427,73,0,206,34,218,3343.14,806.801,768.386,15.8571,948.552
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,447,82,0,229,34,216,4379.02,1395.6,2242.21,15.8571,1022.98
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,410,70,0,199,34,227,3182.64,526.402,252.516,15.8571,975.455
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,430,70,0,212,28,216,3506.85,743.993,789.955,15.1456,1101.38
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,481,91,0,249,20,220,3881.92,1799.43,2537.41,4.56456,941.327
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,595,111,0,315,19,240,6722.39,3269.16,5036.55,6.78022,1436.35
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,528,91,0,272,16,226,5390.42,1867.96,3190.56,4.34753,1223.64
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,486,101,0,250,35,252,3166.88,1869.04,2076.83,14.1841,1014.03
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,580,112,0,297,33,256,6164.09,2307.08,4072.28,13.8104,1206.3
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,507,107,0,260,34,259,3878.49,2296.33,2392.4,13.9973,855.216
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,6,4,0,8,0,20,8.62353,8.25882,5.07059,0,23.7412
function@_ZN8MoleculeC2Ev,0,0,0,0,0,2,0,0,0,0,1
function@_ZN8MoleculeD2Ev,0,0,0,0,0,3,0,0,0,0,25.8889
function@_ZN8Molecule8readfileEP8_IO_FILE,3,0,0,3,0,9,0.737696,0,0.837822,0,2.8978
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,4,0,0,0,0,2.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,2,2,0,4,0,15,0.494118,0.494118,0.988235,0,3.49412
function@_Z9dummy_erfi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,18,0,0,0,0,1.90732e-05
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,1,4,0,5,0,15,1,4,5,0,15
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,6,4,0,8,0,20,8.62353,8.25882,5.07059,0,23.7412
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,1,0,0,0,0,0.999999
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,1,0,0,0,0,1
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,1,0,0,0,0,1
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,2,0,0,0,0,2.36245
function@_ZN7Lattice3setE6VectorS0_S0_S0_,19,9,0,29,0,16,12,7.03922,17.2941,0,7.45098
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,3,1,0,3,0,24,0.0955991,0.171994,0.0956018,0,4.02976
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,85
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,403,66,0,215,16,200,3362.22,662.037,1388.49,3.95742,600.64
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,21,9,0,36,2,24,170.2,91.8,244.16,0.96,136.12
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,414,78,0,223,17,192,3596.87,1550.2,2352.43,6.26923,580.339
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,488,84,0,262,17,197,6352.33,1548.17,3373.24,4.53983,1015.11
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,512,80,0,283,19,206,7425.81,1619.21,4710.05,154.18,1394.2
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,443,69,0,237,19,202,4233.85,880.779,1735.12,6.89698,896.971
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,454,71,0,253,17,211,5433.69,1098.18,2989.55,9.59478,979.556
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,428,64,0,225,19,211,3987.59,583.383,1125.55,4.71429,979.181
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,454,69,0,243,19,202,5024.68,880.649,2168.39,4.71429,825.462
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,429,65,0,202,34,221,2950.67,507.703,613.063,17.956,957.978
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,428,73,0,219,33,214,3777.24,952.713,1865.19,14.0288,799.477
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,497,71,0,240,32,224,5645.77,954.808,1970.45,15.4835,1400.81
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,492,85,0,266,32,230,6555.05,2051.46,4092.79,88.897,1626.28
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,437,71,0,212,36,226,3798.07,733.694,848.653,18.2596,968.897
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,459,78,0,235,33,210,4614.97,1319.18,2259.65,15.6703,938.172
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,425,66,0,204,33,219,3343.76,585.284,339.402,15.6703,1170.07
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,440,71,0,219,33,216,4395.14,671.751,1160.9,15.294,1023.4
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,6,4,0,8,0,20,8.62353,8.25882,5.07059,0,23.7412
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,492,95,0,253,21,218,4399.18,1513.19,2145.31,7.14561,1047.03
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,21,9,0,36,2,24,170.2,91.8,244.16,0.96,136.12
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,507,112,0,262,21,222,4185.1,2363.19,2580.21,7.14561,1230.51
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,618,105,0,317,21,247,8529.92,2663.46,4448.57,65.7157,2523.71
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,632,136,0,355,25,250,9856.85,4072.78,6162.5,66.0879,2940.13
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,503,104,0,278,17,248,5755.62,2069.57,2910.92,4.93819,1197.47
function@_ZN20ComputeNonbondedUtil38calc_pair_energy_merge_fullelect_pprofEP9nonbonded,541,118,0,301,16,236,6090.11,2743.76,3598.9,4.68132,1475.15
