@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,196, 105, 0, 97, 101, 153, 489.341, 615.938, 114.806, 292.773, 537.445
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1202, 341, 0, 417, 177, 188, 20187.9, 7102.68, 6535.14, 668.343, 1463.67
~&SPILL_STATS,37, 12, 0, 34, 12, 8, 328, 112.84, 208.8, 83.2, 71.72
~&SPILL_STATS,25, 34, 0, 24, 0, 0, 11.3382, 11.2794, 11.7647, 0, 0
~&SPILL_STATS,1491, 420, 0, 506, 170, 203, 34118, 12367.4, 11058.3, 634.75, 2139.53
~&SPILL_STATS,1380, 346, 0, 432, 174, 199, 27941.7, 8208.3, 7559.64, 967.552, 1872.48
~&SPILL_STATS,1236, 248, 0, 362, 165, 206, 19413.5, 2828.45, 4371.94, 563.672, 2086.12
~&SPILL_STATS,1224, 340, 0, 394, 187, 201, 21238.3, 6909.51, 5300.54, 788.911, 1772.44
~&SPILL_STATS,1476, 393, 0, 444, 174, 220, 33091.6, 11301, 7318.78, 549.284, 2669.69
~&SPILL_STATS,1383, 339, 0, 403, 178, 212, 28270.1, 7857.37, 5837.61, 841.785, 2221.56
~&SPILL_STATS,1252, 255, 0, 335, 179, 221, 19953.5, 2989.22, 2565.8, 989.031, 2601.81
~&SPILL_STATS,14, 9, 0, 9, 5, 8, 10.2118, 16.1294, 6.2, 0.976471, 21.0353
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 5, 0, 6, 3, 2, 128.5, 106.25, 107.25, 22.9167, 42.5
~&SPILL_STATS,0, 2, 0, 1, 1, 4, 0, 13.4, 0.64, 0.64, 43.36
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,32, 34, 0, 26, 25, 46, 5.64744, 7.62259, 5.89948, 5.5406, 16.4229
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 3, 0, 4, 1, 0, 1.99999, 1.5, 3, 0.499998, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.15481e-05
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,3, 3, 0, 6, 0, 3, 40.875, 59.8125, 81.375, 0, 59.8125
~&SPILL_STATS,7, 2, 0, 2, 1, 10, 0.541991, 0.117189, 0.234375, 0.117188, 3.14467
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 7, 2.07961, 0.234375, 0.234375, 0, 3.68043
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,631, 138, 0, 219, 100, 94, 8035.71, 1032.14, 1854.33, 720.511, 454.156
~&SPILL_STATS,37, 12, 0, 34, 12, 8, 328, 112.84, 208.8, 83.2, 71.72
~&SPILL_STATS,643, 154, 0, 229, 102, 96, 8485.37, 2142.72, 2376.5, 725.135, 602.184
~&SPILL_STATS,708, 169, 0, 259, 102, 97, 11173.6, 2596.52, 3428.13, 432.86, 820.136
~&SPILL_STATS,723, 191, 0, 275, 100, 103, 11827.8, 3947.73, 4104.71, 142.817, 920.136
~&SPILL_STATS,659, 148, 0, 227, 101, 96, 9147.58, 1259.64, 2010.27, 433.093, 675.809
~&SPILL_STATS,695, 151, 0, 238, 95, 99, 10644.3, 1932.78, 2760.85, 437.221, 750.6
~&SPILL_STATS,634, 138, 0, 221, 99, 98, 7571.65, 667.154, 1706.08, 425.692, 753.523
~&SPILL_STATS,648, 146, 0, 233, 101, 97, 8386.92, 1259.26, 2446.59, 502.018, 679.509
~&SPILL_STATS,664, 144, 0, 206, 112, 109, 7311.86, 779.256, 816.224, 751.904, 698.135
~&SPILL_STATS,682, 167, 0, 227, 112, 109, 8344.49, 2243.24, 1995.18, 751.904, 698.135
~&SPILL_STATS,745, 162, 0, 240, 101, 120, 9570.11, 1779.72, 1729.99, 185.764, 1023.39
~&SPILL_STATS,790, 185, 0, 264, 101, 117, 13006.6, 3177.35, 3339.89, 326.107, 873.444
~&SPILL_STATS,699, 143, 0, 206, 104, 112, 8556.22, 874.231, 822.19, 474.678, 845.438
~&SPILL_STATS,719, 173, 0, 232, 104, 116, 9793.67, 2725.46, 2297.38, 474.678, 867.724
~&SPILL_STATS,685, 138, 0, 208, 102, 112, 7730.27, 654.429, 1106.72, 538.223, 775.952
