"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_bugPKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_diePKc,0,0,0,0,0,0,0,0,0,0,0
function@main,198,67,0,85,143,153,485.591,609.375,111.056,307.272,537.445
function@_ZN9ResultSetD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,1196,341,0,417,173,187,19920.3,7167.49,6532.72,401.146,1462.29
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,25,34,0,24,0,0,11.3382,11.2794,11.7647,0,0
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1496,420,0,507,171,200,34455.5,12304.1,10994.6,700.12,2004.62
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,1360,340,0,426,167,195,26610.1,7744.42,6963.85,563.489,1670.8
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,1257,255,0,371,173,196,20629.8,2978.8,4525.99,1029.21,1610.72
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,1211,340,0,394,182,200,20367.4,6910.88,5228.1,492.526,1771.29
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,1488,392,0,444,178,215,34466.8,11306.3,7682.06,840.185,2376.03
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,1369,340,0,404,175,208,27391.7,7931.87,5838.3,620.81,2001.03
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,1277,264,0,349,184,209,21646.4,3370.84,3168.4,1350.31,1935.22
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,14,9,0,9,5,8,10.2118,16.1294,6.2,0.976471,21.0353
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9moveatomsEv,7,5,0,6,3,2,128.5,106.25,107.25,22.9167,42.5
function@_ZN5Patch10zeroforcesEv,0,2,0,1,1,4,0,13.4,0.64,0.64,43.36
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,39,29,0,28,30,45,5.90379,8.35501,5.97273,5.76032,16.3496
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,6,3,0,4,1,0,1.99999,1.5,3,0.499998,0
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchListD2Ev,0,0,0,0,0,1,0,0,0,0,1.15481e-05
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList10setresultsEP9ResultSet,3,3,0,6,0,3,40.875,59.8125,81.375,0,59.8125
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,7,2,0,2,1,10,0.541991,0.117189,0.234375,0.117188,3.14467
function@_ZN7LJTableC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable8readfileEP8_IO_FILE,1,1,0,1,0,7,2.07961,0.234375,0.234375,0,3.68043
function@_ZN7LJTableD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable18compute_vdw_paramsEiiPNS_10TableEntryES1_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil9calc_pairEP9nonbonded,627,137,0,218,102,94,7742.46,959.176,1634.56,723.347,527.124
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil16calc_pair_energyEP9nonbonded,643,153,0,226,103,95,8488.17,2069.76,2008.71,725.659,601.137
function@_ZN20ComputeNonbondedUtil19calc_pair_fullelectEP9nonbonded,690,169,0,256,98,96,9988.47,2527.26,3062.65,133.629,819.089
function@_ZN20ComputeNonbondedUtil26calc_pair_energy_fullelectEP9nonbonded,718,192,0,275,99,101,11604.9,3952.48,4032.97,137.33,845.076
function@_ZN20ComputeNonbondedUtil25calc_pair_merge_fullelectEP9nonbonded,686,144,0,229,111,95,11363.4,1034.95,2227.19,1028.04,604.449
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_merge_fullelectEP9nonbonded,719,148,0,235,106,98,12638.1,1782.11,2607.7,1034.48,679.24
function@_ZN20ComputeNonbondedUtil24calc_pair_slow_fullelectEP9nonbonded,646,136,0,223,106,95,8462.61,590.491,1852.68,729.673,604.449
function@_ZN20ComputeNonbondedUtil31calc_pair_energy_slow_fullelectEP9nonbonded,655,143,0,232,105,95,8907.82,1108.59,2371.15,583.957,604.449
function@_ZN20ComputeNonbondedUtil9calc_selfEP9nonbonded,664,144,0,208,113,108,7315.52,780.628,819.197,752.589,696.981
function@_ZN20ComputeNonbondedUtil16calc_self_energyEP9nonbonded,683,167,0,229,113,108,8355.65,2244.61,1998.15,752.589,696.981
function@_ZN20ComputeNonbondedUtil19calc_self_fullelectEP9nonbonded,738,160,0,234,101,118,9555.39,1780.34,1722.84,184.163,949.089
function@_ZN20ComputeNonbondedUtil26calc_self_energy_fullelectEP9nonbonded,789,183,0,262,102,115,13002.8,3032.44,3196.2,326.792,799.147
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,699,143,0,208,105,110,8559.88,875.603,825.162,475.364,771.142
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,719,172,0,233,105,114,9797.33,2653.69,2227.21,475.364,793.427
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,687,140,0,211,106,110,7880.21,802.087,1182.83,687.48,701.655
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,698,144,0,216,106,114,8736.76,824.373,1402.64,687.103,723.941
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,720,188,0,252,104,104,10400.5,3443.52,2985.27,664.033,403.658
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,797,242,0,291,102,112,13461.4,6258.71,4193.55,112.628,773.869
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,804,193,0,270,105,107,14851.4,3867.19,4175.74,881.072,477.045
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,771,202,0,253,118,121,8851.98,2770.39,2130.99,631.364,483.352
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,866,251,0,295,108,133,11902.8,5472.65,3464.09,152.858,824.284
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,838,211,0,262,118,128,12018.2,3303.85,2574.41,886.103,571.136
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,14,9,0,9,5,8,10.2118,16.1294,6.2,0.976471,21.0353
function@_ZN8MoleculeC2Ev,0,0,0,0,0,2,0,0,0,0,1
function@_ZN8MoleculeD2Ev,0,0,0,0,0,2,0,0,0,0,25.2593
function@_ZN8Molecule8readfileEP8_IO_FILE,4,2,0,1,4,8,1.09524,0.480274,0.234375,0.638282,3.35018
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,5,0,0,0,0,3.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,16,8,0,7,0,2,3.95294,2.47059,2.48235,0,0.494118
function@_Z9dummy_erfi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,18,0,0,0,0,1.90732e-05
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,1,8,0,5,0,12,1,8,5,0,12
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,14,9,0,9,5,8,10.2118,16.1294,6.2,0.976471,21.0353
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_GLOBAL__sub_I_Compute.C,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,1,0,0,0,0,0.999999
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,1,0,0,0,0,1
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,1,0,0,0,0,1
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,3,0,0,0,0,3.36245
function@_ZN7Lattice3setE6VectorS0_S0_S0_,47,56,0,23,0,0,26.4118,31.7059,11.902,0,0
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,11,7,0,4,3,20,0.293656,0.376324,0.169819,0.0349154,4.05028
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,85
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,641,136,0,222,102,93,8497.4,885.162,1719.68,724.736,453.11
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,644,161,0,238,104,95,8645.8,2661.87,2903.9,729.36,601.137
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,706,169,0,261,100,97,10750.8,2597.57,3081.15,141.03,822.79
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,748,194,0,292,103,98,13696.6,3888.18,5015.6,433.385,693.348
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,668,148,0,230,102,94,9679.58,1190.37,1949.63,433.618,600.749
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,703,154,0,242,98,97,11102.3,2085.56,2774.23,514.071,675.54
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,659,137,0,228,106,95,9143.54,664.504,2011.81,659.36,604.449
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,646,149,0,235,99,94,7819.82,1271.42,2029.3,210.188,671.062
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,672,142,0,209,114,108,7622.72,634.343,683.881,756.246,696.981
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,691,171,0,232,114,108,8662.84,2537.18,2009.12,756.246,696.981
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,755,159,0,237,103,116,10451.4,1568.22,1594.84,330.449,872.29
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,796,203,0,286,105,115,13028.4,4425.81,4465.23,476.735,799.147
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,715,147,0,220,108,110,9452.21,1168.17,1494.42,554.449,771.142
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,731,177,0,241,108,114,10397.1,3019.41,2603.89,554.449,793.427
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,679,144,0,211,102,109,6808.66,955.686,765.918,255.935,767.485
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,688,148,0,217,102,113,7518.93,977.972,988.006,255.559,789.771
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,14,9,0,9,5,8,10.2118,16.1294,6.2,0.976471,21.0353
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,707,197,0,266,97,106,8148.37,3112.36,2249.3,132.5,701.328
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,37,12,0,34,12,8,328,112.84,208.8,83.2,71.72
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,725,227,0,280,97,106,8885.33,4881.82,2923.76,132.5,701.328
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,875,261,0,312,105,113,15788.3,6751.63,3746.2,512.034,853.115
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,909,296,0,337,105,113,17377.4,8826.1,5028,512.034,853.115
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,778,212,0,288,94,109,10974.8,4098.14,3066.26,138.63,823.687
