"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z10exit_usagePKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_bugPKc,0,0,0,0,0,0,0,0,0,0,0
function@_Z8NAMD_diePKc,0,0,0,0,0,0,0,0,0,0,0
function@main,118,76,0,90,19,248,515.076,540.039,259.726,149.134,759.516
function@_ZN9ResultSetD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_fepEP9nonbonded,812,129,0,440,23,387,13402.7,3246.79,6619.19,16.7613,1675.83
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,19,11,0,42,0,23,164.12,112.2,260.72,0,155.2
function@_Z24fep_vdw_forceandenergiesdddddddddiidddPdS_S_,22,13,0,20,0,3,10.0735,4.29412,9.75,0,0.661765
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_fepEP9nonbonded,1027,183,0,565,30,414,20181.4,5772.69,11059.7,81.4219,2781.43
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_fepEP9nonbonded,924,143,0,482,28,405,16121.5,3796.78,7168.82,20.662,2018.8
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_fepEP9nonbonded,808,119,0,414,24,400,10502.4,2533.63,4212.18,12.2378,1889.45
function@_ZN20ComputeNonbondedUtil20calc_self_energy_fepEP9nonbonded,752,135,0,397,39,417,12191.6,3402.8,4632.02,25.4911,2407.92
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_fepEP9nonbonded,888,163,0,458,47,422,18540.3,5336.38,7248.71,102.964,3048.87
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_fepEP9nonbonded,831,148,0,427,34,421,14909.8,4142.38,5568.69,26.9339,2678.97
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_fepEP9nonbonded,751,125,0,355,46,408,10120.7,2825.38,2171.71,30.0797,2610.8
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,9,4,0,8,0,14,8.98824,8.25882,5.35294,0,22.3882
function@_ZN5PatchC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5PatchD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN5Patch9moveatomsEv,5,4,0,7,0,4,106.25,85,128.167,0,85
function@_ZN5Patch10zeroforcesEv,0,2,0,1,0,5,0,13.4,0.64,0,44
function@_ZN5Patch9setforcesEP6VectorS1_,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN5Patch8readfileEP8_IO_FILEP8Molecule,9,17,0,19,0,61,1.08701,4.37622,1.70957,0,16.7559
function@_ZN9ResultSet9writefileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8readfileEP8_IO_FILE,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equaldd,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_,0,0,0,0,0,0,0,0,0,0,0
function@_Z5equalPdS_S_S_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet5checkEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet8samemodeERS_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9ResultSet7compareERS_,4,2,0,4,0,0,0.999996,0.499999,2,0,0
function@_ZN9PatchListC2ER7Lattice,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchListD2Ev,2,0,0,1,0,1,0.624997,0,0.625,0,1.15481e-05
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN9PatchList9moveatomsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList11zeroresultsEv,0,0,0,0,0,2,0,0,0,0,42.5
function@_ZN9PatchList10setresultsEP9ResultSet,4,1,0,5,0,3,60.4375,19.9375,80.375,0,59.8125
function@_ZN9PatchList8readfileEP8_IO_FILEP8Molecule,2,1,0,2,0,11,0.073241,1.60648e-06,0.19043,0,3.21791
function@_ZN7LJTableC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN7LJTable8readfileEP8_IO_FILE,1,0,0,1,0,7,2.07961,0,0.234375,0,6.78954
function@_ZN7LJTableD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN20ComputeNonbondedUtil9calc_pairEP9nonbonded,407,60,0,206,15,193,3230.26,583.128,1096.11,4.28297,643.79
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,19,11,0,42,0,23,164.12,112.2,260.72,0,155.2
function@_ZN20ComputeNonbondedUtil16calc_pair_energyEP9nonbonded,420,67,0,217,19,194,4082.31,1028.42,2299.72,4.54808,738.753
function@_ZN20ComputeNonbondedUtil19calc_pair_fullelectEP9nonbonded,471,76,0,250,11,197,5522.04,1420.9,3156.67,3.02335,1105.56
function@_ZN20ComputeNonbondedUtil26calc_pair_energy_fullelectEP9nonbonded,504,84,0,281,18,202,6806.79,2079.23,4727.37,77.3723,1048.68
function@_ZN20ComputeNonbondedUtil25calc_pair_merge_fullelectEP9nonbonded,429,65,0,228,18,205,4075.1,952.068,1793.51,4.09478,741.686
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_merge_fullelectEP9nonbonded,459,72,0,252,12,204,5227.46,1329.63,3149.95,3.21016,845.31
function@_ZN20ComputeNonbondedUtil24calc_pair_slow_fullelectEP9nonbonded,409,63,0,211,20,209,3480.67,742.459,1196.71,4.22253,964.349
function@_ZN20ComputeNonbondedUtil31calc_pair_energy_slow_fullelectEP9nonbonded,437,64,0,223,16,219,4027.58,958.312,1879.93,3.95742,1071.57
function@_ZN20ComputeNonbondedUtil9calc_selfEP9nonbonded,392,68,0,187,33,213,2801.85,518.981,666.219,14.6978,930.776
function@_ZN20ComputeNonbondedUtil16calc_self_energyEP9nonbonded,412,75,0,205,29,212,3449.23,1177.74,1630.55,14.3242,1159.27
function@_ZN20ComputeNonbondedUtil19calc_self_fullelectEP9nonbonded,461,73,0,213,29,225,4381.57,965.809,1359.17,12.8709,1099.37
function@_ZN20ComputeNonbondedUtil26calc_self_energy_fullelectEP9nonbonded,482,86,0,246,31,224,5430.5,1843.9,3122.6,84.1264,1226.3
function@_ZN20ComputeNonbondedUtil25calc_self_merge_fullelectEP9nonbonded,420,72,0,191,29,217,3687.75,809.114,751.616,12.8709,1010.82
function@_ZN20ComputeNonbondedUtil32calc_self_energy_merge_fullelectEP9nonbonded,453,80,0,223,32,210,4754.78,1394.07,2378.22,12.9272,1009.34
function@_ZN20ComputeNonbondedUtil24calc_self_slow_fullelectEP9nonbonded,423,69,0,191,30,222,2775.27,617.247,251.339,13.0577,940.144
function@_ZN20ComputeNonbondedUtil31calc_self_energy_slow_fullelectEP9nonbonded,423,70,0,203,24,217,3364.32,885.107,781.131,11.1195,1086.63
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_intEP9nonbonded,476,88,0,234,18,219,3767.64,1785.76,2404.36,4.72115,953.353
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_intEP9nonbonded,600,120,0,316,19,234,6878.41,3265.64,4917.34,4.53297,1162.7
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_intEP9nonbonded,521,89,0,257,18,230,5175.23,1941.27,3195.86,3.94231,969.554
function@_ZN20ComputeNonbondedUtil20calc_self_energy_intEP9nonbonded,495,106,0,242,32,246,2985.62,2135.12,2129.53,8.8544,692.309
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_intEP9nonbonded,537,112,0,286,30,265,5839.05,2561.7,3942.96,10.1978,1018.5
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_intEP9nonbonded,486,111,0,242,30,263,3698.18,2375.29,2320.67,10.0055,878.074
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,9,4,0,8,0,14,8.98824,8.25882,5.35294,0,22.3882
function@_ZN8MoleculeC2Ev,0,0,0,0,0,2,0,0,0,0,1
function@_ZN8MoleculeD2Ev,0,0,0,0,0,3,0,0,0,0,25.8889
function@_ZN8Molecule8readfileEP8_IO_FILE,3,0,0,3,0,8,0.737696,0,0.837822,0,2.59608
function@_ZN11ObjectArenaIcE11getNewArrayEi,0,0,0,0,0,4,0,0,0,0,2.25
function@_ZN11ResizeArrayIPcED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIPcED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawIPcE3insERKS0_i,4,0,0,4,0,13,0.988235,0,0.988235,0,3
function@_Z9dummy_erfi,0,0,0,0,0,0,0,0,0,0,0
function@_ZN26ComputeNonbondedWorkArraysC2Ev,0,0,0,0,0,18,0,0,0,0,1.90732e-05
function@_ZN26ComputeNonbondedWorkArraysD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11SelfCompute6doWorkEP9PatchList,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11PairCompute6doWorkEP9PatchList,1,4,0,5,0,14,1,4,5,0,14
function@_ZN11ResizeArrayI6VectorED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayItED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ResizeArrayIdED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,9,4,0,8,0,14,8.98824,8.25882,5.35294,0,22.3882
function@_ZN11ResizeArrayI6VectorED0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParametersC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN13SimParameters8setparamEPKcS1_,0,0,0,0,0,1,0,0,0,0,0.999999
function@_Z11parse_paramPKcS0_S0_Ri,0,0,0,0,0,1,0,0,0,0,1
function@_Z11parse_paramPKcS0_S0_Rd,0,0,0,0,0,1,0,0,0,0,1
function@_ZN13SimParameters8readfileEP8_IO_FILE,0,0,0,0,0,2,0,0,0,0,2.36245
function@_ZN7Lattice3setE6VectorS0_S0_S0_,23,7,0,26,0,8,12.6078,6.37255,17.5882,0,4.62745
function@_ZN11ComputeListC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeListD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11ComputeList8readfileEP8_IO_FILEP9PatchList,3,1,0,3,0,24,0.0955991,0.171994,0.0956018,0,4.02976
function@_ZN11ComputeList11runComputesEP9PatchList,0,0,0,0,0,4,0,0,0,0,85
function@_ZN20ComputeNonbondedUtil13calc_pair_lesEP9nonbonded,412,61,0,210,18,187,3312.51,584.346,1034.18,4.58517,709.258
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,19,11,0,42,0,23,164.12,112.2,260.72,0,155.2
function@_ZN20ComputeNonbondedUtil20calc_pair_energy_lesEP9nonbonded,401,72,0,216,15,203,3610.18,1404.31,2292.51,4.28297,740.729
function@_ZN20ComputeNonbondedUtil23calc_pair_fullelect_lesEP9nonbonded,486,78,0,256,17,203,6198.5,1568.93,3382.32,3.35852,1127.86
function@_ZN20ComputeNonbondedUtil30calc_pair_energy_fullelect_lesEP9nonbonded,510,90,0,279,16,207,7207.85,2084.92,4878.47,3.41758,1034.6
function@_ZN20ComputeNonbondedUtil29calc_pair_merge_fullelect_lesEP9nonbonded,448,65,0,230,18,206,4311.82,946.254,1800.21,4.09478,738.23
function@_ZN20ComputeNonbondedUtil36calc_pair_energy_merge_fullelect_lesEP9nonbonded,455,69,0,250,12,218,5601.89,1181.85,3004,3.21016,1000
function@_ZN20ComputeNonbondedUtil28calc_pair_slow_fullelect_lesEP9nonbonded,414,62,0,214,14,209,3996.59,660.842,1197.82,3.58379,818.771
function@_ZN20ComputeNonbondedUtil35calc_pair_energy_slow_fullelect_lesEP9nonbonded,428,65,0,227,13,217,4739.82,810.081,1875.26,3.39698,931.712
function@_ZN20ComputeNonbondedUtil13calc_self_lesEP9nonbonded,377,67,0,185,30,215,2931.22,517.874,671.694,14.4533,849.798
function@_ZN20ComputeNonbondedUtil20calc_self_energy_lesEP9nonbonded,417,74,0,205,29,217,3818.16,1032.39,1489.2,13.8365,1149.53
function@_ZN20ComputeNonbondedUtil23calc_self_fullelect_lesEP9nonbonded,463,73,0,215,28,228,5109.78,1035.3,1579.52,12.6841,1312.05
function@_ZN20ComputeNonbondedUtil30calc_self_energy_fullelect_lesEP9nonbonded,477,91,0,252,28,235,6425.96,2137.61,4001.96,9.21429,1466.49
function@_ZN20ComputeNonbondedUtil29calc_self_merge_fullelect_lesEP9nonbonded,418,74,0,192,31,222,4127.42,813.707,903.264,12.9986,1150.97
function@_ZN20ComputeNonbondedUtil36calc_self_energy_merge_fullelect_lesEP9nonbonded,461,81,0,224,31,221,4831.27,1469.23,2385.15,13.9519,1022.26
function@_ZN20ComputeNonbondedUtil28calc_self_slow_fullelect_lesEP9nonbonded,430,68,0,190,31,214,3279.34,590.455,254.735,12.4986,1146.1
function@_ZN20ComputeNonbondedUtil35calc_self_energy_slow_fullelect_lesEP9nonbonded,443,68,0,201,29,222,3937.75,665.736,846.501,12.2486,1034.56
function@_ZN14ResizeArrayRawI6VectorE6resizeEi,9,4,0,8,0,14,8.98824,8.25882,5.35294,0,22.3882
function@_ZN20ComputeNonbondedUtil15calc_pair_pprofEP9nonbonded,491,89,0,252,19,230,4285.04,1511.55,2103.41,5.05357,1095.38
function@_Z22pairlist_from_pairlistddddPK8CompAtomPKtiPtdPd,19,11,0,42,0,23,164.12,112.2,260.72,0,155.2
function@_ZN20ComputeNonbondedUtil22calc_pair_energy_pprofEP9nonbonded,495,102,0,262,17,241,4553.69,2349.21,2543.51,65.375,1295.68
function@_ZN20ComputeNonbondedUtil25calc_pair_fullelect_pprofEP9nonbonded,597,117,0,306,25,253,8425.73,2761.39,4298.5,7.01786,2407.5
function@_ZN20ComputeNonbondedUtil32calc_pair_energy_fullelect_pprofEP9nonbonded,605,140,0,336,17,260,10015.2,4205.83,5859.46,4.74176,2554.32
function@_ZN20ComputeNonbondedUtil31calc_pair_merge_fullelect_pprofEP9nonbonded,536,103,0,274,17,247,5452.64,1991.49,2576.52,65.375,1244.29
function@_ZN20ComputeNonbondedUtil38calc_pair_energy_merge_fullelect_pprofEP9nonbonded,533,111,0,291,16,247,6259.65,2599,3191.77,126.004,1712.8
