@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,273, 115, 0, 100, 97, 162, 1223.81, 782.331, 158.335, 324.93, 542.534
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1460, 406, 0, 487, 228, 123, 19710.1, 5852.93, 5487.07, 241.415, 1342.98
~&SPILL_STATS,46, 14, 0, 41, 12, 6, 335.64, 142.8, 250.56, 73, 51.32
~&SPILL_STATS,28, 31, 0, 24, 0, 0, 13.1912, 9.42647, 11.7647, 0, 0
~&SPILL_STATS,1741, 484, 0, 555, 205, 159, 35512.9, 11591, 10022.7, 855.693, 1830.46
~&SPILL_STATS,1630, 410, 0, 502, 219, 137, 27451.2, 7054.89, 6828.56, 460.118, 1539.75
~&SPILL_STATS,1469, 334, 0, 434, 219, 147, 19203.7, 2706.52, 4244.51, 289.603, 1993.94
~&SPILL_STATS,1471, 407, 0, 456, 223, 144, 20558.2, 6407.45, 4065.24, 360.686, 1539.17
~&SPILL_STATS,1848, 475, 0, 533, 257, 145, 35121.1, 10499.5, 6651.05, 995.026, 2298.06
~&SPILL_STATS,1691, 444, 0, 508, 237, 146, 27748.7, 7281.16, 4876.02, 333.124, 2005.54
~&SPILL_STATS,1560, 345, 0, 433, 223, 163, 25045.1, 3200.91, 4188.27, 1217.81, 1741.66
~&SPILL_STATS,28, 7, 0, 11, 5, 4, 62.4706, 14.6353, 6.82353, 4.74118, 16.2824
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 5, 0, 7, 2, 2, 171, 106.25, 128.5, 22.25, 42.5
~&SPILL_STATS,15, 1, 0, 1, 4, 5, 160.68, 10.2, 0.64, 23.6, 44
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,93, 26, 0, 25, 15, 39, 54.8648, 5.74155, 5.91413, 4.41523, 12.9152
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 3, 0, 4, 1, 0, 1.99999, 1.5, 3, 0.499998, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 0, 0, 1, 0, 1, 0.624997, 0, 0.625, 0, 1.15481e-05
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 42.5
~&SPILL_STATS,4, 0, 0, 5, 0, 3, 60.8125, 0, 42.125, 0, 59.8125
~&SPILL_STATS,12, 6, 0, 5, 7, 9, 2.66898, 2.81243, 0.585939, 3.23722, 3.02749
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 4, 0, 1, 2, 4, 4.29129, 2.77518, 0.234375, 0.270302, 1.35156
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,745, 183, 0, 226, 119, 75, 7801.39, 673.589, 1424.81, 422.556, 448.751
~&SPILL_STATS,46, 14, 0, 41, 12, 6, 335.64, 142.8, 250.56, 73, 51.32
~&SPILL_STATS,770, 193, 0, 237, 119, 75, 9213.22, 1340.09, 2020.99, 422.556, 448.751
~&SPILL_STATS,852, 198, 0, 269, 114, 83, 13606.1, 1832.56, 3496.66, 695.017, 539.497
~&SPILL_STATS,886, 224, 0, 296, 109, 79, 14890.8, 3824.31, 4617.58, 677.517, 525.497
~&SPILL_STATS,786, 185, 0, 237, 107, 86, 10319.6, 944.86, 2006.41, 395.619, 543.615
~&SPILL_STATS,825, 194, 0, 249, 110, 86, 12693.6, 1466.84, 2530.9, 617.661, 543.615
~&SPILL_STATS,746, 193, 0, 240, 116, 84, 6795.96, 746.598, 1448.33, 110.283, 820.725
~&SPILL_STATS,760, 193, 0, 246, 116, 83, 7611.24, 746.598, 1744.76, 110.283, 746.711
~&SPILL_STATS,805, 192, 0, 232, 132, 87, 8330.75, 769.329, 1124.89, 494.048, 543.665
~&SPILL_STATS,797, 210, 0, 236, 119, 91, 7074.71, 1591.87, 1352.22, 161.433, 552.465
~&SPILL_STATS,937, 217, 0, 276, 142, 85, 12977.1, 1076.86, 1902.37, 805.701, 624.029
~&SPILL_STATS,980, 245, 0, 299, 142, 85, 15914.3, 2982.46, 3158.55, 805.701, 624.029
~&SPILL_STATS,859, 211, 0, 249, 139, 86, 10713.8, 992.12, 1218.19, 817.955, 674.522
~&SPILL_STATS,888, 226, 0, 265, 139, 86, 12339.3, 2016.49, 1961.94, 817.955, 674.522
~&SPILL_STATS,817, 199, 0, 242, 132, 89, 7680.87, 832.156, 1137.64, 471.599, 837.929
