@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,39, 5, 0, 21, 0, 46, 420.003, 22.4999, 54.0436, 0, 825.189
~&SPILL_STATS,321, 140, 0, 170, 9, 141, 8.29445e+07, 1.17612e+08, 2.09674e+07, 959.3, 1.15309e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,346, 149, 0, 183, 10, 151, 1.04136e+08, 1.2995e+08, 2.33406e+07, 1810.37, 1.28032e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,289, 119, 0, 161, 7, 120, 8.28464e+07, 1.17612e+08, 2.09492e+07, 705.558, 1.15345e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,293, 109, 0, 173, 9, 137, 1.04054e+08, 1.3e+08, 2.33154e+07, 1558.98, 1.28095e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,39, 5, 0, 21, 0, 46, 420.003, 22.4999, 54.0436, 0, 825.189
~&SPILL_STATS,237, 93, 0, 136, 10, 157, 820640, 338436, 160624, 1018.44, 563646
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,221, 89, 0, 111, 10, 123, 1.01191e+06, 430789, 64388, 1263.39, 437917
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,237, 93, 0, 136, 10, 157, 820640, 338436, 160624, 1018.44, 563646
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,221, 89, 0, 111, 10, 123, 1.01191e+06, 430789, 64388, 1263.39, 437917
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6.62194
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,255, 73, 0, 146, 10, 175, 3.69105e+06, 4.64953e+06, 262869, 322.159, 3.89256e+06
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,289, 86, 0, 169, 15, 201, 2.63582e+06, 1.24844e+06, 209192, 3578.93, 1.2918e+06
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6.62194
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,141, 40, 0, 87, 2, 70, 841152, 227560, 35724.7, 4.10784, 264567
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,144, 38, 0, 80, 3, 78, 958180, 223898, 43835.9, 106.136, 297256
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,148, 34, 0, 81, 1, 84, 844301, 258869, 33657.1, 3.73023, 295881
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,159, 33, 0, 86, 2, 85, 957812, 242130, 37091.1, 136.768, 324471
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,8, 1, 0, 4, 1, 11, 5.00025, 0.999999, 3.625, 1, 9.62449
~&SPILL_STATS,11, 0, 0, 7, 0, 22, 720.235, 0, 56.5882, 0, 1447.97
~&SPILL_STATS,1, 0, 0, 1, 0, 7, 0.62498, 0, 0.624999, 0, 23.2494
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53674e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53674e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53674e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.84774e-06
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9.53674e-07
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1
