@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,37, 5, 0, 21, 0, 49, 426.877, 17.4999, 51.5436, 0, 855.527
~&SPILL_STATS,318, 147, 0, 169, 9, 149, 8.32177e+07, 1.17341e+08, 2.09541e+07, 959.3, 1.15366e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,352, 146, 0, 181, 10, 156, 1.04134e+08, 1.2994e+08, 2.33287e+07, 1810.37, 1.28048e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,293, 115, 0, 160, 7, 125, 8.286e+07, 1.17584e+08, 2.0936e+07, 705.558, 1.15409e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,289, 110, 0, 172, 9, 142, 1.04027e+08, 1.29992e+08, 2.33079e+07, 1558.98, 1.28108e+08
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,37, 5, 0, 21, 0, 49, 426.877, 17.4999, 51.5436, 0, 855.527
~&SPILL_STATS,252, 86, 0, 140, 14, 153, 855743, 354409, 154735, 1683.14, 565073
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,241, 77, 0, 101, 7, 130, 1.08447e+06, 316926, 67426.5, 855.418, 434236
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 11, 19.9979, 0, 0.624998, 0, 99.9901
~&SPILL_STATS,252, 86, 0, 140, 14, 153, 855743, 354409, 154735, 1683.14, 565073
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
