@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 79.9922
~&SPILL_STATS,74, 14, 0, 20, 10, 21, 618.535, 80.6732, 44.2564, 43.0853, 699.488
~&SPILL_STATS,384, 278, 0, 127, 133, 56, 2.68742e+08, 1.65595e+08, 4.46469e+07, 7.89922e+07, 8.02561e+07
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 59.9942
~&SPILL_STATS,437, 281, 0, 154, 122, 71, 2.99596e+08, 1.94513e+08, 5.00365e+07, 8.76861e+07, 8.91625e+07
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 79.9922
~&SPILL_STATS,358, 240, 0, 123, 123, 52, 2.6877e+08, 1.65546e+08, 4.46588e+07, 7.89728e+07, 8.02832e+07
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 59.9942
~&SPILL_STATS,404, 236, 0, 150, 117, 63, 2.99781e+08, 1.94518e+08, 5.01248e+07, 8.7745e+07, 8.91389e+07
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 79.9922
