@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,49, 11, 0, 29, 4, 44, 807.899, 630.052, 397.168, 4.71113, 1018.89
~&SPILL_STATS,5, 0, 0, 3, 0, 6, 615, 0, 40, 0, 823.125
~&SPILL_STATS,2, 1, 0, 2, 0, 7, 220, 200, 220, 0, 1622.5
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 45.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 40.5714
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 40.5714
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 40.5714
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 40.5714
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 56.1964
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,17, 2, 0, 11, 0, 15, 73.5, 13.125, 72.875, 0, 135.25
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 20.0588
~&SPILL_STATS,9, 1, 0, 6, 0, 23, 730, 200, 245.312, 0, 1031.01
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 0, 0, 7, 0, 16, 46.8333, 0, 31.9815, 0, 66.6296
~&SPILL_STATS,11, 3, 0, 14, 0, 7, 0.541667, 0.25, 0.791667, 0, 2.20833
~&SPILL_STATS,5, 1, 0, 5, 0, 10, 1.96774, 0.483871, 2.19355, 0, 55.4194
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.91667
~&SPILL_STATS,4, 0, 0, 4, 0, 1, 0.1875, 0, 0.1875, 0, 1
~&SPILL_STATS,1, 0, 0, 2, 0, 2, 0.625, 0, 0.625, 0, 2
~&SPILL_STATS,1, 1, 0, 1, 3, 2, 0.625, 15.8571, 1, 8.55357, 1.625
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 21.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 0, 0, 5, 4, 5, 78.8235, 0, 34.6765, 12.3235, 356.912
~&SPILL_STATS,5, 0, 0, 2, 2, 2, 149.5, 0, 62.3529, 24.9118, 21.0588
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,16, 0, 0, 12, 0, 6, 28.7109, 0, 28.7109, 0, 7.55859
~&SPILL_STATS,0, 1, 0, 1, 0, 8, 0, 0.625, 1, 0, 29.625
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 8.82353
~&SPILL_STATS,2, 0, 0, 2, 0, 2, 0.46875, 0, 0.9375, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
