"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,3,0,0,1,0,2,1.66667,0,1,0,2
function@MAIN_parseCommandLine,0,0,0,0,0,1,0,0,0,0,0.499999
function@MAIN_printInfo,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_initialize,0,0,0,0,0,0,0,0,0,0,0
function@MAIN_finalize,0,0,0,0,0,0,0,0,0,0,0
function@LBM_allocateGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_freeGrid,0,0,0,0,0,0,0,0,0,0,0
function@LBM_initializeGrid,0,0,0,0,0,2,0,0,0,0,63.75
function@LBM_swapGrids,0,0,0,0,0,0,0,0,0,0,0
function@LBM_loadObstacleFile,4,3,0,1,8,3,2111.5,2079.62,31.875,2177.25,33792.8
function@LBM_initializeSpecialCellsForLDC,6,12,0,1,10,16,180.625,2879,31.875,1164,68569.1
function@LBM_initializeSpecialCellsForChannel,2,4,0,0,6,10,63.75,2762.25,0,1121.5,70345.8
function@LBM_performStreamCollideBGK,9,42,0,17,2,6,134.875,522.75,285.875,32.875,127.25
function@LBM_performStreamCollideTRT,43,118,0,65,2,6,690.625,1801.25,1063.88,32.875,127.25
function@LBM_handleInOutFlow,19,55,0,40,2,6,605.625,1753.12,1275,32.875,191.25
function@LBM_showGridStatistics,21,32,0,29,2,7,232.375,686,588.625,16.9375,207.562
function@LBM_storeVelocityField,11,2,0,3,9,1,109633,1056,1057,3202,32768
function@LBM_compareVelocityField,13,46,0,23,9,2,232513,1.44285e+06,656417,3202,32769
