@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,3, 0, 0, 1, 0, 2, 1.66667, 0, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 3, 0, 1, 8, 3, 2111.5, 2079.62, 31.875, 2177.25, 33792.8
~&SPILL_STATS,8, 11, 0, 1, 10, 14, 1545.88, 2196.38, 31.875, 1164, 67203.9
~&SPILL_STATS,2, 4, 0, 0, 6, 10, 63.75, 2762.25, 0, 1121.5, 70345.8
~&SPILL_STATS,10, 44, 0, 18, 1, 7, 134.75, 570.5, 301.75, 15.875, 175.125
~&SPILL_STATS,46, 116, 0, 67, 2, 6, 738.25, 1777.5, 1095.62, 32.875, 127.25
~&SPILL_STATS,15, 27, 0, 30, 2, 6, 478.125, 860.625, 956.25, 32.875, 191.25
~&SPILL_STATS,25, 32, 0, 34, 2, 7, 296.125, 686, 668.312, 16.9375, 207.562
~&SPILL_STATS,11, 2, 0, 3, 9, 1, 109633, 1056, 1057, 3202, 32768
~&SPILL_STATS,13, 46, 0, 23, 9, 2, 232513, 1.44285e+06, 656417, 3202, 32769
