@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 1, 0, 5, 0, 6, 2111.5, 1023.88, 2143.38, 0, 34880.4
~&SPILL_STATS,3, 3, 0, 4, 2, 20, 405, 1137.62, 436.875, 42.5, 66853.5
~&SPILL_STATS,2, 1, 0, 3, 0, 10, 63.75, 1023.88, 95.625, 0, 70345.8
~&SPILL_STATS,25, 12, 0, 22, 0, 21, 228.875, 102.5, 349.25, 0, 341.375
~&SPILL_STATS,30, 71, 0, 75, 0, 12, 460.25, 1063.12, 1190.62, 0, 254.5
~&SPILL_STATS,12, 6, 0, 18, 0, 9, 382.5, 191.25, 573.75, 0, 286.875
~&SPILL_STATS,29, 7, 0, 27, 2, 10, 277.25, 111.562, 556.188, 16.9375, 239.375
~&SPILL_STATS,5, 1, 0, 6, 0, 5, 34880, 1024, 3168, 0, 33857
~&SPILL_STATS,25, 2, 0, 27, 0, 5, 657473, 33792, 658529, 0, 33857
