@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,3, 0, 0, 1, 0, 2, 1.66667, 0, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 3, 0, 1, 8, 3, 2111.5, 2079.62, 31.875, 2177.25, 33792.8
~&SPILL_STATS,6, 11, 0, 1, 8, 15, 180.625, 2196.38, 31.875, 460.125, 67355.5
~&SPILL_STATS,2, 2, 0, 1, 4, 9, 63.75, 1055.75, 31.875, 65.75, 70313.9
~&SPILL_STATS,9, 39, 0, 15, 0, 8, 118.875, 475.125, 238.125, 0, 191
~&SPILL_STATS,54, 112, 0, 60, 0, 8, 849.25, 1706, 968.5, 0, 191
~&SPILL_STATS,16, 38, 0, 24, 4, 5, 510, 1211.25, 765, 65.75, 159.375
~&SPILL_STATS,17, 30, 0, 23, 2, 7, 168.625, 638.125, 477, 16.9375, 207.562
~&SPILL_STATS,6, 2, 0, 2, 9, 2, 35904, 1056, 1056, 3202, 32769
~&SPILL_STATS,13, 46, 0, 23, 9, 2, 232513, 1.44285e+06, 656417, 3202, 32769
