@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,3, 0, 0, 2, 0, 1, 1.66667, 0, 2, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.499999
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 1, 0, 5, 0, 6, 2111.5, 1023.88, 2143.38, 0, 34880.4
~&SPILL_STATS,3, 3, 0, 4, 2, 20, 405, 1137.62, 436.875, 42.5, 66853.5
~&SPILL_STATS,2, 1, 0, 3, 0, 9, 63.75, 1023.88, 95.625, 0, 69321.9
~&SPILL_STATS,23, 14, 0, 23, 0, 11, 197.125, 118.25, 365.125, 0, 238.625
~&SPILL_STATS,32, 64, 0, 71, 0, 18, 492, 952, 1127.12, 0, 349.75
~&SPILL_STATS,9, 6, 0, 15, 0, 8, 286.875, 191.25, 478.125, 0, 255
~&SPILL_STATS,31, 8, 0, 30, 2, 8, 309.125, 127.5, 604, 16.9375, 223.5
~&SPILL_STATS,5, 1, 0, 6, 0, 5, 34880, 1024, 3168, 0, 33857
~&SPILL_STATS,25, 2, 0, 27, 0, 5, 657473, 33792, 658529, 0, 33857
