"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_ZN11xalanc_1_1016XalanUTF16WriterC2ERNS_6WriterERN11xercesc_2_713MemoryManagerE,0,0,0,0,0,2,0,0,0,0,0.625001
function@_ZN11xalanc_1_1020XalanFormatterWriterD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016XalanUTF16WriterD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1020XalanFormatterWriterD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016FunctionEvaluateC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1016FunctionEvaluateD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1016FunctionEvaluate7executeERNS_21XPathExecutionContextEPNS_9XalanNodeERKNS_11XalanVectorINS_10XObjectPtrENS_31MemoryManagedConstructionTraitsIS6_EEEEPKN11xercesc_2_77LocatorE,0,2,0,4,0,10,0,0.375,0.375001,0,3.71874
function@_ZN11xalanc_1_109doExecuteERNS_21XPathExecutionContextEPNS_9XalanNodeERKNS_14XalanDOMStringERKNS_14PrefixResolverEPKN11xercesc_2_77LocatorE,0,0,0,0,0,4,0,0,0,0,0.999999
function@_ZNK11xalanc_1_1016FunctionEvaluate5cloneERN11xercesc_2_713MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1016FunctionEvaluate8getErrorERNS_14XalanDOMStringE,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1012XPathFactoryC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperC2EPN11xercesc_2_717DOMImplementationE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapperC2ERKS0_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper6createERN11xercesc_2_713MemoryManagerEPNS1_17DOMImplementationE,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_30XercesDOMImplementationWrapperELb0EED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper10hasFeatureERKNS_14XalanDOMStringES3_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper18createDocumentTypeERKNS_14XalanDOMStringES3_S3_,0,0,0,0,0,2,0,0,0,0,1.5
function@_ZN11xalanc_1_1030XercesDOMImplementationWrapper14createDocumentERKNS_14XalanDOMStringES3_RKNS_17XalanDocumentTypeE,0,0,0,0,0,2,0,0,0,0,1.5
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1021ElemForwardCompatibleC2ERNS_29StylesheetConstructionContextERNS_10StylesheetEPKtRKN11xercesc_2_713AttributeListEii,0,1,0,1,0,4,0,19.9983,0.999998,0,19.9984
function@_ZN11xalanc_1_1021ElemForwardCompatible6createERN11xercesc_2_713MemoryManagerERNS_29StylesheetConstructionContextERNS_10StylesheetEPKtRKNS1_13AttributeListEii,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xalanc_1_1018XalanMemMgrAutoPtrINS_21ElemForwardCompatibleELb0EED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible14getElementNameEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1021ElemForwardCompatibleD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible12startElementERNS_26StylesheetExecutionContextE,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1021ElemForwardCompatible19executeChildElementERNS_26StylesheetExecutionContextEPKNS_19ElemTemplateElementE,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeTokenC2EtPNS_13MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeTokenD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeTokenD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeToken23getCaseInsensitiveTokenEPNS_12TokenFactoryE,4,1,0,3,0,9,4.42,1.25,2.61,0,150.7
function@_ZN11xercesc_2_710RangeToken14setRangeValuesEPij,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710RangeToken8addRangeEii,4,0,0,2,0,5,0.753086,0,0.45679,0,4.81481
function@_ZN11xercesc_2_710RangeToken6expandEj,0,0,0,0,0,4,0,0,0,0,24.25
function@_ZN11xercesc_2_710RangeToken10sortRangesEv,8,3,0,11,1,5,559.259,341.278,393.519,0.148148,274.87
function@_ZN11xercesc_2_710RangeToken13compactRangesEv,0,0,0,0,0,3,0,0,0,0,18.5441
function@_ZN11xercesc_2_716RuntimeExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_ZN11xercesc_2_710RangeToken11mergeRangesEPKNS_5TokenE,15,1,0,10,1,16,79.6874,0.390625,43.3593,0.390625,101.006
function@_ZN11xercesc_2_724IllegalArgumentExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_ZN11xercesc_2_710RangeToken14subtractRangesEPS0_,30,2,0,12,2,4,8.92718,0.31068,4.58252,0.116505,0.466019
function@_ZN11xercesc_2_710RangeToken15intersectRangesEPS0_,26,0,0,11,2,1,7.65414,0,3.05263,0.383459,0.390977
function@_ZN11xercesc_2_710RangeToken16complementRangesEPS0_PNS_12TokenFactoryEPNS_13MemoryManagerE,0,0,0,0,0,4,0,0,0,0,2
function@_ZN11xercesc_2_710RangeToken5matchEi,3,1,0,2,0,6,6.32105,2.49474,2.72632,0,26.6
function@_ZN11xercesc_2_710RangeToken11doCreateMapEv,1,0,0,1,0,1,6.94444,0,0.611111,0,111.944
function@_ZN11xercesc_2_75Token8addChildEPS0_PNS_12TokenFactoryE,0,0,0,0,0,2,0,0,0,0,1.5
function@_ZN11xercesc_2_716RuntimeExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_716RuntimeException9duplicateEv,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xercesc_2_724IllegalArgumentExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_724IllegalArgumentException9duplicateEv,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xercesc_2_722XSModelGroupDefinitionC2EPNS_15XercesGroupInfoEPNS_10XSParticleEPNS_12XSAnnotationEPNS_7XSModelEPNS_13MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinitionD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinitionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinition7getNameEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinition12getNamespaceEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinition16getNamespaceItemEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_722XSModelGroupDefinition13getModelGroupEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1025XalanSimplePrefixResolverC2ERKNS_14XalanDOMStringES3_S3_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1025XalanSimplePrefixResolverD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1025XalanSimplePrefixResolver21getNamespaceForPrefixERKNS_14XalanDOMStringE,0,0,0,0,0,1,0,0,0,0,1
function@_ZNK11xalanc_1_1025XalanSimplePrefixResolver6getURIEv,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_79XMLAttDef16getAttTypeStringENS0_8AttTypesEPNS_13MemoryManagerE,0,0,0,0,0,2,0,0,0,0,1.37091e-06
function@_ZN11xercesc_2_730ArrayIndexOutOfBoundsExceptionC2EPKcjNS_10XMLExcepts5CodesEPNS_13MemoryManagerE,0,0,0,0,0,1,0,0,0,0,9.53674e-07
function@_ZN11xercesc_2_79XMLAttDef19getDefAttTypeStringENS0_11DefAttTypesEPNS_13MemoryManagerE,0,0,0,0,0,2,0,0,0,0,1.37091e-06
function@_ZN11xercesc_2_79XMLAttDefD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_79XMLAttDef7cleanUpEv,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_79XMLAttDefC2ENS0_8AttTypesENS0_11DefAttTypesEPNS_13MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_79XMLAttDefC2EPKtNS0_8AttTypesENS0_11DefAttTypesES2_PNS_13MemoryManagerE,0,0,0,0,0,9,0,0,0,0,28.0312
function@_ZN11xercesc_2_717JanitorMemFunCallINS_9XMLAttDefEED2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_79XMLAttDef9serializeERNS_16XSerializeEngineE,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_730ArrayIndexOutOfBoundsExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xercesc_2_730ArrayIndexOutOfBoundsException9duplicateEv,0,0,0,0,0,3,0,0,0,0,2
function@_ZNK11xalanc_1_1026XalanEXSLTFunctionEvaluate7executeERNS_21XPathExecutionContextEPNS_9XalanNodeERKNS_11XalanVectorINS_10XObjectPtrENS_31MemoryManagedConstructionTraitsIS6_EEEEPKN11xercesc_2_77LocatorE,0,0,0,0,0,3,0,0,0,0,1
function@_ZN11xalanc_1_1026XalanEXSLTFunctionEvaluateD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1026XalanEXSLTFunctionEvaluate5cloneERN11xercesc_2_713MemoryManagerE,0,0,0,0,0,0,0,0,0,0,0
function@_ZNK11xalanc_1_1026XalanEXSLTFunctionEvaluate8getErrorERNS_14XalanDOMStringE,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1013XalanDocumentC2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1013XalanDocumentC2ERKS0_,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xalanc_1_1013XalanDocumentaSERKS0_,0,0,0,0,0,1,0,0,0,0,1
function@_ZN11xercesc_2_710AttrNSImplC2EPNS_12DocumentImplERKNS_9DOMStringE,0,0,0,0,0,3,0,0,0,0,3.69548e-06
function@_ZN11xercesc_2_710AttrNSImplC2EPNS_12DocumentImplERKNS_9DOMStringES5_,5,0,0,2,0,27,2,0,2,0,2.1875
function@_ZN11xercesc_2_710AttrNSImplC2ERKS0_b,0,0,0,0,0,6,0,0,0,0,5.72202e-06
function@_ZN11xercesc_2_710AttrNSImpl9cloneNodeEb,0,0,0,0,0,3,0,0,0,0,2
function@_ZN11xercesc_2_710AttrNSImpl15getNamespaceURIEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN11xercesc_2_710AttrNSImpl9getPrefixEv,0,0,0,0,0,2,0,0,0,0,1
function@_ZN11xercesc_2_710AttrNSImpl12getLocalNameEv,0,0,0,0,0,1,0,0,0,0,1
function@_ZN11xercesc_2_710AttrNSImpl9setPrefixERKNS_9DOMStringE,0,0,0,0,0,30,0,0,0,0,0.312529
function@_ZN11xercesc_2_710AttrNSImplD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_710AttrNSImplD0Ev,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_717SAXParseExceptionC2EPKtRKNS_7LocatorEPNS_13MemoryManagerE,0,0,0,0,0,13,0,0,0,0,43.1718
function@_ZN11xercesc_2_717SAXParseExceptionC2EPKtS2_S2_llPNS_13MemoryManagerE,0,0,0,0,0,10,0,0,0,0,40.5469
function@_ZN11xercesc_2_717SAXParseExceptionC2ERKS0_,0,0,0,0,0,13,0,0,0,0,42.4219
function@_ZN11xercesc_2_717SAXParseExceptionD2Ev,0,0,0,0,0,0,0,0,0,0,0
function@__clang_call_terminate,0,0,0,0,0,0,0,0,0,0,0
function@_ZN11xercesc_2_717SAXParseExceptionD0Ev,0,0,0,0,0,0,0,0,0,0,0
