"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@main,61,38,0,55,57,58,0.156964,0.102705,1.29282,4.45459,19.9542
function@Help,4,0,0,2,0,2,2,0,2,0,2
function@x264_adaptive_quant_frame,55,11,0,27,5,39,899.901,236.412,440.553,49.584,593.588
function@x264_macroblock_tree_read,10,0,0,5,0,12,12.2686,0,1.54548,0,28.2255
function@x264_reference_build_list_optimal,3,3,0,6,2,10,80,208,90,6,270
function@x264_ratecontrol_init_reconfigurable,6,2,0,6,0,2,1.12171,0.529605,1.20395,0,0.296053
function@x264_ratecontrol_new,85,20,0,34,0,72,21.6715,79.4248,7.22613,0,141.579
function@x264_strcat_filename,0,0,0,0,0,5,0,0,0,0,5
function@init_pass2,224,56,0,137,11,148,15597.9,7799.58,9684.47,49.305,13669.1
function@x264_ratecontrol_summary,0,1,0,2,0,0,0,0.154412,0.147059,0,0
function@x264_ratecontrol_delete,0,0,0,0,0,2,0,0,0,0,20.45
function@x264_ratecontrol_start,19,1,0,12,2,10,4.44168,0.0527343,6.34541,0.210526,29.3651
function@rate_estimate_qscale,90,26,0,60,1,23,119.523,16.1195,39.3997,0.1875,9.72802
function@x264_ratecontrol_mb,16,10,0,22,0,20,3.54087,4.16346,1.87179,0,6.72035
function@predict_row_size_sum,17,3,0,10,0,15,91.3095,4.47619,32,0,57.881
function@x264_ratecontrol_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_mb_qp,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_slice_type,0,0,0,0,0,3,0,0,0,0,7.57353
function@x264_ratecontrol_set_weights,0,0,0,0,0,0,0,0,0,0,0
function@x264_ratecontrol_end,13,4,0,15,1,18,5.43781,0.735532,5.85702,0.208333,15.2408
function@x264_hrd_fullness,2,0,0,2,0,0,1.5,0,1.5,0,0
function@x264_threads_normalize_predictors,1,0,0,1,0,9,0.625,0,0.625,0,71.175
function@x264_threads_distribute_ratecontrol,24,6,0,15,0,40,255.09,171.466,108.821,0,425.94
function@x264_threads_merge_ratecontrol,23,10,0,21,1,22,311.022,207.647,157.213,0.0514706,405.456
function@x264_thread_sync_ratecontrol,0,0,0,0,0,0,0,0,0,0,0
function@clip_qscale,50,12,0,30,0,19,65.9782,24.7222,19.1843,0,35.8792
function@x264_mb_encode_i4x4,0,0,0,0,0,3,0,0,0,0,1.48438
function@x264_mb_encode_i8x8,0,0,0,0,0,10,0,0,0,0,5.09375
function@x264_mb_encode_8x8_chroma,39,24,0,22,4,53,241.744,219.641,215.051,20.9795,360.933
function@x264_mb_optimize_chroma_dc,10,2,0,8,6,11,406.333,2.60784,19.2353,4.23529,266.627
function@x264_predict_lossless_8x8_chroma,0,0,0,0,0,0,0,0,0,0,0
function@x264_predict_lossless_4x4,0,0,0,0,0,0,0,0,0,0,0
function@x264_predict_lossless_8x8,0,0,0,0,0,1,0,0,0,0,1
function@x264_predict_lossless_16x16,0,0,0,0,0,0,0,0,0,0,0
function@x264_macroblock_encode,62,53,0,31,14,82,15.8209,18.0938,12.3693,2.53419,37.7443
function@x264_macroblock_probe_skip,9,10,0,16,0,14,46.4147,17.043,33.3649,0,66.1019
function@x264_noise_reduction_update,19,5,0,14,2,44,49.9375,35.9375,11,1,105.875
function@x264_macroblock_encode_p8x8,25,27,0,21,10,23,5.55469,4.68108,8.42212,0.566895,7.38322
function@x264_macroblock_encode_p4x4,0,1,0,1,0,4,0,0.234375,0.375,0,1.14062
function@x264_lookahead_init,1,3,0,2,1,12,0.390465,14.4526,1.01509,0.194931,54.0392
function@x264_lookahead_delete,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_put_frame,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_is_empty,0,0,0,0,0,0,0,0,0,0,0
function@x264_lookahead_get_frames,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_search_ref,716,265,0,394,17,295,1518.17,810.974,532.326,7.23074,692.956
function@refine_subpel,210,75,0,77,5,47,154.942,76.0877,96.8787,9.26968,47.8431
function@x264_me_refine_qpel,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_qpel_refdupe,0,0,0,0,0,2,0,0,0,0,2
function@x264_me_refine_bidir_satd,0,0,0,0,0,0,0,0,0,0,0
function@x264_me_refine_bidir,97,53,0,61,10,46,691.554,411.073,501.485,7.08226,262.604
function@x264_me_refine_bidir_rd,0,0,0,0,0,1,0,0,0,0,1
function@x264_me_refine_qpel_rd,169,82,0,101,5,73,36.7116,25.9465,34.3193,0.897226,22.111
function@x264_sps_init,0,0,0,0,0,2,0,0,0,0,2
function@x264_sps_write,287,26,0,88,0,400,145.777,14.2317,60.712,0,197.388
