@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,73, 41, 0, 76, 59, 53, 0.178073, 0.123666, 1.65375, 5.02512, 37.44
~&SPILL_STATS,4, 0, 0, 2, 0, 2, 2, 0, 2, 0, 2
~&SPILL_STATS,46, 13, 0, 23, 9, 44, 697.824, 261.687, 298.107, 143.37, 658.866
~&SPILL_STATS,6, 0, 0, 3, 0, 8, 8.74106, 0, 1.17668, 0, 14.0138
~&SPILL_STATS,4, 3, 0, 6, 1, 9, 144, 208, 90, 2, 264
~&SPILL_STATS,6, 3, 0, 6, 0, 0, 1.12171, 0.677632, 1.20395, 0, 0
~&SPILL_STATS,96, 29, 0, 53, 1, 72, 21.6943, 79.5291, 7.19798, 0.000710106, 135.259
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,222, 43, 0, 138, 11, 121, 19028.2, 7352.91, 10222, 59.012, 13768
~&SPILL_STATS,0, 1, 0, 2, 0, 0, 0, 0.154412, 0.147059, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 20.45
~&SPILL_STATS,26, 1, 0, 12, 2, 14, 6.13406, 0.0527343, 6.34541, 0.210526, 30.023
~&SPILL_STATS,78, 23, 0, 65, 0, 37, 116.913, 15.5876, 42.3592, 0, 22.229
~&SPILL_STATS,21, 9, 0, 21, 0, 18, 4.11699, 4.05609, 1.7516, 0, 6.4391
~&SPILL_STATS,13, 2, 0, 9, 0, 17, 70.0714, 4.26191, 39.1667, 0, 106.833
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7.26471
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,16, 1, 0, 17, 1, 27, 6.44545, 0.287739, 6.41604, 0.208333, 16.5228
~&SPILL_STATS,2, 0, 0, 2, 0, 0, 1.5, 0, 1.5, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 9, 0.625, 0, 0.625, 0, 71.175
~&SPILL_STATS,18, 7, 0, 15, 0, 56, 106.321, 199.366, 76.4664, 0, 857.72
~&SPILL_STATS,21, 9, 0, 18, 2, 31, 152.125, 235.096, 88.2868, 0.441176, 918.235
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,43, 11, 0, 28, 0, 17, 59.7609, 24.6673, 13.1103, 0, 40.1527
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.48438
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4.10938
~&SPILL_STATS,37, 21, 0, 16, 9, 36, 265.251, 155.574, 143.442, 52.1104, 315.336
~&SPILL_STATS,10, 2, 0, 8, 6, 7, 406.333, 2.60784, 19.2353, 4.23529, 103.588
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,35, 55, 0, 24, 15, 45, 12.9175, 16.7201, 11.8877, 2.8634, 26.6503
~&SPILL_STATS,11, 8, 0, 16, 0, 16, 54.6388, 15.4322, 23.2809, 0, 57.0742
~&SPILL_STATS,28, 8, 0, 14, 2, 39, 58.9375, 38.9375, 11, 1, 193.688
~&SPILL_STATS,26, 24, 0, 18, 9, 23, 4.98674, 4.69572, 8.21704, 0.689117, 8.79102
~&SPILL_STATS,0, 1, 0, 1, 0, 1, 0, 0.234375, 0.375, 0, 0.625
~&SPILL_STATS,1, 3, 0, 2, 1, 12, 0.390465, 14.4526, 1.01509, 0.194931, 54.0392
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,696, 260, 0, 403, 20, 235, 1603.54, 761.205, 550.309, 6.06324, 609.087
~&SPILL_STATS,203, 75, 0, 84, 8, 76, 172.109, 54.7821, 93.8555, 10.2004, 68.5801
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,89, 39, 0, 60, 10, 48, 716.296, 403.042, 508.289, 7.13988, 194.939
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,197, 76, 0, 96, 10, 73, 45.0328, 22.7624, 39.2505, 1.50254, 22.3415
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,284, 23, 0, 119, 0, 378, 137.992, 12.2749, 67.0327, 0, 201.36
~&SPILL_STATS,18, 0, 0, 3, 15, 9, 4.44706, 0, 0.741176, 1.41176, 64.4353
~&SPILL_STATS,71, 5, 0, 31, 0, 105, 43.3571, 5, 19.4286, 0, 74.8214
~&SPILL_STATS,29, 2, 0, 11, 0, 28, 46.9265, 0.676471, 11.9118, 0, 49.1765
~&SPILL_STATS,1, 1, 0, 2, 0, 18, 1, 1, 2, 0, 14
~&SPILL_STATS,1, 0, 0, 1, 0, 6, 0.32, 0, 0.64, 0, 3.92
~&SPILL_STATS,0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 8.25
~&SPILL_STATS,16, 1, 0, 12, 0, 22, 22.4691, 6.30864, 15.963, 0, 64.8272
~&SPILL_STATS,3, 1, 0, 3, 0, 21, 1.96, 1, 3, 0, 14.8
~&SPILL_STATS,2, 0, 0, 3, 0, 11, 1.88, 0, 1.88, 0, 8.4
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 42.9062
~&SPILL_STATS,7, 2, 0, 3, 4, 10, 4.21875, 1.46875, 3, 1.48438, 6.21875
~&SPILL_STATS,3, 5, 0, 13, 3, 20, 0.0405948, 0.0287724, 0.240357, 0.225204, 3.90189
~&SPILL_STATS,4, 1, 0, 4, 0, 16, 0.0523553, 0.016917, 0.116961, 0, 2.27928
~&SPILL_STATS,0, 1, 0, 1, 0, 3, 0, 0.146484, 0.390625, 0, 13.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5.74118
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 6.27184
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.5
~&SPILL_STATS,24, 4, 0, 19, 2, 46, 118.643, 42.619, 70.0238, 10.4524, 315.738
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,173, 25, 0, 35, 25, 97, 156.334, 89.2322, 17.8389, 1.37268, 82.0662
~&SPILL_STATS,43, 8, 0, 27, 0, 68, 244.636, 1.43615, 10.5309, 0, 376.286
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 16.1905
~&SPILL_STATS,40, 6, 0, 18, 2, 40, 1085.73, 43.975, 125.25, 10.525, 2967.9
~&SPILL_STATS,325, 42, 0, 74, 9, 407, 1270.23, 446.776, 540.045, 55.508, 2292.7
~&SPILL_STATS,139, 61, 0, 187, 4, 60, 51898.6, 13496.3, 41477.4, 21.7656, 28965.8
~&SPILL_STATS,0, 2, 0, 1, 0, 5, 0, 10.7742, 0.483871, 0, 35.4516
~&SPILL_STATS,0, 2, 0, 2, 0, 8, 0, 25.0941, 1.01176, 0, 77.2824
~&SPILL_STATS,20, 16, 0, 20, 3, 18, 36.6569, 12.8824, 30.951, 2.37255, 28.1471
~&SPILL_STATS,230, 2, 0, 62, 5, 236, 64.5332, 0.749695, 41.0635, 2.42165, 92.4404
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2
~&SPILL_STATS,1, 0, 0, 1, 0, 9, 1, 0, 1, 0, 7
~&SPILL_STATS,38, 8, 0, 21, 4, 29, 149.75, 28, 90.25, 4, 93
~&SPILL_STATS,7, 1, 0, 5, 0, 22, 3.47244, 0.496063, 3.48819, 0, 13.378
~&SPILL_STATS,0, 1, 0, 0, 1, 0, 0, 0.5, 0, 0.5, 0
~&SPILL_STATS,33, 20, 0, 32, 16, 177, 16.6634, 16.073, 22.2003, 1.26354, 105.622
~&SPILL_STATS,0, 1, 0, 1, 0, 3, 0, 1, 1, 0, 41.5714
~&SPILL_STATS,1, 0, 0, 1, 0, 5, 1, 0, 1, 0, 5
~&SPILL_STATS,23, 12, 0, 13, 0, 11, 201.889, 132.584, 166.5, 0, 78.5681
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2.24706
~&SPILL_STATS,1, 0, 0, 1, 0, 12, 5, 0, 0.156863, 0, 28.4706
~&SPILL_STATS,17, 30, 0, 37, 0, 55, 7.45605, 1.78602, 9.53613, 0, 47.5921
~&SPILL_STATS,114, 9, 0, 22, 1, 55, 11.937, 4.02409, 8.22396, 0.375, 17.7827
~&SPILL_STATS,22, 1, 0, 11, 0, 14, 1.96703, 0.043956, 1.14286, 0, 3.02747
~&SPILL_STATS,15, 1, 0, 14, 1, 36, 2630.12, 8191.88, 1111.25, 15.875, 24507.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.5
~&SPILL_STATS,69, 26, 0, 58, 15, 67, 6555.57, 5255.56, 2307.45, 66.7302, 10215
~&SPILL_STATS,0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,8, 1, 0, 3, 0, 31, 7.82272, 7.5, 0.495809, 0, 41.2791
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,4, 5, 0, 7, 2, 2, 3.82, 12.88, 1.92, 0.32, 10.24
~&SPILL_STATS,189, 57, 0, 156, 8, 229, 169.249, 176.895, 79.3961, 0.443662, 344.727
~&SPILL_STATS,67, 19, 0, 29, 6, 43, 1813.67, 865.016, 445.169, 1.54688, 951.401
~&SPILL_STATS,0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 6.78125
~&SPILL_STATS,101, 35, 0, 91, 24, 71, 5008.02, 2361.83, 4945.95, 213.057, 3805.18
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,34, 8, 0, 18, 1, 15, 15503.6, 11104, 357.763, 32, 9831.49
~&SPILL_STATS,21, 4, 0, 14, 4, 8, 534.438, 127.75, 230.062, 34.9375, 193.125
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2.4
~&SPILL_STATS,20, 5, 0, 11, 0, 6, 328.421, 72.7579, 175.463, 0, 88.2316
~&SPILL_STATS,20, 4, 0, 11, 0, 8, 301.474, 61.9789, 185.242, 0, 120.232
~&SPILL_STATS,7, 0, 0, 1, 0, 4, 16.6562, 0, 1, 0, 9
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3.03846
~&SPILL_STATS,0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 6.27557
~&SPILL_STATS,0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 7.4375
~&SPILL_STATS,21, 19, 0, 22, 2, 20, 6026, 9696, 1708.15, 40, 5442
~&SPILL_STATS,34, 10, 0, 26, 0, 12, 1088, 320, 677, 0, 353
~&SPILL_STATS,56, 16, 0, 23, 1, 10, 746.945, 178.794, 221.302, 15.254, 131.032
~&SPILL_STATS,34, 6, 0, 15, 1, 21, 430.73, 56.8889, 213.302, 15.254, 203.944
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,10, 4, 0, 10, 6, 6, 1333.71, 346.357, 368.571, 2, 4.61905
