@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 892.5
~&SPILL_STATS,3, 0, 0, 3, 2, 1, 23.625, 0, 23.625, 2, 31.875
~&SPILL_STATS,9, 6, 0, 5, 0, 15, 2.6875, 2.125, 2.75, 0, 5.25
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2.34375
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,76, 3, 0, 34, 3, 23, 20.2166, 1.12378, 18.513, 2, 9.3013
~&SPILL_STATS,7, 2, 0, 7, 0, 7, 4.2451, 2, 7, 0, 5.7451
~&SPILL_STATS,25, 0, 0, 14, 10, 23, 119.891, 0, 17.0156, 6, 190.039
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.85938
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 13.5
~&SPILL_STATS,4, 1, 0, 3, 0, 6, 63.2235, 32.1176, 96.353, 0, 119.059
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,248, 60, 0, 120, 7, 73, 343.115, 110.163, 266.61, 9.71484, 193.689
~&SPILL_STATS,25, 25, 0, 26, 8, 57, 5.36901, 4.84298, 2.94292, 0.309401, 15.1956
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,14, 0, 0, 5, 0, 7, 40, 0, 7.60294, 0, 58.3088
~&SPILL_STATS,7, 0, 0, 3, 0, 7, 12.6471, 0, 0.741176, 0, 6.98824
~&SPILL_STATS,117, 92, 0, 73, 31, 113, 0.396714, 0.288676, 0.32728, 0.157628, 1.24273
~&SPILL_STATS,44, 9, 0, 20, 0, 8, 72.6667, 6.97917, 44.0208, 0, 75.4167
~&SPILL_STATS,4, 0, 0, 3, 0, 28, 1, 0, 0.875, 0, 194.438
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,47, 30, 0, 20, 11, 43, 76.309, 65.1648, 79.0889, 19.11, 130.106
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,15, 1, 0, 7, 1, 25, 25.5698, 0.147329, 10.5632, 0.429688, 38.0734
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,148, 90, 0, 122, 27, 118, 421.424, 491.312, 657.75, 15.0371, 874.852
~&SPILL_STATS,6, 1, 0, 5, 0, 16, 3.61618, 0.890137, 4.45068, 0, 10.5253
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,5, 0, 0, 0, 4, 5, 1.25, 0, 0, 4.58333, 7.29167
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 26.25
~&SPILL_STATS,12, 4, 0, 4, 0, 65, 3.51496, 6.45039, 0.8, 0, 54.5559
~&SPILL_STATS,25, 3, 0, 19, 17, 27, 245.18, 30.8527, 139.251, 96.8344, 139.767
~&SPILL_STATS,11, 10, 0, 2, 0, 19, 3, 122, 2, 0, 75.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 9, 0, 7, 3, 24, 4, 121.375, 5.375, 2.375, 120.902
~&SPILL_STATS,11, 11, 0, 5, 0, 16, 19.1377, 122.25, 3, 0, 117.801
~&SPILL_STATS,3, 14, 0, 10, 0, 5, 21.375, 1800, 10, 0, 860
~&SPILL_STATS,5, 11, 0, 11, 1, 14, 3, 65, 7.75, 0.5, 66.625
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2079.62
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1657.5
~&SPILL_STATS,266, 116, 0, 195, 10, 298, 4698.25, 2814, 2962.5, 143.5, 11058.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
