"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z8clear_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z11clear_dp_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z18initialize_zobristP7state_t,0,0,0,0,0,28,0,0,0,0,892.5
function@_Z15initialize_hashP7state_t,4,0,0,2,2,1,31.5,0,15.75,2,31.875
function@_Z7StoreTTP7state_tiiijiiii,10,20,0,13,3,6,5,6.9375,7.25,1.625,1.5
function@_Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i,0,0,0,0,0,1,0,0,0,0,0.941176
function@_Z10alloc_hashv,0,0,0,0,0,3,0,0,0,0,3
function@_Z9free_hashv,0,0,0,0,0,0,0,0,0,0,0
function@_Z4makeP7state_ti,178,23,0,57,12,4,57.2769,10.7264,24.0879,10.7492,2.74919
function@_Z6unmakeP7state_ti,23,9,0,13,4,4,6.34314,1.67647,6.31373,4,3.37255
function@_Z14setup_epd_lineP11gamestate_tP7state_tPKc,31,1,0,2,18,4,135.922,31.1953,2.29688,80,48.7422
function@_Z14check_solutionP7state_tPci,0,0,0,0,0,3,0,0,0,0,1.85938
function@_Z17run_epd_testsuiteP11gamestate_tP7state_tPKc,4,1,0,1,0,1,26.25,1,1,0,12.5
function@_Z15position_to_fenP7state_tPc,15,2,0,3,2,1,256.941,32.7412,63.8588,1.62353,31.1176
function@_Z13clear_pawn_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z5scaleiii,0,0,0,0,0,1,0,0,0,0,1
function@_Z16static_pawn_evalP7state_t,256,125,0,82,63,40,389.258,317.834,225.192,107.433,48.4551
function@_Z7qsearchP7state_tiiii,74,40,0,54,32,20,13.2882,24.3008,4.47392,5.22866,10.2784
function@_ZL17search_time_checkP7state_t,0,0,0,0,0,2,0,0,0,0,2
function@_ZL16fast_order_movesP7state_tPiS1_ij,17,0,0,8,8,6,59.3235,0,15.3824,31.6765,55.1765
function@_ZL15remove_one_fastPiS_S_i,12,11,0,8,5,2,6.70588,28.5529,17.7765,6.36471,3
function@_Z6searchP7state_tiiiii,147,176,0,109,93,55,1.10451,0.712825,2.63871,0.671044,0.645702
function@_ZL11order_movesP7state_tPiS1_ij,47,8,0,16,8,7,106.146,10.75,41.7083,48.4792,45.8333
function@_ZL12history_goodP7state_tii,11,3,0,3,1,25,4.9375,0.875,1.625,0.5,192.812
function@_Z14rootmovesearchP7state_tiiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z11search_rootP7state_tiii,31,51,0,27,28,10,73.7623,110.971,67.8648,54.9442,45.1419
