@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 892.5
~&SPILL_STATS,4, 0, 0, 2, 2, 1, 31.5, 0, 15.75, 2, 31.875
~&SPILL_STATS,11, 20, 0, 13, 4, 5, 4.375, 7, 6.5625, 1.75, 1.4375
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,167, 21, 0, 50, 23, 2, 55.4788, 10.6254, 20.7394, 15.2443, 1.24919
~&SPILL_STATS,26, 3, 0, 9, 4, 4, 11.5882, 0.656863, 6, 4, 3.37255
~&SPILL_STATS,31, 1, 0, 2, 18, 4, 135.922, 31.1953, 2.29688, 80, 48.7422
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.85938
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 13.5
~&SPILL_STATS,1, 1, 0, 1, 3, 2, 31.1176, 32.1176, 31.1176, 34.1176, 31.7412
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,392, 110, 0, 96, 63, 36, 641.467, 286.745, 238.433, 89.5566, 41.4238
~&SPILL_STATS,53, 46, 0, 48, 31, 22, 7.99296, 23.3832, 2.92703, 5.05649, 10.4519
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.0305
~&SPILL_STATS,22, 0, 0, 9, 10, 6, 46.1029, 0, 26.2794, 51.7353, 46.1471
~&SPILL_STATS,16, 2, 0, 4, 7, 5, 24.6235, 0.988235, 2.74118, 5.72941, 6.49412
~&SPILL_STATS,143, 180, 0, 109, 93, 57, 1.03824, 0.769955, 2.63872, 0.635165, 0.652309
~&SPILL_STATS,62, 8, 0, 23, 7, 5, 120.417, 6.10417, 47.8333, 47.6042, 44.0833
~&SPILL_STATS,9, 3, 0, 2, 1, 25, 4.75, 0.875, 1.5, 0.5, 192.812
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,31, 50, 0, 27, 28, 13, 74.4913, 88.6606, 57.3659, 54.9442, 58.4978
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.666667
~&SPILL_STATS,11, 16, 0, 21, 5, 11, 11.1028, 27.4061, 14.1634, 1.35044, 47.7369
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,181, 114, 0, 107, 137, 47, 726.023, 668.062, 574.612, 391.875, 486.539
~&SPILL_STATS,11, 5, 0, 4, 3, 14, 8.32321, 4.22815, 3.78027, 2.67041, 10.2324
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 2, 0, 0, 6, 3, 0, 1.49365, 0, 5.33333, 6.66667
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 26.25
~&SPILL_STATS,12, 12, 0, 16, 8, 57, 0.737008, 15.9811, 9.22835, 0.289764, 45.6677
~&SPILL_STATS,22, 12, 0, 17, 22, 28, 55.393, 141.668, 21.875, 95.3087, 128.492
~&SPILL_STATS,9, 12, 0, 5, 3, 14, 7.375, 123, 5, 3, 92.125
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,16, 18, 0, 16, 7, 18, 22.75, 150.25, 42.125, 5.625, 137.277
~&SPILL_STATS,6, 28, 0, 18, 0, 16, 15.75, 155.5, 39, 0, 149.301
~&SPILL_STATS,10, 18, 0, 13, 2, 7, 48, 1804, 11.875, 2, 881
~&SPILL_STATS,9, 16, 0, 7, 6, 8, 6, 67, 5.75, 4.5, 82
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2079.62
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 127.5
~&SPILL_STATS,0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1657.5
~&SPILL_STATS,380, 262, 0, 198, 66, 245, 3855.42, 9959, 2149.17, 962.667, 10028.8
