"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_Z8clear_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z11clear_dp_ttv,0,0,0,0,0,0,0,0,0,0,0
function@_Z18initialize_zobristP7state_t,0,0,0,0,0,28,0,0,0,0,892.5
function@_Z15initialize_hashP7state_t,3,0,0,3,2,3,23.625,0,23.625,2,47.625
function@_Z7StoreTTP7state_tiiijiiii,6,10,0,6,0,7,2.0625,2.625,2.75,0,2.25
function@_Z7ProbeTTP7state_tPiiiPjS1_S1_S1_S1_i,0,0,0,0,0,4,0,0,0,0,2.82353
function@_Z10alloc_hashv,0,0,0,0,0,3,0,0,0,0,3
function@_Z9free_hashv,0,0,0,0,0,0,0,0,0,0,0
function@_Z4makeP7state_ti,77,7,0,39,0,25,21.6564,5.87459,23.2622,0,10.943
function@_Z6unmakeP7state_ti,13,4,0,9,0,10,4.7402,2.87255,7.75,0,6.27451
function@_Z14setup_epd_lineP11gamestate_tP7state_tPKc,29,0,0,11,11,26,114,0,12.6406,7,184.547
function@_Z14check_solutionP7state_tPci,0,0,0,0,0,3,0,0,0,0,1.85938
function@_Z17run_epd_testsuiteP11gamestate_tP7state_tPKc,0,0,0,0,0,2,0,0,0,0,13.5
function@_Z15position_to_fenP7state_tPc,4,0,0,2,1,5,63.2235,0,63.2353,1,34.3647
function@_Z5scaleiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z16static_pawn_evalP7state_t,197,63,0,117,5,68,199.216,115.998,262.168,2.67187,146.994
function@_Z7qsearchP7state_tiiii,29,24,0,26,9,68,19.0817,4.42207,2.02328,0.396182,18.2177
function@_ZL17search_time_checkP7state_t,0,0,0,0,0,2,0,0,0,0,2
function@_ZL16fast_order_movesP7state_tPiS1_ij,17,0,0,5,0,8,15.3971,0,7.22059,0,59.3088
function@_ZL15remove_one_fastPiS_S_i,7,0,0,3,0,8,8.61176,0,0.988235,0,7.98824
function@_Z6searchP7state_tiiiii,142,102,0,82,32,122,0.395468,0.350648,0.389441,0.0938795,1.31464
function@_ZL11order_movesP7state_tPiS1_ij,43,7,0,18,0,13,59.7917,5.22917,42.2708,0,78.6458
function@_ZL12history_goodP7state_tii,4,0,0,4,0,28,0.75,0,0.75,0,194.812
function@_Z14rootmovesearchP7state_tiiiii,0,0,0,0,0,0,0,0,0,0,0
function@_Z11search_rootP7state_tiii,27,31,0,21,11,43,34.4764,76.976,72.5492,19.11,101.8
function@_Z21reset_search_countersP7state_t,0,0,0,0,0,0,0,0,0,0,0
function@_Z17reset_search_dataP7state_t,0,0,0,0,0,0,0,0,0,0,0
