@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12.5294
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 524.719
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9.7109
~&SPILL_STATS,1, 4, 0, 4, 0, 9, 0.0581395, 2.34109, 0.20155, 0, 4.6938
~&SPILL_STATS,12, 1, 0, 6, 0, 3, 1.34334, 0.0235828, 0.384942, 0, 1.13447
~&SPILL_STATS,37, 12, 0, 28, 1, 32, 36.1874, 9.11496, 28.0155, 0.140527, 465.934
~&SPILL_STATS,6, 1, 0, 7, 0, 7, 1650.67, 406.333, 1277.29, 0, 21993.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.75
~&SPILL_STATS,2, 3, 0, 3, 1, 5, 32.9524, 469.762, 53.2381, 6.33333, 876.048
~&SPILL_STATS,4, 1, 0, 5, 0, 20, 959.905, 406.333, 586.524, 0, 71771.1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 2, 0, 2, 0, 0, 0, 1.77163, 1.94118, 0, 0
~&SPILL_STATS,0, 2, 0, 2, 0, 0, 0, 1.77778, 1.94444, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 5, 0, 12, 0, 1, 7, 5, 12, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,50, 12, 0, 19, 1, 33, 66.9933, 106.633, 44.7567, 0.236277, 56.0591
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.92
~&SPILL_STATS,1, 1, 0, 1, 0, 3, 6.25, 12.5, 12.5, 0, 220
~&SPILL_STATS,5, 1, 0, 6, 0, 3, 5567.58, 426.583, 1175.5, 0, 8960.83
~&SPILL_STATS,5, 1, 0, 6, 0, 4, 5567.58, 426.583, 1175.5, 0, 13227.4
~&SPILL_STATS,5, 1, 0, 6, 0, 3, 5567.58, 426.583, 1175.5, 0, 8960.83
~&SPILL_STATS,5, 1, 0, 6, 0, 6, 5567.58, 426.583, 5175.5, 0, 21760.6
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.08075
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6.2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.68
~&SPILL_STATS,18, 3, 0, 21, 0, 25, 595.644, 146.621, 460.934, 0, 7937.29
~&SPILL_STATS,22, 3, 0, 25, 0, 22, 596.144, 146.621, 461.434, 0, 7936.92
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,38, 5, 0, 43, 0, 36, 551.903, 135.701, 427.224, 0, 7345.9
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,13, 1, 0, 11, 0, 12, 235.529, 57.4449, 181.167, 0, 3113.27
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 0, 0, 3, 0, 2, 5.625, 0, 1.875, 0, 1.25
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,4, 1, 0, 5, 0, 2, 1239.29, 406.333, 865.905, 0, 8533.29
~&SPILL_STATS,1, 0, 0, 1, 1, 10, 5, 0, 5, 0.156863, 43.1765
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,10, 2, 0, 11, 0, 4, 10, 2, 11, 0, 3.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,96, 4, 0, 50, 12, 66, 19675.3, 37.0743, 2051.29, 5.6875, 18436.6
~&SPILL_STATS,8, 0, 0, 6, 0, 5, 17696.3, 0, 1201.14, 0, 17320.5
~&SPILL_STATS,6, 7, 0, 11, 0, 0, 5.88235, 6.70588, 11, 0, 0
~&SPILL_STATS,37, 12, 0, 29, 1, 24, 712.529, 135.373, 353.02, 0.156863, 482.157
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,45, 3, 0, 12, 7, 66, 6.31719, 0.162812, 1.26115, 0.137288, 8.43781
~&SPILL_STATS,222, 28, 0, 64, 3, 169, 309.517, 100.722, 190.771, 1.86777, 215.589
~&SPILL_STATS,123, 11, 0, 39, 2, 123, 94.3897, 17.0052, 59.5196, 1.19811, 133.952
~&SPILL_STATS,9, 1, 0, 8, 0, 34, 1.86799, 0.186469, 2.24422, 0, 10.6353
~&SPILL_STATS,151, 20, 0, 53, 5, 93, 33.7812, 9.14112, 10.5847, 0.416391, 54.2621
~&SPILL_STATS,4, 1, 0, 5, 0, 13, 0.83252, 0.164062, 1.02734, 0, 3.61719
~&SPILL_STATS,108, 13, 0, 56, 3, 102, 14.6394, 0.328254, 13.4552, 0.120383, 14.5307
~&SPILL_STATS,7, 5, 0, 8, 0, 4, 0.272539, 0.45135, 0.3845, 0, 2.01253
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,137, 63, 0, 47, 3, 93, 145.722, 112.434, 37.1876, 0.492138, 198.085
~&SPILL_STATS,26, 5, 0, 12, 1, 17, 392.095, 145.143, 199.857, 1, 811.286
~&SPILL_STATS,49, 17, 0, 20, 4, 33, 877.062, 758.062, 191, 8.75, 1171.88
~&SPILL_STATS,69, 14, 0, 25, 5, 33, 12.9372, 0.671514, 4.66016, 1.21659, 37.1759
~&SPILL_STATS,45, 2, 0, 18, 8, 32, 28.566, 1.58491, 13.5849, 3.11321, 76.1321
~&SPILL_STATS,18, 5, 0, 9, 1, 17, 967.238, 102.524, 154.19, 1, 291.476
~&SPILL_STATS,47, 18, 0, 19, 4, 36, 870.688, 759.125, 175.062, 8.75, 1181.94
~&SPILL_STATS,69, 14, 0, 25, 5, 33, 12.9372, 0.671514, 4.66016, 1.21659, 37.1759
~&SPILL_STATS,36, 2, 0, 7, 0, 12, 34.4151, 1.58491, 19.8491, 0, 61.4717
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.4375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 171.484
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 126.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
~&SPILL_STATS,11, 6, 0, 12, 3, 14, 76.4312, 41.7937, 72.6227, 3.2208, 348.956
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.553634
~&SPILL_STATS,112, 19, 0, 56, 29, 31, 13472.9, 6761.87, 8192.1, 3010.78, 12973.9
~&SPILL_STATS,15, 0, 0, 9, 1, 7, 46673.9, 0, 8438.59, 235.294, 30871.2
~&SPILL_STATS,19, 7, 0, 17, 2, 21, 5604.82, 4540.44, 626.323, 7.58272, 18138.6
~&SPILL_STATS,32, 2, 0, 22, 0, 21, 446063, 4155.6, 115389, 0, 341654
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.5551
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,14, 2, 0, 10, 4, 15, 383.48, 176.56, 72.36, 21.04, 433.08
~&SPILL_STATS,6, 6, 0, 10, 0, 1, 6, 6, 10, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,7, 7, 0, 13, 1, 20, 38.7499, 37.0624, 25.6249, 0.499999, 71.6249
~&SPILL_STATS,7, 7, 0, 13, 1, 20, 38.7499, 37.0624, 25.6249, 0.499999, 71.6249
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
