@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12.5294
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 524.719
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 9.7109
~&SPILL_STATS,2, 4, 0, 4, 0, 7, 0.155039, 2.34109, 0.29845, 0, 4.56977
~&SPILL_STATS,12, 1, 0, 6, 0, 2, 1.34334, 0.0235828, 0.384942, 0, 1.13139
~&SPILL_STATS,47, 13, 0, 34, 3, 34, 37.32, 9.12233, 28.554, 0.175188, 466.053
~&SPILL_STATS,6, 1, 0, 7, 0, 7, 1658.29, 406.333, 1284.9, 0, 21993.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.75
~&SPILL_STATS,2, 3, 0, 3, 1, 5, 32.9524, 469.762, 53.2381, 6.33333, 876.048
~&SPILL_STATS,5, 0, 0, 5, 0, 20, 1366.24, 0, 858.286, 0, 71771.1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 0, 0, 0, 0.885815, 0.941177, 0, 0
~&SPILL_STATS,0, 1, 0, 1, 0, 0, 0, 0.888889, 0.944444, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,7, 3, 0, 10, 0, 1, 7, 3, 10, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,52, 12, 0, 21, 1, 32, 56.9666, 109.972, 31.1898, 0.236277, 54.2253
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 10.92
~&SPILL_STATS,1, 1, 0, 1, 0, 3, 6.25, 12.5, 12.5, 0, 220
~&SPILL_STATS,5, 1, 0, 6, 0, 5, 5567.58, 426.583, 1175.5, 0, 17494
~&SPILL_STATS,7, 1, 0, 7, 2, 3, 9835.17, 426.583, 5442.08, 1.66667, 13226.4
~&SPILL_STATS,5, 1, 0, 6, 0, 5, 5567.58, 426.583, 1175.5, 0, 17494
~&SPILL_STATS,7, 1, 0, 7, 2, 3, 9835.17, 426.583, 5442.08, 1.66667, 13226.4
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4.08075
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6.2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.68
~&SPILL_STATS,18, 3, 0, 21, 0, 25, 595.644, 146.621, 460.934, 0, 7936.66
~&SPILL_STATS,22, 3, 0, 25, 0, 23, 597.73, 146.621, 461.382, 0, 7936.53
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,38, 5, 0, 43, 0, 39, 555.234, 135.701, 428.886, 0, 7345.43
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,13, 2, 0, 16, 1, 11, 293.794, 58.9038, 182.729, 0.00897564, 3112.21
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,9, 0, 0, 3, 0, 0, 5.625, 0, 1.875, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 63.75
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21.25
~&SPILL_STATS,4, 1, 0, 5, 0, 2, 1239.29, 406.333, 865.905, 0, 8533.29
~&SPILL_STATS,1, 0, 0, 1, 0, 7, 5, 0, 5, 0, 37.8627
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,10, 2, 0, 11, 0, 2, 10, 2, 11, 0, 1.25
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,100, 4, 0, 55, 15, 74, 19325.9, 37.0743, 1718.28, 7.01562, 18306
~&SPILL_STATS,8, 0, 0, 6, 1, 4, 17848.7, 0, 1353.52, 12.6667, 16914.2
~&SPILL_STATS,5, 8, 0, 10, 0, 1, 4.88235, 7.70588, 10, 0, 1
~&SPILL_STATS,32, 11, 0, 27, 0, 32, 495.882, 174.922, 261.353, 0, 771.392
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,37, 5, 0, 13, 4, 53, 6.13721, 0.198017, 1.46138, 0.0737937, 7.6865
~&SPILL_STATS,282, 30, 0, 84, 11, 195, 571.749, 107.24, 216.396, 8.4531, 296.984
~&SPILL_STATS,109, 17, 0, 56, 5, 129, 90.2703, 25.8128, 59.769, 1.41293, 134.651
~&SPILL_STATS,8, 1, 0, 7, 0, 33, 1.68152, 0.186469, 1.86964, 0, 11.1056
~&SPILL_STATS,133, 19, 0, 53, 2, 102, 40.4267, 8.63049, 11.2298, 0.17793, 44.3331
~&SPILL_STATS,7, 1, 0, 7, 0, 15, 1.95361, 0.164062, 2.02734, 0, 3.94531
~&SPILL_STATS,89, 10, 0, 58, 4, 110, 14.3973, 0.28977, 12.029, 0.173237, 17.6711
~&SPILL_STATS,7, 5, 0, 8, 0, 4, 0.272539, 0.45135, 0.3845, 0, 2.01253
~&SPILL_STATS,1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 2
~&SPILL_STATS,141, 46, 0, 52, 4, 91, 139.082, 122.865, 39.7435, 2.98123, 232.525
~&SPILL_STATS,24, 5, 0, 11, 2, 21, 314.429, 149.19, 168, 1.38095, 870.905
~&SPILL_STATS,51, 17, 0, 24, 4, 41, 872.062, 758.062, 198, 8.75, 1357.19
~&SPILL_STATS,63, 18, 0, 25, 3, 31, 16.6598, 0.0555168, 9.5685, 0.00958376, 34.7403
~&SPILL_STATS,45, 2, 0, 17, 8, 32, 36.1132, 1.58491, 13.0943, 3.11321, 75.6226
~&SPILL_STATS,22, 4, 0, 12, 2, 13, 1005.81, 86.2857, 800.857, 1.38095, 3341.24
~&SPILL_STATS,42, 20, 0, 18, 4, 49, 851.312, 817.75, 118.188, 8.75, 1486.19
~&SPILL_STATS,63, 18, 0, 25, 3, 31, 16.6598, 0.0555168, 9.5685, 0.00958376, 34.7403
~&SPILL_STATS,35, 2, 0, 6, 0, 20, 34.0189, 1.58491, 19.0566, 0, 69.9434
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6.4375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 158.375
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 171.484
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 126.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
~&SPILL_STATS,14, 6, 0, 13, 3, 11, 94.3994, 25.7036, 78.0288, 3.2208, 341.174
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.553634
~&SPILL_STATS,146, 18, 0, 56, 26, 18, 10842.6, 6712.17, 5517.34, 2941.04, 5431.95
~&SPILL_STATS,17, 0, 0, 10, 5, 8, 53969.5, 0, 8438.59, 624.118, 16724.7
~&SPILL_STATS,22, 6, 0, 16, 3, 19, 7090.99, 4534.03, 477.779, 12.1783, 21014.5
~&SPILL_STATS,35, 2, 0, 20, 7, 19, 563680, 7555.65, 62113.2, 5549.35, 336067
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.5551
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,14, 2, 0, 10, 4, 12, 383.48, 176.56, 72.36, 21.04, 412.72
~&SPILL_STATS,6, 7, 0, 10, 0, 0, 6, 7, 10, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,8, 7, 0, 13, 1, 18, 47.8124, 37.0624, 17.125, 0.499999, 54.3124
~&SPILL_STATS,8, 7, 0, 13, 1, 18, 47.8124, 37.0624, 17.125, 0.499999, 54.3124
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
