@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,810, 488, 0, 394, 20, 431, 1.78569e+07, 1.44852e+07, 5.52904e+06, 2477.96, 1.01198e+07
~&SPILL_STATS,171, 116, 0, 86, 14, 144, 3224.81, 3278.43, 1346.87, 14.4897, 2688.39
~&SPILL_STATS,431, 416, 0, 146, 9, 292, 429845, 354287, 19216, 4.15609, 455469
~&SPILL_STATS,571, 325, 0, 307, 34, 295, 2.43486e+08, 2.31875e+08, 8.45209e+06, 70281.6, 9.53766e+07
~&SPILL_STATS,696, 469, 0, 246, 10, 466, 925346, 520504, 80470.9, 115.688, 778958
~&SPILL_STATS,531, 388, 0, 195, 2, 316, 4.66439e+06, 1.97551e+06, 547134, 1, 2.78865e+06
~&SPILL_STATS,997, 718, 0, 304, 23, 682, 2.20021e+07, 1.14508e+07, 2.06564e+06, 14610.9, 1.76602e+07
~&SPILL_STATS,1463, 1025, 0, 386, 23, 832, 9.57925e+06, 5.67184e+06, 1.30117e+06, 8445, 8.44888e+06
~&SPILL_STATS,310, 56, 0, 244, 16, 206, 34411.5, 9141.66, 25149.9, 14.488, 10105.5
~&SPILL_STATS,84, 17, 0, 87, 3, 47, 2050.53, 321.532, 1821.53, 292.213, 1560.32
~&SPILL_STATS,833, 153, 0, 387, 27, 1171, 9236.84, 3450.82, 3098.11, 35.7847, 26752
~&SPILL_STATS,257, 15, 0, 84, 8, 56, 48015.8, 4676.22, 15703.3, 4.15613, 12783.4
~&SPILL_STATS,88, 65, 0, 74, 12, 76, 80795.2, 98347.4, 46263.2, 6.19216, 77697.1
~&SPILL_STATS,222, 39, 0, 167, 11, 136, 5.80729e+14, 1.2604e+14, 4.28672e+14, 1.24634e+12, 1.78745e+14
~&SPILL_STATS,11, 2, 0, 13, 0, 7, 11397.6, 55.1111, 11405.6, 0, 127645
~&SPILL_STATS,3, 0, 0, 3, 0, 4, 95.625, 0, 95.625, 0, 1119.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 34
