"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@_QMlogicPnew_solver,1482,994,0,799,560,821,1.472e+07,8.68816e+06,8.77272e+06,6.28424e+06,8.34393e+06
function@_QMlogicFnew_solverPupdate,162,104,0,87,12,140,3194.85,2949.85,1347.29,14,2692.79
function@_QMlogicFnew_solverPx_wing,955,678,0,482,646,370,262472,149784,169142,154888,170484
function@_QMlogicFnew_solverPspecific,1088,554,0,489,238,663,2.46193e+07,2.91193e+07,4.45812e+06,2.84764e+06,1.96557e+07
function@_QMlogicFnew_solverPnaked_pairs,1094,719,0,564,539,527,2.08981e+06,1.56693e+06,1.8305e+06,1.29987e+06,1.12415e+06
function@_QMlogicFnew_solverPhidden_pairs,1002,662,0,493,525,432,5.46887e+06,3.35018e+06,3.04037e+06,1.75939e+06,3.21244e+06
function@_QMlogicFnew_solverPnaked_triplets,1565,990,0,697,790,769,3.08188e+07,2.50789e+07,2.69525e+07,2.58182e+07,2.14811e+07
function@_QMlogicFnew_solverPhidden_triplets,2188,1183,0,818,816,930,1.6964e+07,1.08533e+07,8.16696e+06,6.82674e+06,1.25361e+07
function@_QMbrute_forcePbrute,809,337,0,657,464,267,56547.7,20492.3,50785.6,18539.5,12425.3
function@_QMbrute_forcePrearrange,92,57,0,134,0,46,2354.98,55.4681,2129.7,0,2086.96
function@_QMbrute_forcePdigits_2,872,154,0,385,28,1054,5605.09,1996.44,1715.19,18.0381,20719.6
function@_QMbrute_forcePcovered,224,14,0,68,8,49,38871.8,3862.2,12508,4.11239,9082.99
function@_QMbrute_forcePreflected,88,65,0,74,12,76,80795.2,98347.4,46263.2,6.19216,77697.1
function@_QQmain,218,212,0,328,6,141,3.44185e+14,8.6149e+13,2.4842e+14,1.22779e+12,1.93785e+14
function@_QFPeliminate,5,3,0,8,0,3,208.917,159.104,241.042,0,201.917
function@_QFPknt_val,3,2,0,4,0,3,95.625,63.75,127.5,0,1087.62
function@_QFPone_nine,0,0,0,0,0,0,0,0,0,0,0
function@_QFPread_raw_data,0,0,0,0,0,7,0,0,0,0,34
