@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,971, 653, 0, 353, 345, 201, 2.40345e+07, 1.63666e+07, 6.25911e+06, 4.19835e+06, 5.83058e+06
~&SPILL_STATS,232, 160, 0, 108, 79, 82, 6521.66, 3679.3, 3136.83, 627.635, 1272.25
~&SPILL_STATS,524, 478, 0, 158, 111, 220, 493813, 419789, 213444, 152856, 355509
~&SPILL_STATS,647, 613, 0, 272, 182, 172, 1.65684e+08, 3.24249e+08, 2.69565e+06, 4.82939e+06, 8.90297e+07
~&SPILL_STATS,939, 617, 0, 301, 248, 329, 1.09657e+06, 749456, 315756, 269512, 614665
~&SPILL_STATS,615, 541, 0, 191, 132, 250, 4.80276e+06, 4.4466e+06, 1.00095e+06, 844438, 2.16829e+06
~&SPILL_STATS,1359, 906, 0, 370, 300, 489, 2.5777e+07, 1.71231e+07, 6.95695e+06, 6.19652e+06, 1.43567e+07
~&SPILL_STATS,1994, 1221, 0, 413, 295, 633, 1.25228e+07, 7.9622e+06, 3.51256e+06, 3.17115e+06, 5.92195e+06
~&SPILL_STATS,788, 106, 0, 280, 230, 80, 111532, 9139.61, 24547, 18945.1, 4928.72
~&SPILL_STATS,320, 67, 0, 92, 29, 15, 6241.6, 1312.77, 1422.79, 1223.83, 603.702
~&SPILL_STATS,1178, 532, 0, 484, 587, 410, 13920.2, 12566.8, 5789.2, 3842.42, 18230.4
~&SPILL_STATS,310, 47, 0, 64, 37, 19, 44438.1, 18437.1, 9843.61, 5511.89, 7321.71
~&SPILL_STATS,139, 79, 0, 58, 58, 45, 107804, 106634, 28259.2, 9446.54, 66580.4
~&SPILL_STATS,472, 83, 0, 157, 130, 67, 1.56004e+15, 1.31493e+14, 3.88226e+14, 2.35856e+14, 9.31401e+13
~&SPILL_STATS,11, 6, 0, 6, 14, 4, 4442.44, 3996.44, 310.667, 11652.2, 123818
~&SPILL_STATS,1, 2, 0, 0, 6, 3, 31.875, 32.875, 0, 98.625, 1087.62
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 34
