@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,809, 479, 0, 406, 23, 426, 1.86169e+07, 1.2623e+07, 5.58022e+06, 272015, 1.01845e+07
~&SPILL_STATS,160, 119, 0, 87, 13, 136, 3143.41, 3254.79, 1356.9, 13.9931, 2673.76
~&SPILL_STATS,423, 425, 0, 146, 10, 278, 447038, 336022, 21339.2, 4.94168, 432610
~&SPILL_STATS,528, 342, 0, 315, 35, 267, 2.16505e+08, 2.31976e+08, 8.41551e+06, 70202.1, 9.40177e+07
~&SPILL_STATS,643, 460, 0, 243, 10, 459, 737447, 666304, 62074.6, 115.688, 786930
~&SPILL_STATS,505, 382, 0, 187, 2, 322, 4.62112e+06, 1.96863e+06, 547529, 1, 2.7866e+06
~&SPILL_STATS,965, 697, 0, 304, 24, 669, 1.7358e+07, 1.51604e+07, 1.35262e+06, 14611.4, 1.8399e+07
~&SPILL_STATS,1308, 1025, 0, 387, 24, 841, 8.14522e+06, 6.78253e+06, 1.00041e+06, 9022.71, 8.67241e+06
~&SPILL_STATS,305, 58, 0, 239, 18, 200, 35462.3, 9169.86, 24927.5, 15.4187, 10220.1
~&SPILL_STATS,83, 19, 0, 89, 3, 45, 2046.13, 324.617, 1824.62, 292.213, 2113.13
~&SPILL_STATS,828, 164, 0, 374, 46, 1106, 9094.94, 3431.52, 2957.16, 407.28, 25901.5
~&SPILL_STATS,239, 16, 0, 84, 8, 68, 44007.5, 6772.09, 15703.3, 4.15613, 14031.2
~&SPILL_STATS,85, 68, 0, 71, 15, 73, 80771, 98432.8, 45655.4, 142.24, 73981.1
~&SPILL_STATS,217, 39, 0, 162, 11, 135, 6.7084e+14, 1.27417e+14, 4.29398e+14, 1.24634e+12, 2.14332e+14
~&SPILL_STATS,11, 2, 0, 13, 0, 7, 11397.6, 55.1111, 11405.6, 0, 127645
~&SPILL_STATS,3, 0, 0, 3, 0, 4, 95.625, 0, 95.625, 0, 1119.5
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 34
