@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,255, 164, 0, 178, 133, 110, 41063.1, 49956.8, 10311.6, 1593.6, 1944.11
~&SPILL_STATS,0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 708.723
~&SPILL_STATS,303, 166, 0, 131, 171, 60, 145786, 16255, 10692, 35026.9, 11838.1
~&SPILL_STATS,52, 46, 0, 22, 41, 13, 2616.94, 1913.75, 218.125, 1191.12, 962.312
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2.8
~&SPILL_STATS,37, 25, 0, 22, 8, 91, 25.0137, 26.1716, 9.66577, 4.55658, 34.416
~&SPILL_STATS,156, 114, 0, 81, 60, 162, 84.5625, 367.594, 40.125, 84.75, 384.188
~&SPILL_STATS,1442, 748, 0, 729, 950, 115, 17352.9, 7688.92, 3127.42, 3089.06, 1244.46
~&SPILL_STATS,856, 440, 0, 346, 498, 77, 29233.9, 8609.48, 3457.89, 8970.49, 3168.43
~&SPILL_STATS,0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2.57812
~&SPILL_STATS,60, 97, 0, 91, 8, 38, 4244.2, 12128.6, 1071, 28.7, 8082.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,599, 450, 0, 316, 350, 84, 140285, 55098.6, 40642.5, 17311.5, 19702.5
~&SPILL_STATS,746, 279, 0, 379, 336, 48, 249027, 92431.8, 54857.4, 23934.4, 13585.1
~&SPILL_STATS,301, 277, 0, 192, 250, 56, 31534.7, 22453, 7192.61, 5474.18, 9654.29
~&SPILL_STATS,411, 414, 0, 246, 334, 98, 72472.4, 16565.5, 10660, 9982.18, 19151
~&SPILL_STATS,2, 2, 0, 2, 12, 301, 2, 2, 2, 12, 261.294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.31323e-10
~&SPILL_STATS,462, 369, 0, 227, 119, 178, 7412.73, 28813.6, 1513.31, 530.289, 23810.4
~&SPILL_STATS,4427, 2436, 0, 1786, 1574, 731, 7842.55, 6706.57, 706.908, 1215.85, 3485.61
~&SPILL_STATS,1119, 425, 0, 437, 336, 107, 1.00612e+06, 295504, 87709.4, 69833.2, 165325
~&SPILL_STATS,760, 371, 0, 318, 472, 70, 286497, 66306.4, 59487.8, 27400.7, 62565.8
~&SPILL_STATS,1154, 691, 0, 753, 427, 214, 2.27505e+06, 635954, 223833, 176817, 335702
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4179, 1862, 0, 1717, 1681, 370, 2.76226e+06, 883197, 314566, 123790, 441762
~&SPILL_STATS,4327, 1998, 0, 1900, 1707, 407, 2.88672e+06, 1.06768e+06, 290352, 125809, 532169
~&SPILL_STATS,1367, 601, 0, 582, 468, 176, 1.2114e+06, 356991, 104586, 82961, 197771
~&SPILL_STATS,928, 502, 0, 390, 579, 131, 337601, 81799, 69119.7, 31836.9, 76685.9
