"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,278,135,0,173,158,99,41084.4,49934.5,10318,1610.94,1935.03
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,281,175,0,157,154,63,145391,16816.4,10831.9,35232.5,12015.9
function@_QMplane_source_modPplane_source_apply,55,44,0,21,40,13,2619.94,1911.75,218.125,1189.12,962.312
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,37,25,0,22,8,91,25.0137,26.1716,9.66577,4.55658,34.416
function@_QMmur_modPmur_init,152,120,0,82,58,157,91.083,360.244,40.9258,73.3633,346.77
function@_QMmur_modPmur_updatee,1333,723,0,720,834,126,18004.8,7268.12,3674.23,3570.1,2036.72
function@_QMmur_modPmur_storee,840,437,0,345,492,83,29230.3,8605.57,3455.54,8968.23,3168.91
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,58,95,0,89,6,38,4218.7,12103.1,1045.5,3.2,8082.9
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,616,436,0,313,330,78,140303,55085.1,40646.5,17293.4,19696.5
function@_QMupdate_modPupdatee,661,279,0,311,316,46,248109,93374,54456.6,24625.8,21486.7
function@_QMupdate_modPupdate_inith,305,246,0,185,264,51,31740.1,22164.6,7173.49,5484.45,9455.83
function@_QMupdate_modPupdate_inite,391,415,0,270,322,105,75213.3,18603.3,14705.9,9341.27,20580
function@_QMupml_modPupml_allocate,2,2,0,2,12,301,2,2,2,12,261.294
function@_QMupml_modPcheck_allocate,0,0,0,0,0,2,0,0,0,0,9.31323e-10
function@_QMupml_modPupml_set_eps_arrays,437,366,0,208,100,178,7450.98,29317,1483.41,502.095,24382.7
function@_QMupml_modPupml_init,3853,2452,0,1207,1621,725,7621.03,6741.51,734.142,1234.76,3539.54
function@_QMupml_modPupml_initb,1113,431,0,465,317,113,1.0086e+06,297333,92384.7,67743.6,166528
function@_QMupml_modPupml_inith,748,376,0,346,443,71,289017,69229.9,64640.5,24867.4,63764.8
function@_QMupml_modPupml_updateh,1170,676,0,768,393,210,2.27589e+06,636368,226023,173894,335299
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4115,1906,0,1738,1571,340,2.75477e+06,886540,313418,120008,442259
function@_QMupml_modPupml_updatee_simple,4228,1970,0,1905,1617,377,2.8765e+06,1.07133e+06,287466,121374,532719
function@_QMupml_modPupml_initd,1295,577,0,636,440,174,1.19299e+06,354519,109525,80576.6,197050
function@_QMupml_modPupml_inite,922,478,0,441,537,131,338078,83615.5,75140.6,29402.7,77240.3
function@_QMupml_modPupml_end,0,0,0,0,0,90,0,0,0,0,48.3333
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,1,0,0,0,0,0.619048
function@_QMreadline_modPreadline,92,82,0,66,23,35,896.832,765.305,739.413,45.1359,196.625
function@_QMreadline_modPcheckifkeyword,1,0,0,0,3,1,1,0,0,1.26923,9.80769
function@mpi_barrier_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_integers_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_reals_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_logical_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_coords_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_shift_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_ssend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bsend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_wait_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_isend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_buffer_detach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_pack_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_gather_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_struct_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_type_commit_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_extent_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_free_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_vector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_hvector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_irecv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_waitall_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_replace_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_bsend_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_recv_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_dims_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_start_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_abort_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
function@_QMhuygens_modPhuygens_init,6,0,0,0,4,0,6,0,0,4,0
function@_QMhuygens_modPhuygensh,3120,833,0,1032,1034,274,124384,23320.7,15751,19643.9,13091.1
function@_QMhuygens_modPhuygense,3756,1059,0,1302,1228,310,149419,30547.4,19526.7,21711.1,16824
function@_QMhuygens_modPuin,1505,393,0,134,665,89,29328.3,7013.03,2065.14,10671.9,2571.43
