"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,276,140,0,173,155,99,41083.2,49935.3,10316.3,1608.44,1935.03
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,281,175,0,157,154,63,145391,16816.4,10831.9,35232.5,12015.9
function@_QMplane_source_modPplane_source_apply,55,44,0,21,40,13,2619.94,1911.75,218.125,1189.12,962.312
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,37,25,0,22,8,91,25.0137,26.1716,9.66577,4.55658,34.416
function@_QMmur_modPmur_init,152,122,0,82,58,157,91.083,360.994,41.7383,73.3789,346.77
function@_QMmur_modPmur_updatee,1314,758,0,711,831,127,17211.1,7530.03,3295.92,3374.78,2249.89
function@_QMmur_modPmur_storee,840,437,0,345,492,83,29230.3,8605.57,3455.54,8968.23,3168.91
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,58,95,0,89,6,38,4218.7,12103.1,1045.5,3.2,8082.9
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,564,433,0,292,330,74,139312,55816.8,40381.7,16545.1,18128.3
function@_QMupdate_modPupdatee,659,283,0,310,313,44,248198,93157.5,54686.9,24632.3,21276.7
function@_QMupdate_modPupdate_inith,313,247,0,188,266,51,47867,20431.3,10773,10880,9455.83
function@_QMupdate_modPupdate_inite,399,405,0,266,330,101,75265.8,18489.5,14624.6,9421.33,20539.9
function@_QMupml_modPupml_allocate,2,2,0,2,12,301,2,2,2,12,261.294
function@_QMupml_modPcheck_allocate,0,0,0,0,0,2,0,0,0,0,9.31323e-10
function@_QMupml_modPupml_set_eps_arrays,437,366,0,208,100,178,7450.98,29317,1483.41,502.095,24382.7
function@_QMupml_modPupml_init,3841,2417,0,1187,1662,725,7618.96,6736.5,730.461,1240.42,3539.54
function@_QMupml_modPupml_initb,1103,426,0,452,314,112,998066,303995,94509.8,66790,160068
function@_QMupml_modPupml_inith,752,372,0,342,448,70,293087,68564.4,64653.4,25379.3,63969.6
function@_QMupml_modPupml_updateh,1156,672,0,763,395,209,2.27387e+06,637153,224422,173510,334899
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4076,1873,0,1764,1579,337,2.75303e+06,886936,312865,120001,441913
function@_QMupml_modPupml_updatee_simple,4211,1966,0,1940,1618,378,2.87466e+06,1.07145e+06,286464,121696,532701
function@_QMupml_modPupml_initd,1293,566,0,621,439,171,1.18282e+06,361028,111401,79549.4,190696
function@_QMupml_modPupml_inite,926,474,0,437,542,130,342098,82958.2,75153.3,29908.3,77442.6
function@_QMupml_modPupml_end,0,0,0,0,0,90,0,0,0,0,48.3333
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,1,0,0,0,0,0.619048
function@_QMreadline_modPreadline,123,83,0,64,25,21,1106.47,769.837,636.956,61.7609,207.582
function@_QMreadline_modPcheckifkeyword,1,0,0,0,3,1,1,0,0,1.26923,9.80769
function@mpi_barrier_,0,0,0,0,0,1,0,0,0,0,1
