"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,276,122,0,157,172,99,41083.2,49918.9,10300.3,1624.6,1935.03
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,286,170,0,158,150,64,154103,16556.8,11176,35035.3,12075.9
function@_QMplane_source_modPplane_source_apply,62,42,0,24,43,9,2798.88,1763.12,102.375,1212.06,940.688
function@_QMplane_source_modPplane_source_end,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,35,29,0,23,4,92,20.8389,35.8396,12.0828,0.251312,36.1738
function@_QMmur_modPmur_init,126,98,0,82,74,173,80.5889,324.322,37.1758,80.6914,353.514
function@_QMmur_modPmur_updatee,1347,740,0,741,805,142,19169.8,7498.06,4329.03,3169.36,2483.13
function@_QMmur_modPmur_storee,747,432,0,335,448,98,22645.1,8293,3427.04,6702.61,3781.63
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,58,91,0,86,10,38,4218.7,12029,991.85,77.3,8082.9
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,602,389,0,306,364,85,133816,49835.9,37555.9,22912.3,15381.5
function@_QMupdate_modPupdatee,667,264,0,316,333,47,263058,69006.7,39447.4,47774.3,21281
function@_QMupdate_modPupdate_inith,316,250,0,197,254,52,35485.2,21432.1,9615.98,4824.89,11254.9
function@_QMupdate_modPupdate_inite,383,408,0,274,332,95,45005.8,25035.1,18751.1,10519.8,11768.3
function@_QMupml_modPupml_allocate,2,2,0,2,12,301,2,2,2,12,261.294
function@_QMupml_modPcheck_allocate,0,0,0,0,0,2,0,0,0,0,9.31323e-10
function@_QMupml_modPupml_set_eps_arrays,439,364,0,209,104,178,7451.69,29284,1471.1,535.81,24382.7
function@_QMupml_modPupml_init,3946,2239,0,1182,1766,709,7970.34,6985.82,752.853,1272.86,3695.83
function@_QMupml_modPupml_initb,1059,428,0,431,319,113,977064,285965,69390.8,86895.3,161284
function@_QMupml_modPupml_inith,692,378,0,349,445,65,239341,74967.6,67143.4,27344,54846.5
function@_QMupml_modPupml_updateh,1176,640,0,781,433,213,2.36837e+06,629043,288149,226501,314773
function@_QMupml_modPupml_updatee,0,0,0,0,0,0,0,0,0,0,0
function@_QMupml_modPupml_updatee_homo,4123,1675,0,1736,1761,323,2.93273e+06,795626,354736,211053,408719
function@_QMupml_modPupml_updatee_simple,4284,1798,0,1925,1783,358,3.05503e+06,981427,329492,211321,498500
function@_QMupml_modPupml_initd,1248,562,0,586,455,174,1.1591e+06,337941,80871.3,104726,192573
function@_QMupml_modPupml_inite,867,479,0,445,544,123,284733,89364.4,78908,33736.9,68212.6
function@_QMupml_modPupml_end,0,0,0,0,0,90,0,0,0,0,48.3333
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,1,0,0,0,0,0.619048
function@_QMreadline_modPreadline,93,90,0,66,23,37,691.169,822.891,630.174,58.2011,347.94
function@_QMreadline_modPcheckifkeyword,1,0,0,0,3,1,1,0,0,1.26923,9.80769
function@mpi_barrier_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_integers_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_reals_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_logical_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_coords_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_shift_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_ssend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bsend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_wait_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_isend_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_wtick_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_buffer_attach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_buffer_detach_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_pack_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_gather_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_struct_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_type_commit_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_extent_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_free_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_vector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_type_hvector_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_irecv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_waitall_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_sendrecv_replace_,0,0,0,0,0,2,0,0,0,0,2
function@mpi_bsend_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_recv_init_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_dims_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_start_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_allreduce_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_abort_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_reduce_,0,0,0,0,0,0,0,0,0,0,0
function@_QMhuygens_modPhuygens_init,6,0,0,0,4,0,6,0,0,4,0
function@_QMhuygens_modPhuygensh,3234,811,0,1079,1019,231,134280,22785,20457.2,17585.2,11673.1
function@_QMhuygens_modPhuygense,3918,1040,0,1374,1198,255,164107,30032,27395.1,18051.2,15356.8
function@_QMhuygens_modPuin,1494,399,0,129,687,89,29345,6819.89,1662.19,11486,2610.49
function@_QMmaterial_modPmat_init,4581,1263,0,1961,956,177,1.13538e+09,7.5686e+07,3.25304e+08,3.00038e+07,1.5632e+07
function@_QMmaterial_modPmat_updatee,197,169,0,193,85,35,241186,185446,65067.9,12844.5,61204.7
function@calcflops_,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_init,119,69,0,65,51,46,105047,44311.2,12402,21197.4,15874.4
function@_QMpower_modPpower_stop,0,0,0,0,0,0,0,0,0,0,0
function@_QMpower_modPpower_dft,108,28,0,34,27,18,87919.5,13311.8,9536,16637.8,13774.1
function@_QMpower_modPpower_print,55,28,0,28,12,30,2877.11,3035.18,47.1426,17.3242,1552.08
function@_QMpower_modPpower_intere,27,43,0,23,17,14,19,16,17.3333,13,4.66667
function@_QMpower_modPpower_interh,64,48,0,38,18,11,29.3333,18,22.3333,10.5,5
function@_QMpower_modPread_power,9,21,0,11,7,68,61.9064,418.402,221.434,24.6703,2399.51
function@_QMpower_modPpower_updateh,116,70,0,78,89,20,5510.89,2776.84,2422.14,1457.23,560.58
function@timer_,0,0,0,0,0,5,0,0,0,0,3.85714
function@leapfrog_,68,103,0,61,51,45,3071.09,5997.52,802.875,137.078,2565.81
function@_QMpec_modPpec_read,0,1,0,0,2,21,0,0.375,0,0.738281,56.5156
function@_QMpec_modPpec_init,987,527,0,457,359,145,508255,124653,201301,98217.7,85976.1
function@_QMpec_modPpec_apply,36,30,0,39,18,18,376.875,541.312,88.6875,15,185.062
function@_QMpec_modPpec_end,0,0,0,0,0,3,0,0,0,0,1.2
function@_QQmain,22,15,0,35,28,71,13.75,9.375,21.875,17.5,50.625
