@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,181, 64, 0, 152, 8, 228, 47018.8, 22002.7, 14918.5, 219.375, 12659.8
~&SPILL_STATS,0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 708.723
~&SPILL_STATS,175, 99, 0, 145, 42, 122, 70148.6, 23420.2, 19859.1, 24825.7, 13553
~&SPILL_STATS,40, 24, 0, 23, 22, 43, 1669.88, 1383, 241.375, 1017.19, 1266.88
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2.8
~&SPILL_STATS,17, 11, 0, 18, 1, 100, 20.6191, 14.1943, 10.0247, 0.0439453, 43.9697
~&SPILL_STATS,111, 24, 0, 93, 6, 222, 140.25, 71.625, 35.5312, 2.25, 433.312
~&SPILL_STATS,975, 576, 0, 875, 110, 434, 12874.4, 9539.18, 5600.34, 610.581, 5262.7
~&SPILL_STATS,509, 297, 0, 384, 117, 248, 17952.2, 6492.52, 5159.21, 5606.89, 6043.37
~&SPILL_STATS,0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2.57812
~&SPILL_STATS,35, 70, 0, 86, 3, 64, 3935.95, 11793, 991.85, 1.6, 8424.1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,367, 307, 0, 292, 193, 214, 90029.6, 58738, 29069.1, 6508.17, 50851.1
~&SPILL_STATS,456, 195, 0, 288, 169, 276, 153281, 88966, 61278, 11532.8, 55445
~&SPILL_STATS,188, 177, 0, 190, 22, 180, 26679.4, 13840.3, 11040.6, 353.765, 23385.8
~&SPILL_STATS,260, 237, 0, 259, 35, 294, 30593.1, 26005.9, 26366, 1190.37, 31815.6
~&SPILL_STATS,2, 5, 0, 7, 6, 304, 2, 5, 7, 6, 264.294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.31323e-10
~&SPILL_STATS,334, 179, 0, 310, 40, 359, 10240.6, 24505.4, 1877.67, 15.4808, 24765.7
