@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,256, 159, 0, 173, 140, 107, 41064.1, 50438.4, 10793.7, 1115.6, 1942.53
~&SPILL_STATS,0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 708.723
~&SPILL_STATS,317, 187, 0, 160, 153, 48, 162750, 8118.91, 3192.99, 42895, 3166.19
~&SPILL_STATS,77, 46, 0, 24, 43, 9, 4220.12, 1913.75, 229.312, 1202.06, 940.688
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2.8
~&SPILL_STATS,45, 12, 0, 26, 9, 91, 40.3066, 11.0896, 23.2361, 10.0058, 33.0977
~&SPILL_STATS,222, 120, 0, 81, 90, 108, 338.812, 425.812, 44.25, 127.547, 134.062
~&SPILL_STATS,1692, 854, 0, 1067, 908, 105, 24662.7, 7855.08, 7956.04, 4023.83, 881.141
~&SPILL_STATS,998, 454, 0, 497, 491, 75, 38944.6, 7362.11, 8678.74, 8995.21, 3180.3
~&SPILL_STATS,0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2.57812
~&SPILL_STATS,67, 101, 0, 91, 10, 36, 5440.65, 13080.7, 1319, 57.1, 7571
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,732, 458, 0, 428, 354, 63, 131268, 61440.5, 46936.5, 13035, 12684.7
~&SPILL_STATS,769, 353, 0, 516, 288, 44, 293673, 95424.8, 75735, 21555.3, 11852.5
~&SPILL_STATS,339, 295, 0, 214, 227, 54, 37493.2, 21348.9, 10128.1, 4522.51, 10205.9
~&SPILL_STATS,460, 403, 0, 280, 355, 57, 60673.1, 16435.6, 10969.2, 10837.4, 16795.7
~&SPILL_STATS,21, 23, 0, 22, 14, 282, 21, 23, 22, 14, 242.294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.31323e-10
~&SPILL_STATS,763, 369, 0, 231, 107, 182, 47674.2, 28577.9, 1869.31, 3610, 20397.1
~&SPILL_STATS,5057, 2283, 0, 1638, 1790, 501, 8932.87, 6224.68, 1192.24, 2085.57, 3072.66
~&SPILL_STATS,1084, 450, 0, 433, 313, 109, 990776, 300632, 85534.5, 63535.7, 166746
~&SPILL_STATS,737, 454, 0, 405, 386, 71, 263517, 69445.8, 60994.3, 24378.4, 62828.2
~&SPILL_STATS,1225, 722, 0, 820, 430, 159, 2.53097e+06, 755807, 333429, 80564.2, 120341
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4488, 1976, 0, 2272, 1711, 291, 3.42345e+06, 929056, 570969, 84004.1, 176078
~&SPILL_STATS,4685, 2121, 0, 2484, 1713, 331, 3.77441e+06, 1.11338e+06, 629278, 85267.1, 182127
~&SPILL_STATS,1557, 613, 0, 579, 467, 173, 1.21136e+06, 361587, 103104, 76228.9, 200121
~&SPILL_STATS,1020, 583, 0, 490, 528, 119, 320206, 85127.8, 72908.6, 29586.8, 75491.4
~&SPILL_STATS,0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 48.3333
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.619048
~&SPILL_STATS,67, 90, 0, 65, 30, 52, 494.647, 753.016, 603.375, 67.3696, 352.821
~&SPILL_STATS,1, 2, 0, 1, 4, 1, 1, 10.8077, 1, 1.88462, 9.80769
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
