"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@writeout_,165,66,0,144,4,197,51696.9,24771.3,18397.8,7.04167,17148.7
function@_QMplane_source_modPplane_source_init,0,0,0,0,0,26,0,0,0,0,708.723
function@_QMplane_source_modPplane_source_read,150,83,0,159,43,139,67795.4,23104.5,20216.1,22265.6,5105.04
function@_QMplane_source_modPplane_source_apply,39,26,0,23,27,32,1775.31,1467.31,363.75,1052.56,1205.12
function@_QMcommunicate_modPcom_init_mpi,0,0,0,0,0,0,0,0,0,0,0
function@_QMcommunicate_modPcommunicate_end,0,0,0,0,0,5,0,0,0,0,2.8
function@init_,15,11,0,19,1,107,17.8506,14.1943,10.0687,0.0439453,46.9202
function@_QMmur_modPmur_init,113,34,0,97,8,227,135.482,84.1494,37.8623,3,514.665
function@_QMmur_modPmur_updatee,984,554,0,846,113,503,13042.4,8561.37,4886.32,879.564,4420.23
function@_QMmur_modPmur_storee,524,254,0,370,116,306,16807.6,5085.02,5389.7,5072.92,7565.46
function@_QMmur_modPmur_end,0,0,0,0,0,15,0,0,0,0,2.57812
function@_QMmur_modPmur_set_mf_arrays,35,70,0,84,3,64,3935.95,11793,966.35,1.6,8424.1
function@_QMupdate_modPupdate_init,0,0,0,0,0,0,0,0,0,0,0
function@_QMupdate_modPupdateh,357,295,0,284,174,204,77655.1,59563.7,21826.4,5605.07,35356.9
function@_QMupdate_modPupdatee,525,188,0,277,157,260,167688,88457,68842.4,8389.32,69691.6
function@_QMupdate_modPupdate_inith,183,165,0,182,21,166,31128.6,17580.2,15299.3,222.48,18377.1
function@_QMupdate_modPupdate_inite,241,256,0,250,27,294,36936.9,27074.8,26100.9,191.34,50609.6
function@_QMupml_modPupml_allocate,2,1,0,3,4,309,2,1,3,4,269.294
function@_QMupml_modPcheck_allocate,0,0,0,0,0,2,0,0,0,0,9.31323e-10
function@_QMupml_modPupml_set_eps_arrays,335,191,0,258,23,375,10672.1,24890.3,1857.07,8.90476,25422.2
function@_QMupml_modPupml_init,3604,925,0,1201,1174,1717,6798.82,2826.32,1162.36,748.776,4896.61
function@_QMupml_modPupml_initb,419,285,0,369,38,309,217351,260547,97491.6,7758.55,258690
function@_QMupml_modPupml_inith,500,310,0,376,34,277,190778,73942.7,100196,2254.6,138939
function@_QMupml_modPupml_updateh,699,551,0,721,191,469,1.90074e+06,750142,248589,27638.4,458144
function@_QMupml_modPupml_updatee_homo,2749,1352,0,1763,1108,1214,2.2714e+06,882745,377255,12586.9,656450
function@_QMupml_modPupml_updatee_simple,2744,1475,0,1936,1066,1276,2.43644e+06,1.07746e+06,380437,9785.27,692481
function@_QMupml_modPupml_initd,490,370,0,483,47,476,253839,296010,95400,16028.2,288548
function@_QMupml_modPupml_inite,577,370,0,429,47,471,231220,78308.5,107044,2514,160595
function@_QMupml_modPupml_end,0,0,0,0,0,90,0,0,0,0,48.3333
function@_QMupml_modPcheck_deallocate,0,0,0,0,0,1,0,0,0,0,0.619048
function@_QMreadline_modPreadline,24,63,0,64,6,93,83.3859,691.793,644.13,4.66304,735.5
function@_QMreadline_modPcheckifkeyword,0,0,0,0,0,1,0,0,0,0,9.80769
function@mpi_barrier_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_integers_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_reals_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_bcast_logical_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_create_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_coords_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_cart_shift_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_rank_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_comm_size_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_finalize_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_init_,0,0,0,0,0,0,0,0,0,0,0
function@mpi_recv_,0,0,0,0,0,1,0,0,0,0,1
function@mpi_ssend_,0,0,0,0,0,1,0,0,0,0,1
