@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,98, 64, 0, 58, 61, 69, 18.2723, 22.6208, 23.204, 23.4233, 149.259
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2.52679
~&SPILL_STATS,144, 0, 0, 144, 0, 6, 144, 0, 144, 0, 6
~&SPILL_STATS,313, 106, 0, 140, 69, 45, 88046.8, 20529.5, 25940.9, 11056.3, 11112.6
~&SPILL_STATS,241, 41, 0, 49, 44, 8, 241, 41, 42.5, 41.5, 8
~&SPILL_STATS,244, 78, 0, 134, 50, 35, 2.50892e+06, 1.07915e+06, 1.39887e+06, 267409, 192393
~&SPILL_STATS,51, 0, 0, 35, 0, 3, 51, 0, 35, 0, 3
~&SPILL_STATS,26, 10, 0, 22, 15, 7, 2161.15, 2484.4, 458.2, 47.75, 835.45
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,30, 20, 0, 33, 12, 128, 12.4284, 4.38177, 5.94255, 1.1428, 162.381
~&SPILL_STATS,110, 51, 0, 72, 62, 13, 621503, 428347, 51725.2, 54861.8, 229461
~&SPILL_STATS,15, 3, 0, 4, 3, 10, 160.68, 26.16, 2.56, 13.8, 78.4
~&SPILL_STATS,15, 3, 0, 4, 3, 10, 160.68, 26.16, 2.56, 13.8, 78.4
~&SPILL_STATS,16, 3, 0, 5, 3, 10, 173.44, 26.16, 15.32, 13.8, 78.4
~&SPILL_STATS,26, 81, 0, 17, 56, 8, 335.775, 3322.59, 335, 1357.74, 118.196
~&SPILL_STATS,43, 20, 0, 14, 34, 10, 1476.47, 281.304, 182.873, 544.284, 195.824
~&SPILL_STATS,56, 24, 0, 50, 60, 5, 1889.68, 384.794, 1848.72, 1687.39, 63.3235
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,42, 29, 0, 20, 8, 18, 212.539, 130.375, 51.4297, 20.625, 113.5
~&SPILL_STATS,43, 25, 0, 15, 15, 17, 224.805, 135.531, 37.6016, 49.6289, 101.312
~&SPILL_STATS,377, 60, 0, 101, 41, 24, 1163.91, 142.904, 262.888, 81.8913, 83.6965
~&SPILL_STATS,66, 49, 0, 38, 32, 15, 3923.12, 2441.08, 724.77, 657.451, 1635.44
~&SPILL_STATS,69, 42, 0, 36, 37, 16, 4893.12, 1631.08, 1324.14, 1724.64, 1195.44
~&SPILL_STATS,180, 0, 0, 158, 0, 6, 180, 0, 158, 0, 6
~&SPILL_STATS,646, 131, 0, 186, 103, 36, 891462, 216049, 148040, 71885.5, 65620.6
~&SPILL_STATS,77, 0, 0, 66, 0, 3, 77, 0, 66, 0, 3
~&SPILL_STATS,49, 20, 0, 43, 23, 15, 157037, 41916.5, 1204.33, 1032.1, 72004.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,100, 32, 0, 63, 39, 3, 699927, 664876, 279789, 149540, 131073
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,138, 35, 0, 54, 73, 14, 12362, 3152.5, 1320.45, 4615.83, 1822.23
~&SPILL_STATS,120, 46, 0, 83, 66, 18, 1.44493e+06, 1.38383e+06, 23900.8, 376858, 699424
~&SPILL_STATS,25, 14, 0, 9, 21, 17, 86.0605, 27.0605, 15.8789, 59.678, 43.8499
~&SPILL_STATS,712, 17, 0, 353, 15, 154, 2.00001, 1.00001, 2, 1.5, 2.00062
~&SPILL_STATS,172, 0, 0, 150, 0, 6, 172, 0, 150, 0, 6
~&SPILL_STATS,748, 195, 0, 258, 187, 78, 3.35226e+07, 7.13428e+06, 3.92001e+06, 4.08727e+06, 2.85442e+06
~&SPILL_STATS,253, 0, 0, 230, 0, 10, 253, 0, 230, 0, 10
~&SPILL_STATS,475, 135, 0, 217, 132, 38, 1.02098e+06, 798002, 398075, 281364, 137760
~&SPILL_STATS,43, 0, 0, 36, 0, 2, 43, 0, 36, 0, 2
~&SPILL_STATS,52, 19, 0, 43, 33, 16, 2515.46, 2818.67, 373.056, 925.13, 1149.39
~&SPILL_STATS,148, 45, 0, 29, 74, 55, 461.941, 134.988, 70.4823, 146.741, 221.035
~&SPILL_STATS,191, 61, 0, 114, 102, 22, 67527.5, 19869.1, 8042.79, 15544.5, 9778.24
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,26, 34, 0, 36, 47, 77, 163.661, 347.864, 195.22, 94.5254, 3741.1
~&SPILL_STATS,30, 16, 0, 15, 18, 13, 581.6, 486.85, 101.1, 402.45, 371.75
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,601, 159, 0, 119, 124, 59, 597, 159, 98, 116, 59
~&SPILL_STATS,920, 111, 0, 427, 66, 8, 250799, 75621.6, 106451, 17763.2, 4438.52
