@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,98, 61, 0, 59, 57, 68, 21.7518, 24.0105, 26.7956, 20.718, 142.175
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2.52679
~&SPILL_STATS,222, 0, 0, 142, 0, 6, 222, 0, 142, 0, 6
~&SPILL_STATS,286, 97, 0, 134, 82, 45, 90292.6, 18182.8, 24660.2, 13397.4, 11266.2
~&SPILL_STATS,189, 44, 0, 46, 47, 14, 188, 44, 40, 44, 14
~&SPILL_STATS,314, 73, 0, 159, 59, 32, 4.48044e+06, 1.07812e+06, 1.94234e+06, 358750, 106249
~&SPILL_STATS,71, 0, 0, 33, 0, 3, 71, 0, 33, 0, 3
~&SPILL_STATS,35, 6, 0, 24, 19, 9, 6243.9, 846.2, 1674.1, 1685.95, 1257.75
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,30, 20, 0, 33, 12, 128, 12.4284, 4.38177, 5.94255, 1.1428, 162.381
~&SPILL_STATS,126, 52, 0, 77, 61, 11, 660598, 426882, 127203, 56327.3, 190380
~&SPILL_STATS,16, 2, 0, 5, 2, 8, 173.44, 13.4, 2.96, 13.4, 65.24
~&SPILL_STATS,16, 2, 0, 5, 2, 8, 173.44, 13.4, 2.96, 13.4, 65.24
~&SPILL_STATS,17, 2, 0, 6, 2, 8, 186.2, 13.4, 15.72, 13.4, 65.24
~&SPILL_STATS,15, 79, 0, 14, 49, 10, 91.3333, 3222.22, 182.873, 1297.08, 195.824
~&SPILL_STATS,43, 20, 0, 14, 34, 10, 1476.47, 281.304, 182.873, 544.284, 195.824
~&SPILL_STATS,82, 22, 0, 47, 59, 7, 3264.32, 333.049, 1745.22, 1684.26, 140.951
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,44, 29, 0, 20, 8, 19, 237.539, 130.375, 51.4297, 20.625, 119.75
~&SPILL_STATS,42, 26, 0, 15, 9, 21, 228.555, 123.344, 35.2188, 22.627, 130.688
~&SPILL_STATS,488, 54, 0, 117, 34, 21, 1501.1, 148.669, 316.657, 52.7379, 67.449
~&SPILL_STATS,64, 51, 0, 36, 30, 17, 3783.12, 2761.08, 404.77, 337.451, 1955.44
~&SPILL_STATS,72, 47, 0, 40, 37, 18, 5808.12, 2211.08, 1579.77, 1469.64, 680.438
~&SPILL_STATS,330, 0, 0, 154, 0, 5, 330, 0, 154, 0, 5
~&SPILL_STATS,633, 127, 0, 167, 104, 37, 878111, 208166, 100132, 63709.4, 79231.6
~&SPILL_STATS,149, 0, 0, 64, 0, 3, 149, 0, 64, 0, 3
~&SPILL_STATS,52, 20, 0, 46, 23, 15, 157097, 41916.5, 1264.51, 1032.1, 72004.9
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,102, 33, 0, 65, 38, 1, 830999, 664877, 537837, 149539, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,139, 37, 0, 56, 71, 15, 12771.6, 3159.87, 1327.83, 4608.45, 1783.8
~&SPILL_STATS,127, 44, 0, 88, 71, 25, 2.46095e+06, 711943, 701406, 1.39288e+06, 1.05431e+06
~&SPILL_STATS,25, 14, 0, 9, 21, 17, 86.0605, 27.0605, 15.8789, 59.678, 43.8499
~&SPILL_STATS,686, 18, 0, 330, 6, 156, 2.00001, 1.00001, 2, 1.5, 2.00062
~&SPILL_STATS,460, 0, 0, 140, 0, 5, 460, 0, 140, 0, 5
~&SPILL_STATS,718, 204, 0, 258, 181, 72, 3.04088e+07, 7.81463e+06, 3.57928e+06, 3.59392e+06, 2.64969e+06
~&SPILL_STATS,272, 0, 0, 233, 0, 9, 272, 0, 233, 0, 9
~&SPILL_STATS,487, 135, 0, 222, 134, 37, 1.14768e+06, 807409, 538584, 401217, 140912
~&SPILL_STATS,85, 0, 0, 40, 0, 1, 85, 0, 40, 0, 1
~&SPILL_STATS,55, 19, 0, 45, 33, 16, 2578.61, 3071.26, 1075.98, 672.537, 1141.48
~&SPILL_STATS,140, 49, 0, 28, 69, 57, 474.835, 129.2, 67.0235, 136.071, 237.612
~&SPILL_STATS,193, 61, 0, 113, 105, 21, 70490.7, 25070.2, 21072, 15904.8, 13740.7
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,26, 34, 0, 36, 47, 77, 163.661, 347.864, 195.22, 94.5254, 3741.1
~&SPILL_STATS,32, 17, 0, 15, 18, 18, 854.3, 489.2, 107.5, 402.05, 650.3
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,586, 125, 0, 114, 113, 63, 582, 125, 93.5, 105, 62.5
~&SPILL_STATS,306, 112, 0, 33, 20, 53, 97364.7, 75826.3, 17871.5, 561.8, 29492.7
