@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,73, 22, 0, 55, 23, 92, 11.8146, 6.42636, 20.1229, 6.81211, 158.083
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 2.52679
~&SPILL_STATS,142, 0, 0, 142, 0, 6, 142, 0, 142, 0, 6
~&SPILL_STATS,148, 69, 0, 112, 8, 98, 57369.6, 13396.6, 6992.44, 1877.14, 10959.7
~&SPILL_STATS,167, 17, 0, 44, 18, 36, 165.5, 17, 40.5, 16, 33.5
~&SPILL_STATS,132, 60, 0, 81, 0, 85, 1.14829e+06, 984621, 547723, 0, 582102
~&SPILL_STATS,30, 0, 0, 30, 0, 4, 30, 0, 30, 0, 4
~&SPILL_STATS,15, 8, 0, 24, 1, 16, 517.55, 2879.6, 893.95, 0.5, 1274.9
~&SPILL_STATS,16, 7, 0, 13, 0, 188, 6.16611, 0.820566, 3.78518, 0, 181.389
~&SPILL_STATS,68, 33, 0, 72, 4, 54, 477059, 362302, 93015.1, 196.339, 329290
~&SPILL_STATS,13, 4, 0, 6, 1, 12, 130.72, 36.36, 4.2, 0.32, 89.24
~&SPILL_STATS,13, 4, 0, 6, 1, 12, 130.72, 36.36, 4.2, 0.32, 89.24
~&SPILL_STATS,10, 4, 0, 7, 1, 11, 102.68, 36.36, 16.96, 0.32, 79.04
~&SPILL_STATS,10, 39, 0, 17, 29, 30, 75.0392, 1614.22, 178.951, 1311.49, 324.99
~&SPILL_STATS,25, 7, 0, 14, 13, 32, 713.647, 170.598, 100.549, 508.51, 387.892
~&SPILL_STATS,49, 13, 0, 51, 5, 28, 1945.09, 376.196, 1818.46, 83.1765, 367.363
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,27, 13, 0, 20, 0, 35, 138.633, 75.4688, 39.2188, 0, 171.195
~&SPILL_STATS,28, 13, 0, 19, 1, 32, 147.461, 78.5938, 45.4688, 0.3125, 142.836
~&SPILL_STATS,155, 25, 0, 113, 5, 88, 413.132, 91.3318, 286.315, 0.909424, 177.207
~&SPILL_STATS,46, 35, 0, 43, 1, 41, 3558.91, 1858.67, 850.176, 0.3125, 2245.28
~&SPILL_STATS,47, 33, 0, 42, 1, 42, 2904.69, 1855.23, 630.176, 0.3125, 2697.94
~&SPILL_STATS,152, 0, 0, 152, 0, 7, 152, 0, 152, 0, 7
~&SPILL_STATS,256, 98, 0, 164, 18, 116, 485138, 186688, 124734, 12809.8, 136571
~&SPILL_STATS,62, 0, 0, 62, 0, 4, 62, 0, 62, 0, 4
~&SPILL_STATS,45, 6, 0, 47, 3, 31, 136826, 20931.6, 12458.2, 30.0588, 73061.6
~&SPILL_STATS,61, 26, 0, 59, 1, 25, 691623, 664256, 419867, 655.32, 406863
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,84, 24, 0, 47, 30, 46, 9014, 3530.28, 2130.22, 3534.02, 2729.95
~&SPILL_STATS,99, 30, 0, 90, 2, 70, 1.45557e+06, 1.37201e+06, 388951, 0.758242, 1.06726e+06
~&SPILL_STATS,16, 5, 0, 10, 13, 19, 64.5351, 10.3511, 20.7143, 49.1961, 44.1864
~&SPILL_STATS,276, 14, 0, 266, 2, 169, 6.98412e-06, 4.74975e-06, 2, 9.31323e-08, 4.00062
~&SPILL_STATS,141, 0, 0, 140, 0, 14, 141, 0, 140, 0, 14
~&SPILL_STATS,415, 140, 0, 257, 72, 220, 1.73739e+07, 5.0898e+06, 4.30264e+06, 2.77939e+06, 6.25947e+06
~&SPILL_STATS,225, 0, 0, 225, 0, 12, 225, 0, 225, 0, 12
~&SPILL_STATS,256, 103, 0, 213, 19, 126, 582256, 931611, 286462, 51.8529, 540793
~&SPILL_STATS,34, 0, 0, 34, 0, 9, 34, 0, 34, 0, 9
~&SPILL_STATS,40, 12, 0, 45, 1, 38, 1967.48, 3051.31, 808.204, 0.5, 1749.72
~&SPILL_STATS,106, 6, 0, 36, 56, 65, 388.671, 28.1882, 90.9294, 112.212, 258.494
~&SPILL_STATS,142, 47, 0, 112, 4, 79, 53151.2, 27055, 14732.6, 2.11538, 21290.9
~&SPILL_STATS,24, 2, 0, 26, 0, 109, 240.559, 27.1186, 267.678, 0, 4011.37
~&SPILL_STATS,17, 8, 0, 17, 3, 37, 277.7, 616.9, 156.15, 16, 911.25
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,565, 47, 0, 116, 30, 132, 557.5, 47, 110.5, 28, 122.5
~&SPILL_STATS,35, 62, 0, 36, 0, 123, 43139.2, 58644.6, 30087, 0, 84992.3
~&SPILL_STATS,469, 3, 0, 470, 0, 30, 469, 3, 470, 0, 30
~&SPILL_STATS,852, 447, 0, 721, 45, 447, 2.09383e+07, 1.2909e+07, 5.80362e+06, 54068.3, 6.86196e+06
~&SPILL_STATS,50, 2, 0, 51, 0, 607, 31.625, 2, 51, 0, 2087
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,30, 19, 0, 30, 4, 51, 225.83, 212.991, 222.289, 0.219814, 578.025
~&SPILL_STATS,77, 36, 0, 62, 23, 97, 25.5802, 37.7128, 38.1719, 8.91423, 181.859
~&SPILL_STATS,55, 16, 0, 51, 6, 35, 11544.5, 4041.13, 6167.05, 1.99254, 3140.6
~&SPILL_STATS,6, 0, 0, 0, 6, 0, 41.75, 0, 0, 3, 0
~&SPILL_STATS,323, 83, 0, 118, 77, 140, 10096.4, 4125.66, 3248.97, 4097.59, 2566.09
