"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@set_data_,0,0,0,0,0,0,0,0,0,0,0
function@set_data_tile_,0,0,0,0,0,0,0,0,0,0,0
function@get_3dfld_,69,20,0,45,16,82,12.596,7.72809,22.3564,6.84026,155.257
function@close_io_,0,0,0,0,0,13,0,0,0,0,2.52679
function@_QMdiag_modPdiag,142,0,0,142,0,6,142,0,142,0,6
function@_QMdiag_modPdiag_tile,368,157,0,242,42,185,57661,30337.8,10788.7,137.853,23396
function@_QMmod_mixingPallocate_mixing,167,14,0,45,20,32,165.5,14,42.5,17,31.5
function@_QMmod_mixingPinitialize_mixing,135,60,0,82,0,85,1.15382e+06,984621,553037,0,577003
function@_QMset_zeta_modPset_zeta,30,0,0,30,0,4,30,0,30,0,4
function@_QMset_zeta_modPset_zeta_tile,75,30,0,59,10,41,1329.87,2388.63,1074.51,31.2353,1536.57
function@_QMdef_var_modPdef_var,21,5,0,14,0,178,6.55579,0.743131,4.09742,0,180.392
function@_QMnf_fread3d_bry_modPnf_fread3d_bry,92,61,0,93,9,95,547989,355653,175780,5893.62,491972
function@_QMnrutilParray_copy_r,13,4,0,6,1,12,130.72,36.36,4.2,0.32,89.24
function@_QMnrutilParray_copy_d,13,4,0,6,1,12,130.72,36.36,4.2,0.32,89.24
function@_QMnrutilParray_copy_i,10,4,0,7,1,11,102.68,36.36,16.96,0.32,79.04
function@_QMnrutilParth_r,11,39,0,17,28,30,78.1667,1614.22,178.951,1309.93,323.108
function@_QMnrutilParth_d,25,7,0,14,12,33,713.647,170.598,100.549,506.951,391.02
function@_QMnrutilParth_i,48,13,0,51,4,30,1941.96,376.196,1818.46,80.049,371.735
function@_QMnrutilPnrerror,0,0,0,0,0,1,0,0,0,0,1
function@_QMnrutilPreallocate_rv,25,14,0,19,0,37,113.633,100.078,38.8281,0,196.195
function@_QMnrutilPreallocate_iv,26,14,0,18,1,34,122.461,103.203,45.0781,0.3125,167.836
function@_QMnrutilPreallocate_hv,155,22,0,113,6,109,413.057,88.0237,294.469,1.00708,203.802
function@_QMnrutilPreallocate_rm,43,36,0,41,1,44,3293.28,2123.52,849.102,0.3125,2510.91
function@_QMnrutilPreallocate_im,46,34,0,40,1,44,3264.06,1960.7,784.102,0.3125,2962.94
function@_QMlmd_vmix_modPlmd_vmix,152,0,0,152,0,7,152,0,152,0,7
function@_QMlmd_vmix_modPlmd_vmix_tile,896,366,0,445,108,301,491051,232893,128761,25115.7,149485
function@_QMlmd_vmix_modPlmd_finish,62,0,0,62,0,4,62,0,62,0,4
function@_QMlmd_vmix_modPlmd_finish_tile,68,20,0,70,0,50,63421.9,37471.3,18050.6,0,57712.9
function@_QMnf_fwrite3d_bry_modPnf_fwrite3d_bry,153,84,0,112,9,64,466921,458357,228923,20008.8,369335
function@my_wtime_,0,0,0,0,0,0,0,0,0,0,0
function@lmd_swfrac_tile_,78,24,0,47,30,46,9009.75,3530.35,2129.65,3532.65,2754.3
function@_QMstate_initialize_modPstate_initialize,119,59,0,105,1,107,269737,934612,150396,0.625,715734
function@get_cycle_,18,6,0,12,13,19,67.0097,15.6077,27.2397,49.1961,48.8257
function@wrt_info_,276,14,0,266,2,178,6.98412e-06,4.74975e-06,2,9.31323e-08,4.00046
function@_QMt3dmix_modPt3dmix2,141,0,0,140,0,14,141,0,140,0,14
function@_QMt3dmix_modPt3dmix2_tile,904,337,0,478,178,490,1.74656e+07,5.78987e+06,4.20208e+06,3.47531e+06,7.37588e+06
function@_QMini_fields_modPini_fields,225,0,0,225,0,12,225,0,225,0,12
function@_QMini_fields_modPini_fields_tile,456,244,0,337,47,235,306887,576582,190634,789.235,281828
function@_QMini_fields_modPini_zeta,34,0,0,34,0,9,34,0,34,0,9
function@_QMini_fields_modPini_zeta_tile,56,30,0,62,0,67,1666.63,2920.41,804.147,0,1802
function@set_scoord_,106,6,0,36,56,65,388.671,28.1882,90.9294,112.212,258.494
function@_QMset_3dfld_modPset_3dfld_tile,268,123,0,206,13,198,17039.8,26004.2,6216.55,754.854,25430.4
function@initial_,24,2,0,26,0,111,238.597,114.387,352.984,0,3969.27
function@lubksb_,14,9,0,15,4,39,269.85,620.85,147.85,19.95,934.95
function@_QMran_statePran_init,0,0,0,0,0,1,0,0,0,0,1
function@_QMran_statePran_seed,0,0,0,0,0,1,0,0,0,0,1
function@_QMmod_gridPallocate_grid,540,74,0,119,28,112,534,74,116,20,105
function@_QMmod_gridPinitialize_grid,36,62,0,37,1,125,43394.8,58644.6,30342,3.96,85012.7
function@_QMpre_step3d_modPpre_step3d,469,3,0,470,0,30,469,3,470,0,30
function@_QMpre_step3d_modPpre_step3d_tile,2786,1517,0,1682,316,1244,1.5217e+07,1.13441e+07,5.07985e+06,528669,8.34533e+06
function@checkdefs_,2,50,0,52,0,410,1.625,50,51.5,0,1940
function@_QQmain,0,0,0,0,0,0,0,0,0,0,0
function@checkvars_,30,19,0,30,4,52,225.83,212.991,222.289,0.219814,578.963
function@get_2dfld_,75,33,0,62,22,105,26.4384,38.5297,39.9507,9.07962,182.961
function@_QMnf_fread3d_modPnf_fread3d,113,32,0,78,21,61,5433.65,5746.71,3226.27,956.89,4275.01
function@gasdev_s_,6,0,0,0,6,0,41.75,0,0,3,0
function@gasdev_v_,320,80,0,116,78,143,10132.4,4028.21,3249.88,4043.06,2647.43
