"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@message_init,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_set_files,0,0,0,0,0,0,0,0,0,0,0
function@message_filename,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_start,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_update,0,0,0,0,0,0,0,0,0,0,0
function@message_progress_end,0,0,0,0,0,0,0,0,0,0,0
function@message,0,0,0,0,0,0,0,0,0,0,0
function@message_warning,0,0,0,0,0,0,0,0,0,0,0
function@message_error,0,0,0,0,0,0,0,0,0,0,0
function@message_fatal,0,0,0,0,0,0,0,0,0,0,0
function@message_bug,0,0,0,0,0,0,0,0,0,0,0
function@message_signal_handler,0,0,0,0,0,0,0,0,0,0,0
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,6,0,0,0,0,2.46875
function@message_filters_to_str,5,9,0,4,12,5,28,58,26,36.625,47
function@message_filters_show,0,0,0,0,0,0,0,0,0,0,0
function@message_try_help,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,0,0,0,0,0,0
function@message_help,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_extreme,0,0,0,0,0,0,0,0,0,0,0
function@coder_add_filter,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_compression_settings,9,9,0,7,1,10,53.2143,35.9524,20.2381,0.5,55.7857
function@coder_run,2,6,0,3,1,16,0.0617463,0.264071,0.0996844,0.00155073,3.17628
function@is_format_lzma,0,0,0,0,0,7,0,0,0,0,1.55664
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,1,0,0,0,0,0.5
function@hardware_memlimit_get,0,0,0,0,0,2,0,0,0,0,2
function@hardware_memlimit_show,0,0,0,0,0,1,0,0,0,0,1
function@hardware_init,0,0,0,0,0,0,0,0,0,0,0
function@io_init,0,0,0,0,0,0,0,0,0,0,0
function@io_no_sparse,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,2,0,0,0,0,9.15294
function@io_open_dest,0,0,0,0,0,2,0,0,0,0,2
function@io_close,0,0,0,0,0,4,0,0,0,0,5.97626
function@io_read,2,1,0,3,6,4,2,0.123077,2.12308,2,28.5846
function@io_pread,1,2,0,3,2,6,0.376923,0.753846,1.37692,0.753846,15.6
function@io_write,8,0,0,1,3,9,3.46154,0,0.531136,0.622711,22.174
function@list_totals,1,8,0,5,0,5,0.625,3.76562,2.59375,0,0.46875
function@list_file,61,123,0,77,29,48,51.5426,23.6583,37.4079,24.8511,9.36473
function@get_check_names,0,0,0,0,0,1,0,0,0,0,1
function@print_adv_helper,0,0,0,0,0,2,0,0,0,0,2
function@parse_details,1,8,0,2,0,6,0.456055,1.22316,1.02747,0,2.20731
function@xrealloc,0,0,0,0,0,2,0,0,0,0,2
function@xstrdup,0,0,0,0,0,3,0,0,0,0,3
function@str_to_uint64,4,4,0,2,10,13,0.545024,0.545024,0.180095,0.535545,36.0166
function@round_up_to_mib,0,0,0,0,0,2,0,0,0,0,2
function@uint64_to_str,0,0,0,0,0,1,0,0,0,0,1
function@uint64_to_nicestr,0,0,0,0,0,3,0,0,0,0,3
function@my_snprintf,0,0,0,0,0,3,0,0,0,0,1.625
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdin,0,0,0,0,0,0,0,0,0,0,0
function@is_tty_stdout,0,0,0,0,0,0,0,0,0,0,0
function@signals_init,0,0,0,0,0,0,0,0,0,0,0
function@signals_block,0,0,0,0,0,0,0,0,0,0,0
function@signals_unblock,0,0,0,0,0,0,0,0,0,0,0
function@signals_exit,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,8,4,0,5,3,4,23.05,16.8,17.8,18.65,610.75
function@options_bcj,6,4,0,5,3,3,21.05,19.15,17.8,18.65,604.5
function@options_lzma,13,15,0,7,3,8,46.95,355.15,30.6,18.65,614.5
function@set_lzma,0,0,0,0,0,2,0,0,0,0,1.10031
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@set_exit_no_warn,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,2,4,0,2,2,4,10.625,13,1.625,20,21
function@sha_compress,357,128,0,106,110,12,10680,3600,2834,3365,353
function@sha_done,0,0,0,0,0,5,0,0,0,0,3.96774
function@spec_mem_init,2,11,0,2,6,4,19.9988,59.9964,19.9988,40.6226,282.483
function@spec_mem_sum,0,0,0,0,0,3,0,0,0,0,25.625
function@spec_mem_load,46,9,0,8,2,26,297.052,15.8412,6.74646,1.99999,276.566
function@fd_grow,0,0,0,0,0,3,0,0,0,0,3
function@spec_uncompress,0,0,0,0,0,2,0,0,0,0,2
function@compare_sum,0,0,0,0,0,1,0,0,0,0,7.51515
function@print_sum,0,0,0,0,0,1,0,0,0,0,15.9375
function@spec_mem_read,2,0,0,1,4,4,1.47059,0,0.470588,1.23529,2.88235
function@spec_mem_fread,15,9,0,12,5,0,7.49998,3.74999,6.99999,2,0
function@spec_mem_getc,0,0,0,0,0,4,0,0,0,0,3.49999
function@spec_mem_ungetc,0,0,0,0,0,1,0,0,0,0,0.999998
function@spec_mem_lseek,2,4,0,2,0,4,0.529412,1.20588,1.88235,0,3.70588
function@spec_mem_rewind,0,0,0,0,0,0,0,0,0,0,0
function@spec_mem_reset,0,0,0,0,0,1,0,0,0,0,1
function@spec_mem_get_length,0,0,0,0,0,1,0,0,0,0,1
function@spec_mem_fopen,0,0,0,0,0,5,0,0,0,0,2.66492
function@spec_mem_open,0,0,0,0,0,5,0,0,0,0,2.79412
function@spec_mem_write,5,2,0,3,3,4,3.88235,1.41176,2.94118,1.05882,17.4118
function@spec_mem_fwrite,14,4,0,5,4,5,12.5,3.49999,4.99999,3.99999,19.5
function@spec_mem_putc,0,0,0,0,0,3,0,0,0,0,2.99999
function@spec_mem_feof,0,2,0,1,0,2,0,0.999999,0.5,0,0.999999
function@spec_mem_close,0,0,0,0,0,1,0,0,0,0,0.999999
function@spec_empty,0,0,0,0,0,0,0,0,0,0,0
function@spec_initbufs,0,0,0,0,0,0,0,0,0,0,0
function@spec_compress,0,0,0,0,0,2,0,0,0,0,2
function@debug_time,0,0,0,0,0,0,0,0,0,0,0
function@sum_str_to_hex,0,1,0,1,1,4,0,16,1,0.499999,19
function@spec_mem_alloc_fds,0,0,0,0,0,2,0,0,0,0,2
function@spec_mem_free_fds,1,2,0,1,0,2,0.25,16.7188,1,0,31.9375
function@lzma_delta_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_decode,31,14,0,11,13,9,86.2969,24.6797,11.25,21.75,21.0312
function@lzma_delta_props_decode,0,0,0,0,0,2,0,0,0,0,1.5
function@lzma_delta_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_encode,80,42,0,34,30,16,75.0403,38.6117,15.5806,19.7834,46.0788
function@delta_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_props_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_coder_init,0,0,0,0,0,1,0,0,0,0,0.898734
function@delta_coder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_coder_memusage,0,0,0,0,0,1,0,0,0,0,0.235294
function@lzma_mf_find,3,0,0,3,1,3,2.84615,0,0.461538,0.153846,2.07692
function@lzma_mf_hc3_find,73,11,0,16,13,11,118.115,67.252,20.0225,6.03484,51.7131
function@lzma_mf_hc3_skip,10,3,0,8,6,4,280.75,137.625,247.875,148.875,153.25
function@lzma_mf_hc4_find,85,13,0,16,14,11,145.414,48.813,15.9235,28.3654,31.0963
function@lzma_mf_hc4_skip,13,6,0,9,5,3,304.25,232.875,258.625,117,151.5
function@lzma_mf_bt2_find,52,11,0,23,9,5,118.64,111.432,35.472,4.24,14.088
function@lzma_mf_bt2_skip,29,11,0,19,8,4,1026.26,617.737,511.105,112.895,192.368
function@lzma_mf_bt3_find,118,22,0,33,17,12,334.375,95.615,45.8077,64.0297,6.68331
function@lzma_mf_bt3_skip,29,13,0,20,7,4,1041.47,659.211,521.474,99.4737,192.368
function@lzma_mf_bt4_find,125,23,0,34,18,12,250.68,71.0092,34.1149,42.9724,7.07504
function@lzma_mf_bt4_skip,30,13,0,20,7,5,1045.37,643.105,528.053,116.368,205.789
function@lzma_lz_encoder_memusage,0,0,0,0,0,2,0,0,0,0,1.5
function@lz_encoder_prepare,24,8,0,8,2,9,4.79896,1.74413,4.36554,0.0992167,3.00522
function@lzma_lz_encoder_init,0,0,0,0,0,4,0,0,0,0,2.0303
function@lz_encode,0,2,0,1,0,3,0,10.2723,1,0,11.844
function@lz_encoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lz_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_mf_is_supported,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lz_decoder_init,3,1,0,2,0,6,0.294571,0.0981902,0.19638,0,2.6235
function@lz_decode,42,22,0,28,9,11,784.386,728.172,562.637,96.5498,394.508
function@lz_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lz_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lz_decoder_uncompressed,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_optimum_fast,73,27,0,16,11,19,4.46572,2.30655,4.71865,0.976017,4.46546
function@lzma_lzma_preset,0,0,0,0,0,3,0,0,0,0,2.75
function@lzma_lzma_optimum_normal,381,169,0,176,154,88,906.581,235.847,206.519,356.371,740.622
function@lzma_lzma2_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma2_encoder_init,0,0,0,0,0,2,0,0,0,0,1.52747
function@lzma_lzma2_encoder_memusage,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma2_props_encode,0,0,0,0,0,5,0,0,0,0,5
function@lzma2_encode,26,13,0,10,4,8,43.2004,23.4846,13.7797,6.67841,9.24229
function@lzma2_encoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma2_encoder_options_update,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma2_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma2_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma2_decoder_memusage,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma2_props_decode,0,0,0,0,0,3,0,0,0,0,1.32353
function@lzma2_decode,1,9,0,5,0,13,0.213603,12.5216,10.6757,0,41.1225
function@lzma2_decoder_end,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_encode,31,8,0,12,5,37,93.2943,12.5063,49.9224,59.2687,133.817
function@rc_encode,4,0,0,2,0,12,13.4094,0,2,0,21.1155
function@lzma_lzma_encoder_reset,29,81,0,3,9,86,0.325684,10.937,0.291504,0.206543,22.5679
function@lzma_lzma_encoder_create,0,0,0,0,0,1,0,0,0,0,0.375
function@lzma_lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_encoder_memusage,0,0,0,0,0,3,0,0,0,0,1.0625
function@lzma_lzma_lclppb_encode,0,0,0,0,0,1,0,0,0,0,1
function@lzma_lzma_props_encode,0,0,0,0,0,1,0,0,0,0,1
function@lzma_mode_is_supported,0,0,0,0,0,0,0,0,0,0,0
function@match,29,5,0,8,13,19,15.7906,0.710372,3.33464,5.08219,23.1018
function@length,40,1,0,19,10,9,14.3571,1,7.59524,3.40476,3.88095
function@length_update_prices,27,27,0,10,7,24,137.9,74.5006,9.12515,35.5073,2162.2
function@lzma_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_lzma_decoder_create,0,0,0,0,0,0,0,0,0,0,0
