@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1.8125
~&SPILL_STATS,5, 3, 0, 6, 1, 10, 30, 6, 34, 4, 83
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,5, 5, 0, 5, 0, 14, 18.7381, 26.0952, 3.5, 0, 89.881
~&SPILL_STATS,3, 0, 0, 2, 1, 14, 0.0776641, 0, 0.0759126, 0.00155073, 2.43689
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0.556641
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.15294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4.06687
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 22.9231
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 12.2
~&SPILL_STATS,1, 0, 0, 1, 1, 15, 0.483516, 0, 0.531136, 0.0622711, 24.3718
~&SPILL_STATS,1, 4, 0, 5, 0, 6, 0.195312, 1.96875, 2.16406, 0, 1.09375
~&SPILL_STATS,62, 67, 0, 80, 10, 84, 27.4824, 1.70413, 35.464, 3.58857, 52.4072
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,1, 2, 0, 1, 0, 6, 0.456055, 1.02747, 1, 0, 2.19084
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,5, 0, 0, 4, 1, 11, 0.635071, 0, 0.729858, 0.0900474, 29.1564
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 4, 0, 5, 1, 8, 15.875, 44.625, 213.833, 2.33333, 623.583
~&SPILL_STATS,6, 4, 0, 5, 1, 8, 15.875, 44.625, 213.833, 2.33333, 623.583
~&SPILL_STATS,17, 2, 0, 6, 1, 12, 70.75, 1.25, 216.95, 2.35, 639.8
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.10031
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,1, 1, 0, 1, 0, 6, 0.624999, 0.999999, 0.999999, 0, 41
~&SPILL_STATS,100, 79, 0, 97, 1, 158, 3076, 2125, 2577, 32, 5056
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.96774
~&SPILL_STATS,4, 5, 0, 5, 0, 11, 44.9973, 16.2491, 52.4969, 0, 319.231
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 26.625
~&SPILL_STATS,22, 5, 0, 11, 0, 34, 129.347, 12.0468, 8.94504, 0, 281.207
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7.51515
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.9375
~&SPILL_STATS,1, 1, 0, 1, 0, 15, 0.470588, 0.470588, 0.470588, 0, 6.67647
~&SPILL_STATS,9, 3, 0, 8, 1, 10, 3.24999, 1.25, 3.99999, 0.249999, 4.74999
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.49999
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,1, 2, 0, 1, 0, 10, 0.264706, 0.602941, 0.941176, 0, 6.32353
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
