@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1.8125
~&SPILL_STATS,5, 4, 0, 4, 8, 8, 10, 8, 10, 11.5, 71
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,5, 5, 0, 5, 0, 14, 18.7381, 26.0952, 3.5, 0, 89.881
~&SPILL_STATS,3, 0, 0, 2, 1, 14, 0.0991097, 0, 0.101217, 0.00155073, 2.43689
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0.556641
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.15294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4.06687
~&SPILL_STATS,0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 22.9231
~&SPILL_STATS,0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 12.6462
~&SPILL_STATS,1, 0, 0, 1, 1, 15, 0.483516, 0, 0.531136, 0.0622711, 24.3718
~&SPILL_STATS,1, 4, 0, 5, 0, 6, 0.195312, 1.96875, 2.16406, 0, 1.09375
~&SPILL_STATS,54, 72, 0, 81, 6, 74, 23.329, 7.5438, 38.6972, 1.45855, 54.084
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,1, 2, 0, 1, 0, 6, 0.456055, 1.02747, 1, 0, 2.19084
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,3, 2, 0, 3, 2, 14, 0.315166, 0.319905, 0.547393, 0.272512, 29.8957
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 4, 0, 5, 1, 8, 15.875, 44.625, 213.833, 2.33333, 425.25
~&SPILL_STATS,6, 4, 0, 5, 1, 8, 15.875, 44.625, 213.833, 2.33333, 425.25
~&SPILL_STATS,13, 3, 0, 5, 1, 12, 26.95, 41.2, 213.05, 2.35, 425.05
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.10031
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 2, 0, 2, 0, 4, 5.625, 11, 1.625, 0, 26
~&SPILL_STATS,100, 82, 0, 97, 1, 163, 3076, 2221, 2577, 32, 5216
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.96774
~&SPILL_STATS,4, 5, 0, 5, 0, 11, 44.9973, 16.2491, 52.4969, 0, 319.231
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 26.625
~&SPILL_STATS,20, 3, 0, 11, 0, 29, 131.641, 1.20561, 8.57005, 0, 266.453
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7.51515
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 7.64706
~&SPILL_STATS,9, 3, 0, 8, 0, 12, 2.99999, 1.25, 3.99999, 0, 5.99999
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.49999
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,2, 4, 0, 2, 0, 6, 0.529412, 1.20588, 1.88235, 0, 4.64706
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
