@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1.8125
~&SPILL_STATS,4, 3, 0, 5, 1, 7, 10, 6, 14, 4, 83
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 5, 0, 6, 0, 15, 19.2381, 10.0952, 4, 0, 90.6429
~&SPILL_STATS,1, 0, 0, 1, 0, 14, 0.0467499, 0, 0.0506084, 0, 2.43689
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0.556641
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.5
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 9.15294
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4.06687
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 22.5538
~&SPILL_STATS,0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 12.8308
~&SPILL_STATS,1, 0, 0, 1, 1, 13, 0.483516, 0, 0.531136, 0.0622711, 17.7821
~&SPILL_STATS,1, 4, 0, 5, 0, 6, 0.195312, 1.96875, 2.16406, 0, 1.09375
~&SPILL_STATS,63, 70, 0, 86, 6, 79, 33.2624, 1.60638, 40.1041, 0.505952, 51.8008
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
~&SPILL_STATS,1, 0, 0, 1, 0, 6, 1, 0, 1, 0, 2.19084
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,6, 0, 0, 4, 0, 12, 0.632702, 0, 0.729858, 0, 29.3389
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.625
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,6, 4, 0, 5, 1, 11, 15.875, 44.625, 213.833, 2.33333, 1042.88
~&SPILL_STATS,6, 4, 0, 5, 1, 11, 15.875, 44.625, 213.833, 2.33333, 1042.88
~&SPILL_STATS,15, 3, 0, 6, 1, 14, 65.65, 5.15, 215.7, 2.35, 845.2
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1.10031
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 2, 0, 2, 0, 4, 5.625, 11, 1.625, 0, 26
~&SPILL_STATS,91, 85, 0, 95, 1, 154, 2850, 2255, 2513, 32, 4928
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.96774
~&SPILL_STATS,5, 6, 0, 6, 0, 4, 57.4965, 22.4987, 64.9961, 0, 282.483
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 26.625
~&SPILL_STATS,18, 2, 0, 9, 0, 33, 90.6356, 10.8412, 8.12145, 0, 269.85
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7.51515
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15.9375
~&SPILL_STATS,0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5.7647
~&SPILL_STATS,12, 3, 0, 8, 0, 9, 2.99999, 1.25, 4.24999, 0, 4.74999
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3.49999
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3.99999
~&SPILL_STATS,1, 2, 0, 1, 0, 8, 0.264706, 0.602941, 0.941176, 0, 4.85294
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
