"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@message_verbosity_increase,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_decrease,0,0,0,0,0,0,0,0,0,0,0
function@message_verbosity_get,0,0,0,0,0,0,0,0,0,0,0
function@message_strm,0,0,0,0,0,0,0,0,0,0,0
function@message_mem_needed,0,0,0,0,0,4,0,0,0,0,1.8125
function@message_filters_to_str,9,3,0,5,2,8,10,6,14,8,87
function@message_filters_show,0,0,0,0,0,0,0,0,0,0,0
function@message_version,0,0,0,0,0,0,0,0,0,0,0
function@message_help,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_check,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_preset,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_extreme,0,0,0,0,0,0,0,0,0,0,0
function@coder_add_filter,0,0,0,0,0,0,0,0,0,0,0
function@coder_set_compression_settings,6,5,0,6,0,15,19.2381,10.0952,4,0,90.6429
function@coder_run,1,0,0,1,0,14,0.0467499,0,0.0506084,0,2.43689
function@is_format_lzma,0,0,0,0,0,6,0,0,0,0,0.556641
function@hardware_threadlimit_set,0,0,0,0,0,0,0,0,0,0,0
function@hardware_threadlimit_get,0,0,0,0,0,0,0,0,0,0,0
function@hardware_memlimit_set,0,0,0,0,0,1,0,0,0,0,0.5
function@hardware_memlimit_get,0,0,0,0,0,1,0,0,0,0,1
function@hardware_memlimit_show,0,0,0,0,0,0,0,0,0,0,0
function@io_open_src,0,0,0,0,0,2,0,0,0,0,9.15294
function@io_open_dest,0,0,0,0,0,2,0,0,0,0,2
function@io_close,0,0,0,0,0,3,0,0,0,0,4.06687
function@io_read,0,0,0,0,0,6,0,0,0,0,22.5538
function@io_pread,0,0,0,0,0,10,0,0,0,0,12.8308
function@io_write,1,0,0,1,1,13,0.483516,0,0.531136,0.0622711,17.7821
function@list_totals,1,4,0,5,0,6,0.195312,1.96875,2.16406,0,1.09375
function@list_file,63,70,0,86,6,79,33.2624,1.60638,40.1041,0.505952,51.8008
function@get_check_names,0,0,0,0,0,1,0,0,0,0,1
function@print_adv_helper,0,0,0,0,0,5,0,0,0,0,5
function@parse_details,1,0,0,1,0,6,1,0,1,0,2.19084
function@xrealloc,0,0,0,0,0,2,0,0,0,0,2
function@xstrdup,0,0,0,0,0,3,0,0,0,0,3
function@str_to_uint64,4,1,0,3,8,12,0.49763,0.137441,0.393365,0.417062,29.3389
function@round_up_to_mib,0,0,0,0,0,1,0,0,0,0,1
function@uint64_to_str,0,0,0,0,0,1,0,0,0,0,1
function@uint64_to_nicestr,0,0,0,0,0,3,0,0,0,0,3
function@my_snprintf,0,0,0,0,0,2,0,0,0,0,0.625
function@is_empty_filename,0,0,0,0,0,0,0,0,0,0,0
function@options_delta,3,2,0,4,1,5,9.6,4.3,11.55,2.35,413.55
function@options_bcj,3,2,0,4,1,4,9.6,6.65,11.55,2.35,407.3
function@options_lzma,15,3,0,6,1,14,65.65,5.15,215.7,2.35,845.2
function@set_lzma,0,0,0,0,0,2,0,0,0,0,1.10031
function@set_exit_status,0,0,0,0,0,0,0,0,0,0,0
function@sha_init,0,0,0,0,0,0,0,0,0,0,0
function@sha_process,2,2,0,2,0,4,5.625,11,1.625,0,26
function@sha_compress,91,85,0,95,1,154,2850,2255,2513,32,4928
function@sha_done,0,0,0,0,0,5,0,0,0,0,3.96774
function@spec_mem_init,3,5,0,4,0,4,32.498,16.2491,39.9976,0,282.483
function@spec_mem_sum,0,0,0,0,0,4,0,0,0,0,26.625
function@spec_mem_load,18,2,0,9,0,33,90.6356,10.8412,8.12145,0,269.85
function@fd_grow,0,0,0,0,0,3,0,0,0,0,3
function@spec_uncompress,0,0,0,0,0,2,0,0,0,0,2
function@compare_sum,0,0,0,0,0,1,0,0,0,0,7.51515
function@print_sum,0,0,0,0,0,1,0,0,0,0,15.9375
function@spec_mem_read,0,0,0,0,0,11,0,0,0,0,5.7647
function@spec_mem_fread,12,3,0,8,0,9,2.99999,1.25,4.24999,0,4.74999
function@spec_mem_getc,0,0,0,0,0,4,0,0,0,0,3.49999
function@spec_mem_ungetc,0,0,0,0,0,5,0,0,0,0,3.99999
function@spec_mem_lseek,1,2,0,1,0,8,0.264706,0.602941,0.941176,0,4.85294
function@spec_mem_rewind,0,0,0,0,0,0,0,0,0,0,0
function@spec_mem_reset,0,0,0,0,0,1,0,0,0,0,1
function@spec_mem_get_length,0,0,0,0,0,1,0,0,0,0,1
function@spec_mem_fopen,0,0,0,0,0,13,0,0,0,0,3.56544
function@spec_mem_open,0,0,0,0,0,11,0,0,0,0,3.61765
function@spec_mem_write,1,1,0,3,0,11,0.941176,0.470588,2.35294,0,52.4118
function@spec_mem_fwrite,3,4,0,4,0,17,2.99999,33.9999,3.99999,0,59.9999
function@spec_mem_putc,0,0,0,0,0,3,0,0,0,0,2.99999
function@spec_mem_feof,0,1,0,1,0,2,0,0.5,0.5,0,0.999999
function@spec_mem_close,0,0,0,0,0,1,0,0,0,0,0.999999
function@spec_compress,0,0,0,0,0,2,0,0,0,0,2
function@sum_str_to_hex,2,0,0,1,0,3,17,0,1,0,18
function@spec_mem_alloc_fds,0,0,0,0,0,2,0,0,0,0,2
function@spec_mem_free_fds,1,2,0,1,0,2,0.25,16.7188,1,0,31.9375
function@lzma_delta_decoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_decode,21,5,0,11,2,14,24.9219,36,9.92188,0.5625,51.4688
function@lzma_delta_props_decode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_encoder_init,0,0,0,0,0,0,0,0,0,0,0
function@delta_encode,59,13,0,28,0,59,23.7321,31.2372,11.9725,0,101.397
function@delta_encoder_update,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_props_encode,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_coder_init,0,0,0,0,0,0,0,0,0,0,0
function@lzma_delta_coder_memusage,0,0,0,0,0,1,0,0,0,0,0.235294
function@lzma_mf_find,1,0,0,1,0,3,0.153846,0,0.153846,0,1.23077
function@lzma_mf_hc3_find,40,6,0,21,0,13,95.168,47.2193,28.5287,0,52.8709
function@lzma_mf_hc3_skip,3,0,0,3,0,4,65.25,0,65.25,0,153.25
function@lzma_mf_hc4_find,36,7,0,22,1,22,63.5411,31.7535,17.0198,0.186969,41.136
function@lzma_mf_hc4_skip,3,3,0,4,0,4,65.25,97.5,71.125,0,153.25
function@lzma_mf_bt2_find,33,3,0,25,3,7,88.656,4.344,50.976,0.936,14.8
function@lzma_mf_bt2_skip,23,4,0,19,2,7,447.737,144.947,401.053,20,241.158
