@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,12, 0, 0, 3, 0, 5, 16.4667, 0, 1.16667, 0, 50.3667
~&SPILL_STATS,2, 1, 0, 3, 0, 5, 0.193798, 0.0124031, 0.243411, 0, 1.0062
~&SPILL_STATS,0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2.62893
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.423462
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,248, 56, 0, 114, 23, 151, 8088.04, 6215.94, 2686.03, 289.206, 7954.44
~&SPILL_STATS,0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1.71245
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,3, 0, 0, 4, 1, 2, 3, 0, 4, 1, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4.35742
~&SPILL_STATS,71, 12, 0, 49, 10, 54, 525.836, 253.207, 244.145, 15.1103, 919.82
~&SPILL_STATS,307, 61, 0, 180, 50, 220, 61.1793, 21.3756, 24.1575, 3.80211, 70.16
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,578, 155, 0, 173, 120, 261, 8845.45, 2856.51, 6174.24, 1877.92, 6657.26
~&SPILL_STATS,0, 2, 0, 1, 0, 9, 0, 0.190476, 0.0952381, 0, 5.28571
~&SPILL_STATS,18, 9, 0, 21, 5, 15, 54.7255, 35.3007, 42.6797, 5.47712, 36.7386
~&SPILL_STATS,0, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2
~&SPILL_STATS,5, 0, 0, 4, 0, 8, 4.625, 0, 3.625, 0, 6.875
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 29.3145
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4
~&SPILL_STATS,3, 1, 0, 3, 0, 10, 31.4, 15.775, 19.375, 0, 758.925
~&SPILL_STATS,4, 3, 0, 7, 0, 15, 1.20447, 0.793814, 1.99828, 0, 8.21306
~&SPILL_STATS,0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 4
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,215, 52, 0, 41, 4, 100, 181.692, 102.504, 44.8727, 2.32733, 216.356
~&SPILL_STATS,141, 41, 0, 60, 7, 92, 116.795, 36.5057, 39.1954, 2.69405, 350.6
~&SPILL_STATS,52, 17, 0, 33, 11, 20, 63.9441, 15.487, 32.452, 4.76233, 18.0714
~&SPILL_STATS,398, 51, 0, 130, 50, 269, 35.0761, 3.65454, 16.0225, 1.99369, 96.2514
~&SPILL_STATS,650, 88, 0, 210, 191, 355, 618.6, 110.01, 220.659, 133.139, 526.872
~&SPILL_STATS,41, 18, 0, 21, 0, 32, 11.1751, 3.73029, 4.76202, 0, 17.5605
~&SPILL_STATS,2, 0, 0, 1, 0, 6, 0.253906, 0, 0.5, 0, 3.28516
~&SPILL_STATS,0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 6
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 34.875
~&SPILL_STATS,18, 0, 0, 14, 0, 24, 9.08824, 0, 10.0931, 0, 11.2451
~&SPILL_STATS,8, 2, 0, 6, 1, 40, 3.51208, 1.81596e-06, 4, 0.625, 7.479
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4.33333
~&SPILL_STATS,70, 11, 0, 34, 26, 56, 13.3605, 4.47918, 5.87507, 3.56532, 17.4335
~&SPILL_STATS,62, 12, 0, 33, 17, 54, 15.7533, 7.29032, 11.3143, 2.19616, 19.8928
~&SPILL_STATS,11, 0, 0, 10, 3, 33, 6.63725, 0, 6.5, 1.14706, 18.2255
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,2, 1, 0, 3, 0, 7, 0.470588, 0.313726, 1.94118, 0, 3.03922
~&SPILL_STATS,3, 0, 0, 3, 0, 1, 0.1875, 0, 0.1875, 0, 0.0625
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,16, 4, 0, 8, 1, 31, 23.8254, 0.761905, 14.7619, 4.04762, 252.413
~&SPILL_STATS,3, 0, 0, 2, 0, 3, 0.985294, 0, 1.5, 0, 1.5
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
~&SPILL_STATS,27, 6, 0, 14, 0, 17, 7.47706, 1.72477, 8.33027, 0, 7.30275
~&SPILL_STATS,48, 5, 0, 14, 6, 51, 17.9332, 11.5331, 11.5037, 1.07969, 41.887
~&SPILL_STATS,0, 1, 0, 2, 0, 7, 0, 1, 1, 0, 18.0476
~&SPILL_STATS,26, 5, 0, 11, 1, 46, 1.96996, 0.928755, 3.61974, 0.249785, 9.38455
~&SPILL_STATS,271, 57, 0, 103, 66, 125, 3669.27, 1090.09, 881.658, 1259.77, 1310.58
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 31.875
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
