"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_re_compile,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_intuit_string,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regfree_internal,12,0,0,3,0,5,16.4667,0,1.16667,0,50.3667
function@Perl_reg_numbered_buff_fetch,2,1,0,3,0,5,0.193798,0.0124031,0.243411,0,1.0062
function@Perl_reg_numbered_buff_length,0,0,0,0,0,9,0,0,0,0,2.62893
function@Perl_reg_named_buff,0,0,0,0,0,1,0,0,0,0,0.423462
function@Perl_reg_named_buff_iter,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_qr_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_op_compile,193,54,0,106,21,170,7874.88,5490.32,1632.25,330.647,8992.59
function@Perl_current_re_engine,0,0,0,0,0,7,0,0,0,0,1.71245
function@Perl_pregcomp,0,0,0,0,0,0,0,0,0,0,0
function@Perl__new_invlist_C_array,3,0,0,4,1,2,3,0,4,1,2
function@Perl__new_invlist,0,0,0,0,0,2,0,0,0,0,2
function@Perl__add_range_to_invlist,0,0,0,0,0,14,0,0,0,0,4.45508
function@S_concat_pat,71,11,0,39,7,45,461.469,324.123,241.027,16.0016,849.938
function@S_reg,329,48,0,181,50,208,59.8746,20.1746,24.9989,3.12382,70.9749
function@Perl_regnext,0,0,0,0,0,1,0,0,0,0,1
function@S_ssc_init,0,0,0,0,0,4,0,0,0,0,4
function@S_study_chunk,570,158,0,209,135,414,10557.5,3497.35,6786.88,2518.71,11742
function@S_scan_commit,0,2,0,1,0,9,0,0.190476,0.0952381,0,5.28571
function@S_is_ssc_worth_it,18,9,0,21,6,14,52.634,35.1634,42.6797,9.93464,32.1438
function@S_add_data,0,1,0,1,0,2,0,1,1,0,2
function@S_ssc_finalize,6,0,0,5,0,8,5.625,0,4.625,0,6.875
function@Perl_save_re_context,0,0,0,0,0,2,0,0,0,0,29.3145
function@S_re_croak2,0,0,0,0,0,4,0,0,0,0,4
function@S_reganode,0,0,0,0,0,6,0,0,0,0,3.64
function@S_reg_node,0,0,0,0,0,6,0,0,0,0,3.64
function@S_nextchar,4,0,0,3,0,8,42.125,0,17.775,0,745.975
function@S_reg_scan_name,3,4,0,6,0,16,0.881443,1.11684,1.76289,0,8.62371
function@S_reg2Lanode,0,0,0,0,0,6,0,0,0,0,3.64
function@S_regtail,0,0,0,0,0,1,0,0,0,0,1
function@S_regbranch,164,38,0,38,3,78,160.691,63.2844,49.9978,1.91663,212.648
function@S_handle_regex_sets,138,42,0,61,7,90,132.309,36.5134,38.2337,2.69405,349.897
function@S_parse_lparen_question_flags,50,16,0,33,11,13,59.6044,14.8639,29.733,4.76233,11.6508
function@S_regatom,386,53,0,128,44,256,36.1735,3.57263,19.7552,2.27891,89.487
function@S_regclass,616,106,0,227,210,341,623.995,110.31,233.365,128.247,537.093
function@S_grok_bslash_N,41,17,0,21,0,38,9.60023,3.64331,4.47729,0,19.2897
function@S_grok_bslash_x,2,0,0,1,0,6,0.253906,0,0.5,0,3.28516
function@S_grok_bslash_c,0,0,0,0,0,8,0,0,0,0,6.5
function@S_form_short_octal_warning,0,0,0,0,0,2,0,0,0,0,2
function@S__invlist_contains_cp,13,0,0,9,0,31,7.26961,0,7.62745,0,17.2892
function@S_alloc_maybe_populate_EXACT,8,3,0,6,0,31,3.51208,0.625002,4,0,8.59424
function@S_add_multi_match,0,0,0,0,0,6,0,0,0,0,4.33333
function@Perl__invlist_union_maybe_complement_2nd,55,17,0,38,23,67,13.9304,4.19509,7.6486,2.21449,15.8072
function@Perl__invlist_intersection_maybe_complement_2nd,53,15,0,34,15,55,14.7119,6.66957,10.6665,1.97646,19.619
function@Perl__invlist_search,11,1,0,10,1,35,5.78922,1.25,6.97549,0.0735294,18.0637
function@Perl__load_PL_utf8_foldclosures,0,0,0,0,0,0,0,0,0,0,0
function@S_invlist_iternext,2,1,0,3,0,7,0.470588,0.313726,1.94118,0,3.03922
function@S_add_above_Latin1_folds,3,1,0,4,0,0,0.1875,0.0625,0.25,0,0
function@Perl__invlist_invert,0,0,0,0,0,1,0,0,0,0,1
function@S_populate_ANYOF_from_invlist,18,2,0,7,0,32,25.3968,0.253968,16.6032,0,264.587
function@S_set_ANYOF_arg,3,0,0,2,0,3,0.985294,0,1.5,0,1.5
function@S_ssc_anything,0,0,0,0,0,3,0,0,0,0,3
function@S__append_range_to_invlist,24,3,0,13,0,12,6.89908,0.669725,7.50459,0,6.44037
function@S_ssc_or,0,1,0,2,0,7,0,1,1,0,18.0476
function@S_ssc_and,21,3,0,10,1,42,2.90215,0.613734,3.49528,0.249785,8.50472
