"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@Perl_re_compile,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_intuit_string,0,0,0,0,0,0,0,0,0,0,0
function@Perl_regfree_internal,14,1,0,2,0,4,35.3,12.5,13.5,0,37.8667
function@Perl_reg_numbered_buff_fetch,5,0,0,2,0,6,0.28062,0,0.212403,0,1.03721
function@Perl_reg_numbered_buff_store,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_numbered_buff_length,0,0,0,0,0,9,0,0,0,0,2.62893
function@Perl_reg_named_buff,0,0,0,0,0,1,0,0,0,0,0.423462
function@Perl_reg_named_buff_iter,0,0,0,0,0,0,0,0,0,0,0
function@Perl_reg_qr_package,0,0,0,0,0,0,0,0,0,0,0
function@Perl_re_op_compile,356,118,0,124,72,99,11965.5,8570.47,2033.75,2306.85,4690.12
function@Perl_reginitcolors,0,0,0,0,0,0,0,0,0,0,0
function@Perl_current_re_engine,0,0,0,0,0,7,0,0,0,0,1.71245
function@Perl_pregcomp,0,0,0,0,0,0,0,0,0,0,0
function@Perl__new_invlist_C_array,9,1,0,5,1,1,9,1,5,1,1
function@Perl__new_invlist,0,0,0,0,0,2,0,0,0,0,2
function@Perl__add_range_to_invlist,0,0,0,0,0,8,0,0,0,0,2.83008
function@S_concat_pat,74,37,0,37,28,16,643.554,491.536,206.181,192.134,581.853
function@S_reg,830,193,0,165,95,71,189.087,63.1757,43.8616,9.91528,14.8895
function@Perl_regnext,0,0,0,0,0,1,0,0,0,0,1
function@S_ssc_init,0,0,0,0,0,4,0,0,0,0,4
function@S_study_chunk,686,414,0,226,264,190,16903.2,8473.56,6723.37,5088.94,6957.44
function@S_scan_commit,1,3,0,1,3,10,0.0952381,0.440476,0.0952381,0.440476,5.66667
function@S_is_ssc_worth_it,31,17,0,17,24,13,67.9608,64.1438,31.0131,34.1895,35.9935
function@S_add_data,2,1,0,1,0,5,2,0.619048,1,0,4
function@S_ssc_finalize,12,2,0,4,0,8,10.625,1.25,3.625,0,7.25
function@Perl_save_re_context,0,0,0,0,0,2,0,0,0,0,29.3145
function@S_re_croak2,0,0,0,0,0,5,0,0,0,0,4.5
function@S_reganode,1,2,0,1,0,4,0.64,0.68,1,0,3
function@S_reg_node,1,2,0,1,0,4,0.64,0.68,1,0,3
function@S_nextchar,5,8,0,4,1,7,503.8,264.75,490.775,40.05,705.925
function@S_reg_scan_name,11,7,0,4,2,9,3.12027,2.49141,1.88144,0.558419,7.14089
function@S_reg2Lanode,1,2,0,1,0,4,0.64,0.68,1,0,3
function@S_regtail,0,0,0,0,0,1,0,0,0,0,1
function@S_regbranch,330,103,0,43,24,36,353.465,197.08,109.533,27.5411,116.43
function@S_handle_regex_sets,265,106,0,71,24,63,236.115,113.885,57.5303,22.4617,321.643
function@S_parse_lparen_question_flags,72,51,0,45,39,12,86.4262,46.4016,38.5402,26.6864,10.6014
function@S_regatom,665,148,0,149,126,127,67.9225,20.1508,19.7465,9.68014,75.909
function@S_regclass,948,319,0,268,370,147,1045.62,841.221,413.316,363.532,348.148
function@S_grok_bslash_N,114,37,0,26,14,17,21.3808,7.70759,5.51353,1.70972,14.1121
function@S_grok_bslash_x,1,0,0,0,2,6,0.195312,0,0,1.25,3.28516
function@S_grok_bslash_c,1,5,0,2,0,2,1,3.75,2,0,1.25
function@S_form_short_octal_warning,0,0,0,0,0,4,0,0,0,0,34.875
function@S__invlist_contains_cp,49,7,0,17,10,8,19.1569,4.82843,8.83824,6.18627,5.38235
function@S_alloc_maybe_populate_EXACT,15,7,0,10,7,6,8.42615,3.00781,6.53906,1.375,5.11719
function@S_add_multi_match,0,1,0,1,0,4,0,1,1,0,2.85714
function@Perl__invlist_union_maybe_complement_2nd,102,45,0,38,65,22,21.9692,10.4096,8.63719,6.07131,6.98403
function@Perl__invlist_intersection_maybe_complement_2nd,82,34,0,24,47,20,24.8112,11.2751,8.99608,7.14124,9.29424
function@Perl__invlist_search,34,7,0,13,7,13,12.2843,4.82843,8.07843,3.57353,8.76961
function@Perl__load_PL_utf8_foldclosures,0,0,0,0,0,0,0,0,0,0,0
function@S_invlist_iternext,2,3,0,2,0,6,0.627451,1.56863,1.2549,0,4.09804
function@S_add_above_Latin1_folds,5,1,0,3,1,0,0.3125,0.0625,0.1875,0.0625,0
function@Perl__invlist_invert,0,0,0,0,0,1,0,0,0,0,1
function@S_populate_ANYOF_from_invlist,60,18,0,19,10,14,258.762,63.6984,88.8889,205.19,154.19
function@S_set_ANYOF_arg,1,7,0,2,0,5,1,2.22059,1.5,0,2.48529
function@S_ssc_anything,0,0,0,0,0,3,0,0,0,0,3
