"Função heurística: div(cost,mul(area,degree))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@flux_,29,3,0,5,5,6,29,3,5,4,6
function@flux_..omp_par.4,311,20,0,59,22,11,2.30762e+06,25506.2,154574,73578.1,9062.5
function@flux_..omp_par.3,106,36,0,40,13,12,38106.9,10092.7,4123.31,2439.81,2462.44
function@flux_..omp_par.2,73,23,0,26,8,10,26082.9,5668.5,2081.06,839.438,2026.44
function@flux_..omp_par.1,670,172,0,82,221,8,1.16596e+06,22105.7,57156.7,96573.1,1787.5
function@flux_..omp_par,73,23,0,26,8,10,26082.9,5668.5,2081.06,839.438,2026.44
function@_QQmain,2,2,0,2,2,26,2,2,2,0.952381,24
function@jacobian_,7,0,0,0,3,0,7,0,0,3,0
function@jacobian_..omp_par,427,16,0,101,53,6,2.95586e+06,33218.2,258048,290576,8774.62
function@fill1_,0,0,0,0,0,0,0,0,0,0,0
function@fill1_..omp_par.1,14,17,0,13,4,2,2498.38,3656.38,471.938,14.6875,400.562
function@fill1_..omp_par,26,15,0,17,12,3,31210.1,5731.5,1635.62,5064.19,4001.19
function@shell_,130,51,0,42,52,9,2.16238e+06,180253,502351,338699,169004
function@shell_..omp_par.8,125,27,0,36,33,7,232822,27380.3,40444.6,16711.4,8860.94
function@shell_..omp_par.7,146,26,0,54,35,13,2.82437e+07,2.05016e+06,2.36257e+06,3.89025e+06,33049.9
function@shell_..omp_par.6,129,18,0,49,22,8,8.11587e+08,3.30252e+07,4.1258e+07,2.56333e+07,8.20853e+06
function@shell_..omp_par.5,41,13,0,26,13,4,163598,16696.1,2516.06,17328,16001
function@shell_..omp_par.4,112,46,0,62,39,13,42946.3,15178.4,10538.8,2865.31,9347.5
function@shell_..omp_par.3,36,10,0,28,7,10,60872,4694.69,1870.19,925.938,48420.6
function@shell_..omp_par.2,88,37,0,43,24,8,97792.2,17836.1,11388.8,3836.06,9110.88
function@shell_..omp_par.1,13,14,0,11,2,4,658.438,452.312,48.125,1.25,345.438
function@shell_..omp_par,66,11,0,25,13,3,1.18266e+07,512706,289515,281327,272000
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@bi_cgstab_block_,37,4,0,6,9,4,350.688,18.9375,6,22.9375,4
function@bi_cgstab_block_..omp_par.12,28,16,0,22,15,13,377585,23708.4,105513,100089,181578
function@bi_cgstab_block_..omp_par.11,121,46,0,40,51,6,3.40159e+06,266655,83440.4,437808,328762
function@bi_cgstab_block_..omp_par.10,31,20,0,24,13,22,748586,122208,105014,86339.1,286655
function@bi_cgstab_block_..omp_par.9,59,27,0,31,30,6,975048,127608,28562.2,234689,196012
function@bi_cgstab_block_..omp_par.8,33,16,0,23,15,13,700085,23708.4,105514,100089,181578
function@bi_cgstab_block_..omp_par.7,88,27,0,40,39,4,2.2567e+06,113139,81064.4,241563,184387
function@bi_cgstab_block_..omp_par.6,33,16,0,23,15,13,700085,23708.4,105514,100089,181578
function@bi_cgstab_block_..omp_par.5,31,19,0,26,13,5,1.32736e+06,338721,345526,182576,165013
function@bi_cgstab_block_..omp_par,167,47,0,71,57,7,3.42827e+06,171883,112462,108870,188033
function@mat_times_vec_,0,0,0,0,0,0,0,0,0,0,0
function@mat_times_vec_..omp_par,86,30,0,50,21,11,1.14109e+08,1.61897e+07,7.25156e+06,1.00573e+07,3.21604e+06
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.1,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.2,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.3,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.4,0,0,0,0,0,0,0,0,0,0,0
function@fill2_,0,0,0,0,0,0,0,0,0,0,0
function@fill2_..omp_par.1,18,10,0,10,6,4,4485.62,856.812,446.438,427.062,413.625
function@fill2_..omp_par,15,21,0,12,7,2,2487.19,5256.12,459.125,439.5,400.562
