"Função heurística: div(cost,pow(degree,2))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@flux_,25,0,0,8,0,14,25,0,8,0,14
function@flux_..omp_par.4,213,14,0,73,7,26,1.56293e+06,72694.1,250575,8015.5,74624.8
function@flux_..omp_par.3,79,19,0,41,4,22,27711.8,6831.31,4135.38,401.812,5275.69
function@flux_..omp_par.2,55,22,0,30,2,17,19275.8,7643.62,2881.81,1.25,4426.69
function@flux_..omp_par.1,321,70,0,90,223,40,561254,29540.8,82844.2,73136.6,49105.6
function@flux_..omp_par,55,22,0,30,2,17,19275.8,7643.62,2881.81,1.25,4426.69
function@_QQmain,0,2,0,2,0,28,0,2,2,0,26
function@jacobian_,3,0,0,0,3,1,3,0,0,3,1
function@jacobian_..omp_par,205,13,0,105,45,22,1.48324e+06,41919.2,258051,304263,74326.1
function@fill1_,0,0,0,0,0,2,0,0,0,0,2
function@fill1_..omp_par.1,10,8,0,15,2,4,2065.44,1633.38,865.375,1.25,801.125
function@fill1_..omp_par,19,11,0,20,2,9,33464.9,13183.2,5061.81,1.25,6100.81
function@shell_,76,25,0,42,8,72,354600,10867.9,15969.2,46.16,343711
function@shell_..omp_par.8,94,12,0,40,30,29,89537.1,18091.4,62039.2,13736.9,12269.9
function@shell_..omp_par.7,80,9,0,63,16,23,1.48989e+07,784820,2.65163e+06,3.32801e+06,1.60144e+06
function@shell_..omp_par.6,82,8,0,58,5,20,4.84138e+08,3.27764e+07,4.99783e+07,14.9375,5.76493e+07
function@shell_..omp_par.5,25,8,0,29,4,9,105667,24920.2,10366.9,16001.1,17233.6
function@shell_..omp_par.4,147,27,0,56,9,53,36898.7,14218.2,9968.69,252.75,28484.2
function@shell_..omp_par.3,26,5,0,28,1,15,62381.9,920.375,1870.19,0.625,50270.3
function@shell_..omp_par.2,80,28,0,42,10,28,76297.7,19419.3,10540.2,862.875,32555.5
function@shell_..omp_par.1,10,7,0,10,1,5,610.438,414.938,32.125,0.625,365.375
function@shell_..omp_par,46,6,0,30,3,8,8.47376e+06,264682,801517,13.6875,544800
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@bi_cgstab_block_,41,2,0,9,4,23,474.188,16.9375,9,18.4375,142.5
function@bi_cgstab_block_..omp_par.12,15,8,0,22,1,20,107003,98682,19012.4,0.625,209798
function@bi_cgstab_block_..omp_par.11,74,24,0,43,36,18,1.34686e+06,366582,190489,307891,490564
function@bi_cgstab_block_..omp_par.10,20,8,0,25,1,29,272003,98682,21514.4,0.625,308874
function@bi_cgstab_block_..omp_par.9,44,13,0,33,13,22,386231,94082.4,37361,179762,229939
function@bi_cgstab_block_..omp_par.8,19,8,0,24,1,21,349503,98682,21513.4,0.625,214797
function@bi_cgstab_block_..omp_par.7,57,21,0,41,16,16,847949,359082,185488,31793.4,626814
function@bi_cgstab_block_..omp_par.6,19,8,0,24,1,21,349503,98682,21513.4,0.625,214797
function@bi_cgstab_block_..omp_par.5,21,8,0,25,3,9,990528,178670,27526.5,263,336813
function@bi_cgstab_block_..omp_par,82,26,0,70,9,39,489843,152752,93681.6,13896.2,257768
function@mat_times_vec_,0,0,0,0,0,0,0,0,0,0,0
function@mat_times_vec_..omp_par,53,13,0,52,5,21,7.45563e+07,1.29739e+07,1.02766e+07,3.20026e+06,6.75334e+06
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.1,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.2,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.3,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.4,0,0,0,0,0,0,0,0,0,0,0
function@fill2_,0,0,0,0,0,1,0,0,0,0,1
function@fill2_..omp_par.1,7,6,0,12,2,4,485.625,1232.81,858.812,1.25,801.125
function@fill2_..omp_par,12,13,0,16,2,7,2485.31,4431.69,1260.62,1.25,1601.62
