"Função heurística: original",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@flux_,26,0,0,8,0,15,26,0,8,0,15
function@flux_..omp_par.4,200,12,0,71,9,29,1.48228e+06,72669.2,242575,8515.38,98624.6
function@flux_..omp_par.3,70,20,0,41,4,27,24499.9,7231.25,4523.25,401.812,6887.88
function@flux_..omp_par.2,58,16,0,30,3,22,20863.1,5244,2874.31,13.6875,6426.38
function@flux_..omp_par.1,438,77,0,93,222,40,539622,30076.6,90703.2,70249.8,26602.8
function@flux_..omp_par,58,16,0,30,3,22,20863.1,5244,2874.31,13.6875,6426.38
function@_QQmain,0,2,0,2,0,28,0,2,2,0,26
function@jacobian_,3,0,0,0,2,0,3,0,0,2,0
function@jacobian_..omp_par,183,13,0,104,42,18,1.33079e+06,41919.2,266299,272513,73575.2
function@fill1_,0,0,0,0,0,1,0,0,0,0,1
function@fill1_..omp_par.1,10,8,0,15,2,4,2065.44,1633.38,865.375,1.25,801.125
function@fill1_..omp_par,18,9,0,21,2,11,25740.6,5183.31,9211.75,1.25,13826.1
function@shell_,77,25,0,42,9,82,359720,5907.92,15969.2,66.6,338378
function@shell_..omp_par.8,58,19,0,38,29,22,117724,26204.6,47101.8,13705.7,25519.1
function@shell_..omp_par.7,92,10,0,64,16,18,1.74672e+07,1.04082e+06,2.14789e+06,3.58401e+06,569437
function@shell_..omp_par.6,76,8,0,53,5,21,4.75682e+08,4.09684e+07,4.997e+07,14.9375,3.30738e+07
function@shell_..omp_par.5,24,7,0,27,4,7,97927.6,24919.6,10366,8001.81,17200.8
function@shell_..omp_par.4,125,34,0,60,12,53,40831.3,10816.7,6569.19,375.25,12852.2
function@shell_..omp_par.3,27,4,0,28,1,15,62382.6,919.75,1870.19,0.625,50289.6
function@shell_..omp_par.2,45,29,0,43,11,15,76721.2,19479.9,4290.19,987.812,17474.8
function@shell_..omp_par.1,10,7,0,10,1,6,610.438,414.938,32.125,0.625,565.312
function@shell_..omp_par,39,6,0,30,4,8,6.68176e+06,264682,801518,8013.62,296800
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@bi_cgstab_block_,42,0,0,8,4,22,490.125,0,8,18.4375,111.625
function@bi_cgstab_block_..omp_par.12,15,8,0,21,3,19,29764.6,98682,19011.4,13.6875,209379
function@bi_cgstab_block_..omp_par.11,72,26,0,44,32,23,1.79209e+06,370722,192979,259376,680578
function@bi_cgstab_block_..omp_par.10,22,8,0,25,3,30,354766,98682,21514,13.6875,309254
function@bi_cgstab_block_..omp_par.9,43,14,0,33,12,25,304668,98457.4,37985.9,99762.4,229958
function@bi_cgstab_block_..omp_par.8,23,8,0,25,3,20,204766,98682,24014,13.6875,219378
function@bi_cgstab_block_..omp_par.7,52,22,0,39,13,21,861544,359863,182988,29137.4,487458
function@bi_cgstab_block_..omp_par.6,23,8,0,25,3,20,204766,98682,24014,13.6875,219378
function@bi_cgstab_block_..omp_par.5,20,9,0,25,3,12,830528,338670,187514,263,656826
function@bi_cgstab_block_..omp_par,74,24,0,70,13,41,424529,150252,99180.9,22489.1,264499
function@mat_times_vec_,0,0,0,0,0,0,0,0,0,0,0
function@mat_times_vec_..omp_par,56,11,0,52,7,23,7.79213e+07,6.57393e+06,1.03366e+07,300263,3.87335e+06
function@.omp.reduction.func,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.1,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.2,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.3,0,0,0,0,0,0,0,0,0,0,0
function@.omp.reduction.func.4,0,0,0,0,0,0,0,0,0,0,0
function@fill2_,0,0,0,0,0,0,0,0,0,0,0
function@fill2_..omp_par.1,7,6,0,12,2,5,466.312,1232.81,858.812,1.25,1600.38
function@fill2_..omp_par,15,5,0,15,4,4,4065.12,832.875,1252.5,26.125,401.812
