@,Reloads, FoldedReloads, ZeroCostFoldedReloads, Spills, FoldedSpills, Copies, ReloadsCost, FoldedReloadsCost, SpillsCost, FoldedSpillsCost, CopiesCost
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,7, 2, 0, 7, 3, 35, 59.6667, 32.9524, 24.7619, 5.80952, 1399.71
~&SPILL_STATS,2, 0, 0, 2, 0, 8, 16.5, 0, 16.5, 0, 131
~&SPILL_STATS,4, 3, 0, 3, 0, 11, 30.75, 24.75, 17.5, 0, 186.75
~&SPILL_STATS,12, 5, 0, 11, 0, 17, 36.3333, 23.0238, 22.6429, 0, 53.6667
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
~&SPILL_STATS,0, 1, 0, 1, 0, 3, 0, 3.96, 0.64, 0, 2.64
~&SPILL_STATS,6, 0, 0, 7, 0, 4, 62.5, 0, 63.9167, 0, 33.5
~&SPILL_STATS,3, 1, 0, 3, 1, 4, 23.4375, 7.8125, 23.4375, 0.5, 21.75
~&SPILL_STATS,2, 2, 0, 4, 2, 14, 20.0392, 10.3333, 25.3529, 0.941177, 97.098
~&SPILL_STATS,43, 2, 0, 19, 8, 18, 9543.43, 1523.76, 3438.67, 252.619, 3069.09
~&SPILL_STATS,206, 49, 0, 99, 41, 73, 328.808, 200.947, 177.172, 22.1656, 287.569
~&SPILL_STATS,40, 34, 0, 39, 6, 60, 88.1519, 41.2152, 76.9747, 8.89874, 137.544
~&SPILL_STATS,0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 112.37
~&SPILL_STATS,0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1.375
~&SPILL_STATS,50, 16, 0, 36, 7, 52, 25.0265, 6.35525, 17.9852, 0.555506, 28.7419
~&SPILL_STATS,32, 3, 0, 20, 0, 21, 260.32, 45.96, 129.72, 0, 218.04
~&SPILL_STATS,21, 2, 0, 21, 1, 22, 281.903, 20.5806, 193.323, 1, 165.032
~&SPILL_STATS,0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 19.9375
~&SPILL_STATS,9, 8, 0, 7, 8, 13, 43.6, 64.92, 15.16, 8.56, 120.68
~&SPILL_STATS,5, 9, 0, 9, 0, 15, 2.5, 5.5, 7, 0, 11
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,4, 10, 0, 6, 6, 22, 2.96, 69.12, 4.96, 7.92, 202.6
~&SPILL_STATS,2, 6, 0, 6, 0, 6, 10.8936, 40.8511, 18.3191, 0, 32.617
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,617, 187, 0, 312, 18, 375, 5057.46, 4187.7, 3671.21, 208.054, 10001.9
~&SPILL_STATS,3, 0, 0, 4, 2, 12, 23.873, 0, 122.921, 1, 672.834
~&SPILL_STATS,9, 14, 0, 14, 0, 12, 10, 104.25, 14.75, 0, 30.5
~&SPILL_STATS,12, 14, 0, 20, 0, 17, 20.2843, 44.0777, 36.4455, 0, 312.198
~&SPILL_STATS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4.77207
~&SPILL_STATS,0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
~&SPILL_STATS,0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 18.0952
