"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,27,8,0,17,11,9,586.238,759.191,339.571,53.1905,986.857
function@refreshArcPointers,2,0,0,2,0,5,16.5,0,16.5,0,106.25
function@refreshPositions,6,4,0,3,0,7,57.25,25.75,17.5,0,148.75
function@marc_arcs,13,21,0,11,9,13,8.28571,63.0714,7.52381,5.71429,64.5238
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,5,0,3.96,0.64,0,4.64
function@insert_new_arc,27,0,0,8,4,2,282.5,0,75.1667,42.5,21.6667
function@replace_weaker_arc,5,2,0,1,2,2,39.375,15.625,8.125,8.3125,5.8125
function@calculate_max_redcost,0,1,0,1,1,8,0,10.0196,0.313726,0.313726,60.0784
function@switch_arcs,37,12,0,18,19,4,11858.6,3472,2422.19,1910.76,2086.1
function@price_out_impl,349,105,0,107,108,37,667.358,268.715,150.894,264.358,222.781
function@suspend_impl,68,52,0,35,30,27,86.2785,86.1772,49.038,49.6962,105.506
function@global_opt,0,0,0,0,0,5,0,0,0,0,131.744
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,104,46,0,31,40,24,61.7311,24.7624,14.7032,9.45905,13.4637
function@primal_start_artificial,55,10,0,13,12,12,507.12,94.88,67.88,104,163.36
function@update_tree,33,6,0,26,7,11,483.064,72.3548,258.419,4.58065,89.2581
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,43,14,0,8,8,9,350.64,90.8,26.72,46.44,107.16
function@start,0,0,0,0,0,0,0,0,0,0,0
function@getArcPosition,6,10,0,11,4,7,4.5,6.5,7.5,2,5
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,7,17,0,7,9,18,5.6,93.8,5.96,9.2,190.44
function@primal_feasible,7,9,0,5,2,1,33.617,41.9787,23.766,1.17021,5.44681
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,1078,380,0,358,239,139,13052.1,4864.78,2084.48,1922.11,4327.09
function@markBaskets,4,1,0,1,5,7,28.784,7.87302,5.16493,21.911,733.717
function@worker,12,17,0,11,8,8,4.5,118,7,15.5,44.75
function@master,29,33,0,25,10,9,55.0792,107.975,48.4467,14.1612,298.438
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,7,0,0,0,0,19.0952
