"Função heurística: div(cost,mul(area,pow(degree,2)))",Reloads,FoldedReloads,ZeroCostFoldedReloads,Spills,FoldedSpills,Copies,ReloadsCost,FoldedReloadsCost,SpillsCost,FoldedSpillsCost,CopiesCost
function@primal_update_flow,0,0,0,0,0,0,0,0,0,0,0
function@set_static_vars,0,0,0,0,0,0,0,0,0,0,0
function@bea_is_dual_infeasible,0,0,0,0,0,0,0,0,0,0,0
function@cost_compare,0,0,0,0,0,1,0,0,0,0,1
function@primal_bea_mpp,7,3,0,8,3,38,59.6667,297.143,25.7619,5.80952,1339.14
function@refreshArcPointers,2,0,0,2,0,8,16.5,0,16.5,0,131
function@refreshPositions,4,3,0,3,0,12,30.75,24.75,17.5,0,187.75
function@marc_arcs,11,6,0,12,0,18,35.9524,23.4048,23.6429,0,52.8095
function@arc_compare,0,0,0,0,0,1,0,0,0,0,1
function@resize_prob,0,1,0,1,0,3,0,3.96,0.64,0,2.64
function@insert_new_arc,6,0,0,6,0,6,62.9167,0,63.75,0,45
function@replace_weaker_arc,3,1,0,3,1,4,23.4375,7.8125,23.4375,0.5,21.75
function@calculate_max_redcost,2,2,0,4,2,14,20.0392,10.3333,25.3529,0.941177,97.098
function@switch_arcs,39,2,0,18,7,18,9563.9,1523.76,3191.67,239.952,3380.24
function@price_out_impl,199,49,0,94,45,84,299.894,181.47,141.616,101.159,283.364
function@suspend_impl,44,27,0,38,5,60,88.962,38.8354,75.8101,8.53165,138.772
function@global_opt,0,0,0,0,0,4,0,0,0,0,112.37
function@main,0,0,0,0,0,3,0,0,0,0,1.375
function@read_min,49,12,0,34,7,49,23.7737,5.94509,16.5566,0.555506,28.2537
function@primal_start_artificial,37,6,0,20,0,22,255.36,82.36,129.72,0,238.8
function@update_tree,19,2,0,19,1,19,255.903,20.5806,172.71,1,143.226
function@refresh_neighbour_lists,0,0,0,0,0,1,0,0,0,0,19.9375
function@flow_cost,9,8,0,7,8,15,43.6,64.92,15.16,8.56,141.08
function@getArcPosition,5,9,0,9,0,15,2.5,5.5,7,0,11
function@getOriginalArcPosition,0,0,0,0,0,0,0,0,0,0,0
function@flow_org_cost,4,10,0,6,6,22,2.96,69.12,4.96,7.92,202.6
function@primal_feasible,2,6,0,6,0,6,10.8936,40.8511,18.3191,0,32.617
function@dual_feasible,0,0,0,0,0,0,0,0,0,0,0
function@getfree,0,0,0,0,0,0,0,0,0,0,0
function@spec_qsort,641,203,0,328,17,442,4943.06,4349.03,3663.79,207.789,11660.9
function@markBaskets,4,0,0,6,2,11,32,0,230.095,1,659.12
function@worker,9,14,0,14,0,12,10,104.25,14.75,0,30.5
function@master,12,14,0,20,0,17,20.2843,44.0777,36.4455,0,312.198
function@primal_net_simplex,0,0,0,0,0,0,0,0,0,0,0
function@write_circulations,0,0,0,0,0,6,0,0,0,0,4.77207
function@write_objective_value,0,0,0,0,0,2,0,0,0,0,2
function@primal_iminus,0,0,0,0,0,6,0,0,0,0,18.0952
